key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/nanu_dynamic_rors_tmb				
nanu_tmb_arrow_skeleton_arcane_fire	false	nanu_tmb_arrow_skeleton_arcane_fire	bow	false
nanu_tmb_arrow_skeleton_flaming	false	nanu_tmb_arrow_skeleton_flaming	bow	false
nanu_tmb_arrow_skeleton_magic	false	nanu_tmb_arrow_skeleton_magic	bow	false
nanu_tmb_arrow_skeleton_poison	false	nanu_tmb_arrow_skeleton_poison	bow	false
nanu_tmb_arrow_skeleton_anti_large	false	nanu_tmb_arrow_skeleton_anti_large	bow	false
nanu_tmb_arrow_skeleton_anti_large_arcane_fire	false	nanu_tmb_arrow_skeleton_anti_large_arcane_fire	bow	false
nanu_tmb_arrow_skeleton_anti_large_flaming	false	nanu_tmb_arrow_skeleton_anti_large_flaming	bow	false
nanu_tmb_arrow_skeleton_anti_large_magic	false	nanu_tmb_arrow_skeleton_anti_large_magic	bow	false
nanu_tmb_arrow_skeleton_anti_large_poison	false	nanu_tmb_arrow_skeleton_anti_large_poison	bow	false
nanu_tmb_arrow_skeleton_anti_infantry	false	nanu_tmb_arrow_skeleton_anti_infantry	bow	false
nanu_tmb_arrow_skeleton_anti_infantry_arcane_fire	false	nanu_tmb_arrow_skeleton_anti_infantry_arcane_fire	bow	false
nanu_tmb_arrow_skeleton_anti_infantry_flaming	false	nanu_tmb_arrow_skeleton_anti_infantry_flaming	bow	false
nanu_tmb_arrow_skeleton_anti_infantry_magic	false	nanu_tmb_arrow_skeleton_anti_infantry_magic	bow	false
nanu_tmb_arrow_skeleton_anti_infantry_poison	false	nanu_tmb_arrow_skeleton_anti_infantry_poison	bow	false
nanu_tmb_arrow_skeleton_multi	false	nanu_tmb_arrow_skeleton_multi	bow	false
nanu_tmb_arrow_skeleton_multi_arcane_fire	false	nanu_tmb_arrow_skeleton_multi_arcane_fire	bow	false
nanu_tmb_arrow_skeleton_multi_flaming	false	nanu_tmb_arrow_skeleton_multi_flaming	bow	false
nanu_tmb_arrow_skeleton_multi_magic	false	nanu_tmb_arrow_skeleton_multi_magic	bow	false
nanu_tmb_arrow_skeleton_multi_poison	false	nanu_tmb_arrow_skeleton_multi_poison	bow	false
nanu_tmb_arrow_chariot_arcane_fire	false	nanu_tmb_arrow_chariot_arcane_fire	bow_large	false
nanu_tmb_arrow_chariot_flaming	false	nanu_tmb_arrow_chariot_flaming	bow_large	false
nanu_tmb_arrow_chariot_magic	false	nanu_tmb_arrow_chariot_magic	bow_large	false
nanu_tmb_arrow_chariot_poison	false	nanu_tmb_arrow_chariot_poison	bow_large	false
nanu_tmb_arrow_chariot_anti_infantry	false	nanu_tmb_arrow_chariot_anti_infantry	bow_large	false
nanu_tmb_arrow_chariot_anti_infantry_arcane_fire	false	nanu_tmb_arrow_chariot_anti_infantry_arcane_fire	bow_large	false
nanu_tmb_arrow_chariot_anti_infantry_flaming	false	nanu_tmb_arrow_chariot_anti_infantry_flaming	bow_large	false
nanu_tmb_arrow_chariot_anti_infantry_magic	false	nanu_tmb_arrow_chariot_anti_infantry_magic	bow_large	false
nanu_tmb_arrow_chariot_anti_infantry_poison	false	nanu_tmb_arrow_chariot_anti_infantry_poison	bow_large	false
nanu_tmb_arrow_chariot_anti_large	false	nanu_tmb_arrow_chariot_anti_large	bow_large	false
nanu_tmb_arrow_chariot_anti_large_arcane_fire	false	nanu_tmb_arrow_chariot_anti_large_arcane_fire	bow_large	false
nanu_tmb_arrow_chariot_anti_large_flaming	false	nanu_tmb_arrow_chariot_anti_large_flaming	bow_large	false
nanu_tmb_arrow_chariot_anti_large_magic	false	nanu_tmb_arrow_chariot_anti_large_magic	bow_large	false
nanu_tmb_arrow_chariot_anti_large_poison	false	nanu_tmb_arrow_chariot_anti_large_poison	bow_large	false
nanu_tmb_arrow_chariot_multi	false	nanu_tmb_arrow_chariot_multi	bow_large	false
nanu_tmb_arrow_chariot_multi_arcane_fire	false	nanu_tmb_arrow_chariot_multi_arcane_fire	bow_large	false
nanu_tmb_arrow_chariot_multi_flaming	false	nanu_tmb_arrow_chariot_multi_flaming	bow_large	false
nanu_tmb_arrow_chariot_multi_magic	false	nanu_tmb_arrow_chariot_multi_magic	bow_large	false
nanu_tmb_arrow_chariot_multi_poison	false	nanu_tmb_arrow_chariot_multi_poison	bow_large	false
nanu_tmb_arrow_horsemen_arcane_fire	false	nanu_tmb_arrow_horsemen_arcane_fire	bow	false
nanu_tmb_arrow_horsemen_flaming	false	nanu_tmb_arrow_horsemen_flaming	bow	false
nanu_tmb_arrow_horsemen_magic	false	nanu_tmb_arrow_horsemen_magic	bow	false
nanu_tmb_arrow_horsemen_poison	false	nanu_tmb_arrow_horsemen_poison	bow	false
nanu_tmb_arrow_horsemen_anti_large	false	nanu_tmb_arrow_horsemen_anti_large	bow	false
nanu_tmb_arrow_horsemen_anti_large_arcane_fire	false	nanu_tmb_arrow_horsemen_anti_large_arcane_fire	bow	false
nanu_tmb_arrow_horsemen_anti_large_flaming	false	nanu_tmb_arrow_horsemen_anti_large_flaming	bow	false
nanu_tmb_arrow_horsemen_anti_large_magic	false	nanu_tmb_arrow_horsemen_anti_large_magic	bow	false
nanu_tmb_arrow_horsemen_anti_large_poison	false	nanu_tmb_arrow_horsemen_anti_large_poison	bow	false
nanu_tmb_arrow_horsemen_anti_infantry	false	nanu_tmb_arrow_horsemen_anti_infantry	bow	false
nanu_tmb_arrow_horsemen_anti_infantry_arcane_fire	false	nanu_tmb_arrow_horsemen_anti_infantry_arcane_fire	bow	false
nanu_tmb_arrow_horsemen_anti_infantry_flaming	false	nanu_tmb_arrow_horsemen_anti_infantry_flaming	bow	false
nanu_tmb_arrow_horsemen_anti_infantry_magic	false	nanu_tmb_arrow_horsemen_anti_infantry_magic	bow	false
nanu_tmb_arrow_horsemen_anti_infantry_poison	false	nanu_tmb_arrow_horsemen_anti_infantry_poison	bow	false
nanu_tmb_arrow_horsemen_multi	false	nanu_tmb_arrow_horsemen_multi	bow	false
nanu_tmb_arrow_horsemen_multi_arcane_fire	false	nanu_tmb_arrow_horsemen_multi_arcane_fire	bow	false
nanu_tmb_arrow_horsemen_multi_flaming	false	nanu_tmb_arrow_horsemen_multi_flaming	bow	false
nanu_tmb_arrow_horsemen_multi_magic	false	nanu_tmb_arrow_horsemen_multi_magic	bow	false
nanu_tmb_arrow_horsemen_multi_poison	false	nanu_tmb_arrow_horsemen_multi_poison	bow	false
nanu_tmb_ushabti_bolt_arcane_fire	false	nanu_tmb_ushabti_bolt_arcane_fire	bow_large	false
nanu_tmb_ushabti_bolt_flaming	false	nanu_tmb_ushabti_bolt_flaming	bow_large	false
nanu_tmb_ushabti_bolt_magic	false	nanu_tmb_ushabti_bolt_magic	bow_large	false
nanu_tmb_ushabti_bolt_poison	false	nanu_tmb_ushabti_bolt_poison	bow_large	false
nanu_tmb_ushabti_bolt_anti_large	false	nanu_tmb_ushabti_bolt_anti_large	bow_large	false
