key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/nanu_dynamic_rors_tze				
nanu_tze_javelin_anti_infanty	false	nanu_tze_javelin_anti_infanty		false
nanu_tze_javelin_anti_large	false	nanu_tze_javelin_anti_large		false
nanu_tze_javelin_explosive	false	nanu_tze_javelin_explosive		false
nanu_tze_javelin_explosive_lightning	false	nanu_tze_javelin_explosive_lightning		false
nanu_tze_javelin_multi	false	nanu_tze_javelin_multi		false
nanu_tze_javelin_seeking	false	nanu_tze_javelin_seeking		false
nanu_tze_blue_horror_fire_bolt_lightning	false	nanu_tze_blue_horror_fire_bolt_lightning		false
nanu_tze_blue_horror_fire_bolt_anti_infantry	false	nanu_tze_blue_horror_fire_bolt_anti_infantry		false
nanu_tze_blue_horror_fire_bolt_anti_infantry_lightning	false	nanu_tze_blue_horror_fire_bolt_anti_infantry_lightning		false
nanu_tze_blue_horror_fire_bolt_anti_large	false	nanu_tze_blue_horror_fire_bolt_anti_large		false
nanu_tze_blue_horror_fire_bolt_anti_large_lightning	false	nanu_tze_blue_horror_fire_bolt_anti_large_lightning		false
nanu_tze_blue_horror_fire_bolt_explosive	false	nanu_tze_blue_horror_fire_bolt_explosive		false
nanu_tze_blue_horror_fire_bolt_explosive_lightning	false	nanu_tze_blue_horror_fire_bolt_explosive_lightning		false
nanu_tze_blue_horror_fire_bolt_multi	false	nanu_tze_blue_horror_fire_bolt_multi		false
nanu_tze_blue_horror_fire_bolt_multi_lightning	false	nanu_tze_blue_horror_fire_bolt_multi_lightning		false
nanu_tze_blue_horror_fire_bolt_seeking	false	nanu_tze_blue_horror_fire_bolt_seeking		false
nanu_tze_blue_horror_fire_bolt_seeking_lightning	false	nanu_tze_blue_horror_fire_bolt_seeking_lightning		false
nanu_tze_pink_horror_fire_bolt_lightning	false	nanu_tze_pink_horror_fire_bolt_lightning		false
nanu_tze_pink_horror_fire_bolt_anti_infantry	false	nanu_tze_pink_horror_fire_bolt_anti_infantry		false
nanu_tze_pink_horror_fire_bolt_anti_infantry_lightning	false	nanu_tze_pink_horror_fire_bolt_anti_infantry_lightning		false
nanu_tze_pink_horror_fire_bolt_anti_large	false	nanu_tze_pink_horror_fire_bolt_anti_large		false
nanu_tze_pink_horror_fire_bolt_anti_large_lightning	false	nanu_tze_pink_horror_fire_bolt_anti_large_lightning		false
nanu_tze_pink_horror_fire_bolt_explosive	false	nanu_tze_pink_horror_fire_bolt_explosive		false
nanu_tze_pink_horror_fire_bolt_explosive_lightning	false	nanu_tze_pink_horror_fire_bolt_explosive_lightning		false
nanu_tze_pink_horror_fire_bolt_multi	false	nanu_tze_pink_horror_fire_bolt_multi		false
nanu_tze_pink_horror_fire_bolt_multi_lightning	false	nanu_tze_pink_horror_fire_bolt_multi_lightning		false
nanu_tze_pink_horror_fire_bolt_seeking	false	nanu_tze_pink_horror_fire_bolt_seeking		false
nanu_tze_pink_horror_fire_bolt_seeking_lightning	false	nanu_tze_pink_horror_fire_bolt_seeking_lightning		false
nanu_tze_pink_exalted_horror_fire_bolt_lightning	false	nanu_tze_pink_exalted_horror_fire_bolt_lightning		false
nanu_tze_pink_exalted_horror_fire_bolt_anti_infantry	false	nanu_tze_pink_exalted_horror_fire_bolt_anti_infantry		false
nanu_tze_pink_exalted_horror_fire_bolt_anti_infantry_lightning	false	nanu_tze_pink_exalted_horror_fire_bolt_anti_infantry_lightning		false
nanu_tze_pink_exalted_horror_fire_bolt_anti_large	false	nanu_tze_pink_exalted_horror_fire_bolt_anti_large		false
nanu_tze_pink_exalted_horror_fire_bolt_anti_large_lightning	false	nanu_tze_pink_exalted_horror_fire_bolt_anti_large_lightning		false
nanu_tze_pink_exalted_horror_fire_bolt_explosive	false	nanu_tze_pink_exalted_horror_fire_bolt_explosive		false
nanu_tze_pink_exalted_horror_fire_bolt_explosive_lightning	false	nanu_tze_pink_exalted_horror_fire_bolt_explosive_lightning		false
nanu_tze_pink_exalted_horror_fire_bolt_multi	false	nanu_tze_pink_exalted_horror_fire_bolt_multi		false
nanu_tze_pink_exalted_horror_fire_bolt_multi_lightning	false	nanu_tze_pink_exalted_horror_fire_bolt_multi_lightning		false
nanu_tze_pink_exalted_horror_fire_bolt_seeking	false	nanu_tze_pink_exalted_horror_fire_bolt_seeking		false
nanu_tze_pink_exalted_horror_fire_bolt_seeking_lightning	false	nanu_tze_pink_exalted_horror_fire_bolt_seeking_lightning		false
nanu_tze_soul_grinder_bolt_lightning	false	nanu_tze_soul_grinder_bolt_lightning		false
