key	display_model	impact	launch_fx	trail_fx	stationary_fx	airborne_anim	landing_anim	tip_offset	trail_spin	launch_camera_shake	impact_bounce	impact_penetrate	impact_blood	impact_bounce_blood	impact_penetrate_blood	mirroring_start	mirroring_trail	scale
#projectile_displays_tables;12;db/projectile_displays_tables/nanu_dynamic_rors_chs																		
nanu_chs_javelin_flaming	projectiles/chs_marauder_javelin_1h_01_projectile.wsmodel	wh3_dlc20_marauder_khorne_axe_impact		wh_dlc07_weapon_trail_arrow_burning_small				-0.1500	false		wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_chs_javelin_poison	projectiles/chs_marauder_javelin_1h_01_projectile.wsmodel	wh_dlc07_weapon_pox_arrow		wh3_dlc20_marauder_trail_axe_nurgle				-0.1500	false		wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_chs_throwing_axe_frozen	projectiles/chs_marauder_axe_throwing_1h_01_projectile.wsmodel	nanu_particle_effect_explosion_ice_tiny_lingering		wh_dlc05_wef_swiftshiver_arrow_trail				0.0000	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_chs_throwing_axe_lightning	projectiles/chs_marauder_axe_throwing_1h_01_projectile.wsmodel	nanu_particle_effect_explosion_lightning_tiny		nanu_particle_effect_lightning_trail_tiny				0.0000	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_chs_throwing_axe_magic	projectiles/chs_marauder_axe_throwing_1h_01_projectile.wsmodel	wh3_dlc20_marauder_tzeentch_javelin_impact		wh3_dlc20_marauder_trail_javelin_tzeentch				0.0000	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_chs_javelin_frozen	projectiles/chs_marauder_javelin_1h_01_projectile.wsmodel	nanu_particle_effect_explosion_ice_tiny_lingering		wh_dlc05_wef_swiftshiver_arrow_trail				-0.1500	false		wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_chs_javelin_lightning	projectiles/chs_marauder_javelin_1h_01_projectile.wsmodel	nanu_particle_effect_explosion_lightning_tiny		nanu_particle_effect_lightning_trail_tiny				-0.1500	false		wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_chs_hellcannon_blast_frozen		nanu_particle_effect_explosion_ice_lingering		wh_dlc07_blessed_stone_trail				0.0000	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
nanu_chs_hellcannon_blast_lightning		nanu_particle_effect_explosion_lightning		wh3_main_weapon_tower_ksl_lightning_trail				0.0000	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
nanu_chs_hellcannon_blast_frozen_multi		nanu_particle_effect_explosion_ice_lingering		wh_dlc07_blessed_stone_trail				0.0000	false	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
