key	display_model	impact	launch_fx	trail_fx	stationary_fx	airborne_anim	landing_anim	tip_offset	trail_spin	launch_camera_shake	impact_bounce	impact_penetrate	impact_blood	impact_bounce_blood	impact_penetrate_blood	mirroring_start	mirroring_trail	scale
#projectile_displays_tables;12;db/projectile_displays_tables/nanu_dynamic_rors_emp																		
nanu_emp_arrow_arcane_fire	projectiles\wh_brt_longbow_arrow.rigid_model_v2	nanu_particle_effect_explosion_arcane_fire_tiny_lingering		nanu_particle_effect_arrow_arcane_fire_trail				-0.0500	false		wh3_main_arrow_bounce	wh2_dlc13_entity_fire_impact_penetrate				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_emp_arrow_flaming	projectiles\wh_brt_longbow_arrow.rigid_model_v2	nanu_particle_effect_explosion_fire_tiny_lingering		wh2_dlc13_weapon_fire_arrow_trail				-0.0500	false		wh3_main_arrow_bounce	wh2_dlc13_entity_fire_impact_penetrate				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_emp_arrow_magic	projectiles\wh_brt_longbow_arrow.rigid_model_v2	wh_dlc05_impact_wef_arrow_swiftshiver		wh3_main_ksl_ice_guard_arrow_trail				-0.0500	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_emp_arrow_frozen	projectiles\wh_brt_longbow_arrow.rigid_model_v2	nanu_particle_effect_explosion_ice_tiny_lingering		wh_dlc05_wef_swiftshiver_arrow_trail				-0.0500	false		nanu_particle_effect_explosion_ice_small	nanu_particle_effect_explosion_ice_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_emp_arrow_lightning	projectiles\wh_brt_longbow_arrow.rigid_model_v2	nanu_particle_effect_explosion_lightning_tiny		nanu_particle_effect_lightning_trail_tiny				-0.0500	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_emp_crossbow_arcane_fire	projectiles\wh_emp_crossbow_bolt.rigid_model_v2	nanu_particle_effect_explosion_arcane_fire_tiny_lingering		nanu_particle_effect_arrow_arcane_fire_trail				-0.0200	false		wh3_main_arrow_bounce	wh2_dlc13_entity_fire_impact_penetrate				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_emp_crossbow_flaming	projectiles\wh_emp_crossbow_bolt.rigid_model_v2	nanu_particle_effect_explosion_fire_tiny_lingering		wh2_dlc13_weapon_fire_arrow_trail				-0.0200	false		wh3_main_arrow_bounce	wh2_dlc13_entity_fire_impact_penetrate				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_emp_crossbow_frozen	projectiles\wh_emp_crossbow_bolt.rigid_model_v2	nanu_particle_effect_explosion_ice_tiny_lingering		wh_dlc05_wef_swiftshiver_arrow_trail				-0.0500	false		nanu_particle_effect_explosion_ice_small	nanu_particle_effect_explosion_ice_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_emp_crossbow_lightning	projectiles\wh_emp_crossbow_bolt.rigid_model_v2	nanu_particle_effect_explosion_lightning_tiny		nanu_particle_effect_lightning_trail_tiny				-0.0500	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_emp_crossbow_magic	projectiles\wh_emp_crossbow_bolt.rigid_model_v2	nanu_particle_effect_explosion_ice_small_lingering		wh3_main_ksl_ice_guard_arrow_trail				-0.0200	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_emp_great_cannon_ball_arcane_fire	projectiles\wh_emp_cannon_ball.rigid_model_v2	nanu_particle_effect_explosion_arcane_fire_small_lingering	wh_main_weapon_muzzle_flash_medium	nanu_particle_effect_cannonball_arcane_fire_trail				0.0000	false	wh_main_unit_launch_medium	wh3_main_arrow_bounce	wh2_dlc13_entity_fire_impact_penetrate				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
