key	display_model	impact	launch_fx	trail_fx	stationary_fx	airborne_anim	landing_anim	tip_offset	trail_spin	launch_camera_shake	impact_bounce	impact_penetrate	impact_blood	impact_bounce_blood	impact_penetrate_blood	mirroring_start	mirroring_trail	scale
#projectile_displays_tables;12;db/projectile_displays_tables/nanu_dynamic_rors_lzd																		
nanu_lzd_blowpipe_blowpipe_arcane_fire	projectiles\wh_lzd_blowpipe_dart_01.rigid_model_v2	nanu_particle_effect_explosion_arcane_fire_tiny_lingering		nanu_particle_effect_arrow_arcane_fire_trail				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_lzd_blowpipe_blowpipe_flaming	projectiles\wh_lzd_blowpipe_dart_01.rigid_model_v2	wh2_dlc13_weapon_fire_arrow		wh2_dlc13_weapon_fire_arrow_trail				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_lzd_blowpipe_blowpipe_lightning	projectiles\wh_lzd_blowpipe_dart_01.rigid_model_v2	nanu_particle_effect_explosion_lightning_tiny		wh3_main_ksl_ice_guard_arrow_trail				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_lzd_blowpipe_blowpipe_magic	projectiles\wh_lzd_blowpipe_dart_01.rigid_model_v2	wh_dlc05_impact_wef_arrow_swiftshiver		wh3_main_ksl_ice_guard_arrow_trail				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_lzd_javelin_arcane_fire	projectiles\wh_lzd_skink_javelin_1h_01_projectile.rigid_model_v2	nanu_particle_effect_explosion_arcane_fire_tiny_lingering		nanu_particle_effect_arrow_arcane_fire_trail				0.0000	false		wh_main_fire_fireball_impact	wh_main_fire_fireball_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_lzd_javelin_lightning	projectiles\wh_lzd_skink_javelin_1h_01_projectile.rigid_model_v2	nanu_particle_effect_explosion_lightning_tiny		nanu_particle_effect_lightning_trail_tiny				0.0000	false		wh_main_fire_fireball_impact	wh_main_fire_fireball_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_lzd_javelin_magic	projectiles\wh_lzd_skink_javelin_1h_01_projectile.rigid_model_v2	wh_dlc05_impact_wef_arrow_swiftshiver		nanu_particle_effect_arrow_magic_trail_blue				0.0000	false		wh_main_fire_fireball_impact	wh_main_fire_fireball_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_lzd_stegadon_bolt_arcane_fire	projectiles\wh_lzd_stegadon_bow_bolt_projectile.wsmodel	nanu_particle_effect_explosion_arcane_fire_small_lingering		nanu_particle_effect_arrow_arcane_fire_trail				0.0000	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
nanu_lzd_stegadon_bolt_flaming	projectiles\wh_lzd_stegadon_bow_bolt_projectile.wsmodel	nanu_particle_effect_explosion_fire_small_lingering		wh2_dlc13_weapon_fire_arrow_trail				0.0000	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
nanu_lzd_stegadon_bolt_lightning	projectiles\wh_lzd_stegadon_bow_bolt_projectile.wsmodel	nanu_particle_effect_explosion_lightning_small		nanu_particle_effect_lightning_trail_tiny				0.0000	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
nanu_lzd_stegadon_bolt_magic	projectiles\wh_lzd_stegadon_bow_bolt_projectile.wsmodel	wh_dlc05_impact_wef_arrow_swiftshiver		nanu_particle_effect_arrow_magic_trail_blue				0.0000	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
nanu_lzd_razordon_spike_flaming	projectiles/lzd_razordon_projectile.wsmodel	wh2_dlc13_weapon_fire_arrow		wh2_dlc13_weapon_fire_arrow_trail				0.0000	false		wh_main_impact_small	wh_main_impact_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_lzd_razordon_spike_lightning	projectiles/lzd_razordon_projectile.wsmodel	nanu_particle_effect_explosion_lightning_small		nanu_particle_effect_lightning_trail_tiny				0.0000	false		wh_main_impact_small	wh_main_impact_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_lzd_razordon_spike_magic	projectiles/lzd_razordon_projectile.wsmodel	wh_dlc05_impact_wef_arrow_swiftshiver		nanu_particle_effect_arrow_magic_trail_blue				0.0000	false		wh_main_impact_small	wh_main_impact_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_lzd_razordon_spike_poison	projectiles/lzd_razordon_projectile.wsmodel	wh_dlc07_weapon_pox_arrow		wh_dlc07_weapon_trail_arrow_poison_small				0.0000	false		wh_main_impact_small	wh_main_impact_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_lzd_fireleech_bolas_terradon_lightning	projectiles\wh2_lzd_fireleech_bolas.wsmodel	nanu_particle_effect_explosion_lightning		nanu_particle_effect_static_electricity_small_infinite				0.0000	false		wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_lzd_bastiladon_solar_engine_lightning		nanu_particle_effect_explosion_lightning		wh3_main_weapon_tower_ksl_lightning_trail				0.0000	false		wh3_main_tower_ksl_lightning	wh3_main_tower_ksl_lightning				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
nanu_lzd_salamander_lightning		nanu_particle_effect_explosion_lightning_small		nanu_particle_effect_lightning_trail_medium				0.0000	false							wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
nanu_lzd_salamander_lightning_large		nanu_particle_effect_explosion_lightning		wh3_main_weapon_tower_ksl_lightning_trail				0.0000	false							wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
