key	display_model	impact	launch_fx	trail_fx	stationary_fx	airborne_anim	landing_anim	tip_offset	trail_spin	launch_camera_shake	impact_bounce	impact_penetrate	impact_blood	impact_bounce_blood	impact_penetrate_blood	mirroring_start	mirroring_trail	scale
#projectile_displays_tables;12;db/projectile_displays_tables/nanu_dynamic_rors_ogr																		
nanu_ogr_harpoon_launcher_bolt_flaming	projectiles/ogr_hunter_crossbow_2h_01_projectile.wsmodel	wh3_dlc23_chd_blunderbuss		wh3_dlc23_blunderbuss_projectile_trail				0.0000	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
nanu_ogr_harpoon_launcher_bolt_frozen	projectiles/ogr_hunter_crossbow_2h_01_projectile.wsmodel	nanu_particle_effect_explosion_ice_small_lingering		wh3_main_ksl_ice_guard_arrow_trail				0.0000	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
nanu_ogr_harpoon_launcher_bolt_lightning	projectiles/ogr_hunter_crossbow_2h_01_projectile.wsmodel	nanu_particle_effect_explosion_lightning_small		nanu_particle_effect_lightning_trail_tiny				0.0000	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
nanu_ogr_harpoon_launcher_bolt_magic	projectiles/ogr_hunter_crossbow_2h_01_projectile.wsmodel	wh3_main_impact_ksl_bow_ice_guard		wh3_main_ksl_ice_guard_arrow_trail				0.0000	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
nanu_ogr_harpoon_launcher_bolt_poison	projectiles/ogr_hunter_crossbow_2h_01_projectile.wsmodel	wh_dlc07_weapon_pox_arrow		wh3_dlc20_marauder_trail_axe_nurgle				0.0000	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
nanu_ogr_gnoblar_scraplauncher_flaming	projectiles/ogr_gnoblar_scraplauncher_projectile_01.wsmodel	wh3_main_ogr_gnoblar_scraplauncher		wh2_main_sun_dragon_breath_trail				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
nanu_ogr_gnoblar_scraplauncher_frozen	projectiles/ogr_gnoblar_scraplauncher_projectile_01.wsmodel	wh3_main_ogr_gnoblar_scraplauncher		wh3_main_ability_ice_shard_trail				0.0000	false		wh3_main_arrow_bounce	wh3_main_spell_tempest_hailstorm				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
nanu_ogr_gnoblar_scraplauncher_lightning	projectiles/ogr_gnoblar_scraplauncher_projectile_01.wsmodel	wh3_main_ogr_gnoblar_scraplauncher		nanu_particle_effect_lightning_trail_medium				0.0000	false		nanu_particle_effect_explosion_lightning_small	nanu_particle_effect_explosion_lightning_small				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
nanu_ogr_gnoblar_scraplauncher_magic	projectiles/ogr_gnoblar_scraplauncher_projectile_01.wsmodel	wh3_main_ogr_gnoblar_scraplauncher		wh2_dlc10_bone_giant_trail				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
