key	display_model	impact	launch_fx	trail_fx	stationary_fx	airborne_anim	landing_anim	tip_offset	trail_spin	launch_camera_shake	impact_bounce	impact_penetrate	impact_blood	impact_bounce_blood	impact_penetrate_blood	mirroring_start	mirroring_trail	scale
#projectile_displays_tables;12;db/projectile_displays_tables/nanu_dynamic_rors_skv																		
nanu_skv_plagueclaw_lightning	projectiles\skv_plagueclaw_ball.rigid_model_v2	wh2_main_skv_plagueclaw		wh2_main_machine_warp_lightning_cannon_trail				0.0000	false		wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
nanu_skv_poison_wind_globe_arcane_fire	projectiles/skv_poison_globe.wsmodel	wh2_dlc12_skv_warp_jezzails_impact		nanu_particle_effect_arrow_arcane_fire_trail_green				0.0000	false	wh_main_unit_launch_light	wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_skv_poison_wind_globe_lightning	projectiles/skv_poison_globe.wsmodel	wh2_dlc12_skv_warp_jezzails_impact		nanu_particle_effect_warp_lightning_trail_small				0.0000	false	wh_main_unit_launch_light	wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_skv_poison_wind_mortar_globe_lightning	projectiles/skv_poisoned_wind_mortar_globe_1h_01.wsmodel	wh2_dlc14_poisoned_wind_mortar	wh2_dlc14_poisoned_wind_mortar_muzzle	nanu_particle_effect_warp_lightning_trail_medium				0.0000	false							wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_skv_sling_bullet_arcane_fire	projectiles\wh_skv_night_runners_sling_bullet_01.rigid_model_v2	wh2_dlc12_skv_warp_jezzails_impact		nanu_particle_effect_arrow_arcane_fire_trail_green				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_skv_sling_bullet_flaming	projectiles\wh_skv_night_runners_sling_bullet_01.rigid_model_v2	wh2_dlc13_weapon_fire_arrow		wh2_dlc13_weapon_fire_arrow_trail				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_skv_sling_bullet_lightning	projectiles\wh_skv_night_runners_sling_bullet_01.rigid_model_v2	nanu_particle_effect_explosion_warp_lightning_tiny		wh2_dlc12_machine_rattling_gun_trail				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_skv_sling_bullet_magic	projectiles\wh_skv_night_runners_sling_bullet_01.rigid_model_v2	wh2_dlc12_skv_warp_jezzails_impact		wh2_dlc12_machine_warp_lightning_rifle_trail				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_skv_throwing_star_arcane_fire	VariantMeshes/wh_variantmodels/hu17/skv/skv_props/skv_assasin_throwing_star_1h_01.wsmodel	wh2_dlc12_skv_warp_jezzails_impact		nanu_particle_effect_arrow_arcane_fire_trail_green				0.0000	false		wh3_main_arrow_bounce	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_skv_throwing_star_flaming	VariantMeshes/wh_variantmodels/hu17/skv/skv_props/skv_assasin_throwing_star_1h_01.wsmodel	wh2_dlc13_weapon_fire_arrow		wh3_dlc23_blunderbuss_projectile_trail				0.0000	false		wh3_main_arrow_bounce	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_skv_throwing_star_lightning	VariantMeshes/wh_variantmodels/hu17/skv/skv_props/skv_assasin_throwing_star_1h_01.wsmodel	nanu_particle_effect_explosion_warp_lightning_tiny		wh2_dlc12_machine_rattling_gun_trail				0.0000	false		wh3_main_arrow_bounce	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_skv_throwing_star_magic	VariantMeshes/wh_variantmodels/hu17/skv/skv_props/skv_assasin_throwing_star_1h_01.wsmodel	wh2_dlc12_skv_warp_jezzails_impact		wh2_dlc12_machine_warp_lightning_rifle_trail				0.0000	false		wh3_main_arrow_bounce	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_skv_warp_jezzails_bullet_arcane_fire	projectiles\wh_dwf_rifle_bullet.rigid_model_v2	wh2_dlc12_skv_warp_jezzails_impact		nanu_particle_effect_arrow_arcane_fire_trail_green				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
nanu_skv_warp_jezzails_bullet_flaming	projectiles\wh_dwf_rifle_bullet.rigid_model_v2	wh_dlc07_weapon_burning_arrow		wh_dlc07_weapon_trail_arrow_burning_small				0.0000	false		wh_main_impact_very_small	wh_main_impact_very_small				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
