key	detonator_type	detonation_type	detonation_radius	detonation_duration	detonation_speed	detonation_damage	shrapnel	explosion_particle_effect	fuse_distance_from_target	explosion_particle_effect_on_ground	explosion_audio	contact_phase_effect	ignition_amount	is_magical	detonation_damage_ap	camera_shake	detonation_force	fuse_fixed_time	affects_allies	is_spell
#projectiles_explosions_tables;19;db/projectiles_explosions_tables/nanu_dynamic_rors_dwf																				
nanu_dwf_bolt_thrower_bolt_multi	fuse	shockwave	6.0000	1.0000	10.0000	200.0000	nanu_dwf_bolt_thrower_bolt_multi	wh2_dlc11_weapon_gunners_impact	50.0000		wh_mortar		0.0000	false	50.0000	wh_main_unit_explosion_light	60.0000	-1.0000	true	false
nanu_dwf_bolt_thrower_bolt_multi_arcane_fire	fuse	shockwave	6.0000	1.0000	10.0000	200.0000	nanu_dwf_bolt_thrower_bolt_multi_arcane_fire	wh2_dlc11_weapon_gunners_impact	50.0000		wh_mortar		0.0000	false	50.0000	wh_main_unit_explosion_light	60.0000	-1.0000	true	false
nanu_dwf_bolt_thrower_bolt_multi_flaming	fuse	shockwave	6.0000	1.0000	10.0000	200.0000	nanu_dwf_bolt_thrower_bolt_multi_flaming	wh2_dlc11_weapon_gunners_impact	50.0000		wh_mortar		0.0000	false	50.0000	wh_main_unit_explosion_light	60.0000	-1.0000	true	false
nanu_dwf_bolt_thrower_bolt_multi_frozen	fuse	shockwave	6.0000	1.0000	10.0000	200.0000	nanu_dwf_bolt_thrower_bolt_multi_frozen	wh2_dlc11_weapon_gunners_impact	50.0000		wh_mortar		0.0000	false	50.0000	wh_main_unit_explosion_light	60.0000	-1.0000	true	false
nanu_dwf_bolt_thrower_bolt_multi_lightning	fuse	shockwave	6.0000	1.0000	10.0000	200.0000	nanu_dwf_bolt_thrower_bolt_multi_lightning	wh2_dlc11_weapon_gunners_impact	50.0000		wh_mortar		0.0000	false	50.0000	wh_main_unit_explosion_light	60.0000	-1.0000	true	false
nanu_dwf_bolt_thrower_bolt_multi_magic	fuse	shockwave	6.0000	1.0000	10.0000	200.0000	nanu_dwf_bolt_thrower_bolt_multi_magic	wh2_dlc11_weapon_gunners_impact	50.0000		wh_mortar		0.0000	false	50.0000	wh_main_unit_explosion_light	60.0000	-1.0000	true	false
nanu_dwf_cannon_ball_explosive	percussive	shockwave	5.0000	0.0000	12.0000	90.0000		wh_main_generic_spherical_explosion_small	0.0000		wh_fireball		0.0000	false	30.0000	wh_main_unit_explosion_medium	180.0000	-1.0000	true	false
nanu_dwf_cannon_ball_explosive_arcane_fire	percussive	shockwave	5.0000	0.0000	12.0000	75.0000		wh_main_generic_explosion_mine	0.0000		wh_fireball		100.0000	true	45.0000	wh_main_unit_explosion_medium	180.0000	-1.0000	true	false
nanu_dwf_cannon_ball_explosive_flaming	percussive	shockwave	5.0000	0.0000	12.0000	90.0000		wh_main_generic_explosion_mine	0.0000		wh_fireball		100.0000	false	30.0000	wh_main_unit_explosion_medium	50.0000	-1.0000	true	false
