key	detonator_type	detonation_type	detonation_radius	detonation_duration	detonation_speed	detonation_damage	shrapnel	explosion_particle_effect	fuse_distance_from_target	explosion_particle_effect_on_ground	explosion_audio	contact_phase_effect	ignition_amount	is_magical	detonation_damage_ap	camera_shake	detonation_force	fuse_fixed_time	affects_allies	is_spell
#projectiles_explosions_tables;19;db/projectiles_explosions_tables/nanu_dynamic_rors_skv																				
nanu_skv_death_globe_arcane_fire	percussive	shockwave	4.0000	0.0000	15.0000	9.0000		wh2_main_weapon_warpfire_thrower_explosion	0.0000				0.0000	true	33.0000	wh_main_unit_explosion_light	65.0000	-1.0000	true	false
nanu_skv_death_globe_lightning	percussive	shockwave	4.0000	0.0000	15.0000	9.0000		nanu_particle_effect_explosion_warp_lightning	0.0000		wh_urannons_thunderbolt		0.0000	true	33.0000	wh_main_unit_explosion_light	120.0000	-1.0000	true	false
nanu_skv_plagueclaw_arcane_fire	percussive	shockwave	5.0000	0.0000	11.0000	35.0000		wh2_main_machine_plagueclaw_catapult_impact	0.0000		wh2_plagueclaw_catapult	wh2_main_unit_contact_plague_monk_censer_morale	1.0000	true	70.0000	wh_main_unit_explosion_medium	180.0000	-1.0000	true	false
nanu_skv_plagueclaw_lightning	percussive	shockwave	5.0000	0.0000	11.0000	35.0000		nanu_particle_effect_explosion_warp_lightning_large	0.0000		wh2_plagueclaw_catapult	wh2_main_unit_contact_plague_monk_censer_morale	0.0000	true	70.0000	wh_main_unit_explosion_medium	180.0000	-1.0000	true	false
nanu_skv_plagueclaw_multi	percussive	shockwave	4.0000	0.0000	11.0000	35.0000		wh2_main_machine_plagueclaw_catapult_impact	0.0000		wh2_plagueclaw_catapult	wh2_main_unit_contact_plague_monk_censer_morale	0.0000	true	25.0000	wh_main_unit_explosion_medium	180.0000	-1.0000	true	false
nanu_skv_plagueclaw_multi_arcane_fire	percussive	shockwave	4.0000	0.0000	11.0000	20.0000		wh2_main_machine_plagueclaw_catapult_impact	0.0000		wh2_plagueclaw_catapult	wh2_main_unit_contact_plague_monk_censer_morale	1.0000	true	40.0000	wh_main_unit_explosion_medium	180.0000	-1.0000	true	false
nanu_skv_plagueclaw_multi_lightning	percussive	shockwave	4.0000	0.0000	11.0000	20.0000		nanu_particle_effect_explosion_warp_lightning_large	0.0000		wh2_plagueclaw_catapult	wh2_main_unit_contact_plague_monk_censer_morale	0.0000	true	40.0000	wh_main_unit_explosion_medium	180.0000	-1.0000	true	false
nanu_skv_poison_wind_globe_arcane_fire	percussive	shockwave	3.0000	0.0000	14.0000	28.0000		wh2_main_weapon_warpfire_thrower_explosion	0.0000				1.0000	true	8.0000	wh_main_unit_explosion_medium	20.0000	-1.0000	true	false
nanu_skv_poison_wind_globe_lightning	percussive	shockwave	3.0000	0.0000	12.0000	5.0000		nanu_particle_effect_explosion_warp_lightning	0.0000		wh_urannons_thunderbolt		0.0000	true	20.0000	wh_main_unit_explosion_medium	70.0000	-1.0000	true	false
nanu_skv_poison_wind_mortar_lightning	percussive	shockwave	6.0000	0.0000	20.0000	12.0000		nanu_particle_effect_explosion_warp_lightning_large	0.0000		wh_urannons_thunderbolt		0.0000	true	32.0000	wh_main_unit_explosion_medium	360.0000	-1.0000	true	false
nanu_skv_poison_wind_mortar_multi	fuse	shockwave	1.0000	1.0000	10.0000	12.0000	nanu_skv_poison_wind_mortar_multi	wh2_dlc14_poisoned_wind_mortar_impact	50.0000		wh2_dlc14_poison_wind_globe	wh2_dlc14_unit_contact_poisoned_wind	0.0000	true	16.0000	wh_main_unit_explosion_medium	120.0000	-1.0000	true	false
nanu_skv_poison_wind_mortar_multi_arcane_fire	fuse	shockwave	1.0000	1.0000	10.0000	32.0000	nanu_skv_poison_wind_mortar_multi_arcane_fire	wh2_dlc14_poisoned_wind_mortar_impact	50.0000		wh2_dlc14_poison_wind_globe		0.0000	true	16.0000	wh_main_unit_explosion_medium	120.0000	-1.0000	true	false
nanu_skv_poison_wind_mortar_multi_arcane_fire_shrapnel	percussive	shockwave	4.0000	0.0000	15.0000	32.0000		wh2_main_weapon_warpfire_thrower_explosion	0.0000				0.0000	true	16.0000	wh_main_unit_explosion_light	25.0000	-1.0000	true	false
nanu_skv_poison_wind_mortar_multi_lightning	fuse	shockwave	1.0000	1.0000	10.0000	12.0000	nanu_skv_poison_wind_mortar_multi_lightning	nanu_particle_effect_explosion_warp_lightning_large	50.0000		wh2_dlc14_poison_wind_globe		0.0000	true	28.0000	wh_main_unit_explosion_medium	120.0000	-1.0000	true	false
nanu_skv_poison_wind_mortar_multi_lightning_shrapnel	percussive	shockwave	4.0000	0.0000	15.0000	12.0000		nanu_particle_effect_explosion_warp_lightning	0.0000		wh2_dlc14_poison_wind_globe_RoR_shrapnel		0.0000	true	28.0000	wh_main_unit_explosion_light	65.0000	-1.0000	true	false
nanu_skv_poison_wind_mortar_multi_shrapnel	percussive	shockwave	4.0000	0.0000	15.0000	12.0000		wh_dlc05_ability_arrow_of_kurnous_explosion	0.0000		wh2_dlc14_poison_wind_globe_RoR_shrapnel	wh2_dlc14_unit_contact_poisoned_wind	0.0000	true	16.0000	wh_main_unit_explosion_light	65.0000	-1.0000	true	false
nanu_skv_warp_lightning_multi	percussive	shockwave	2.0000	0.0000	12.0000	5.0000		wh2_main_machine_warp_lightning_cannon_explosion	0.0000		wh2_dlc12_warplightning_cannon		0.0000	true	10.0000	wh_main_unit_explosion_medium	70.0000	-1.0000	true	false
