key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/nanu_dynamic_rors																																																									
nanu_unit_ability_volley_arcane	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	60.0000	10.0000	0.0000	12	24	false	false	0.1000	1.0000	180.0000	2.0000	0	0	wh2_dlc10_abilities_sisterofavalorn		wh2_dlc10_bow_arrow_hef_SOA_magical	-1.0000	false		-1.0000	1	0.0000	12.0000	nanu_dynamic_ror_magic_arrow_homing_param		0.0000	true	true	true	45	low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
nanu_unit_ability_volley_arcane_greater	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	60.0000	10.0000	0.0000	16	36	false	false	0.1000	1.0000	180.0000	2.0000	0	0	wh2_dlc10_abilities_everqueen_court_guard		wh2_dlc10_bow_arrow_hef_SOA_magical	-1.0000	false		-1.0000	1	0.0000	16.0000	nanu_dynamic_ror_magic_arrow_homing_param		0.0000	true	true	true	45	low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
nanu_unit_ability_volley_piercing	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	75.0000	10.0000	0.0000	8	28	false	false	0.1000	1.0000	180.0000	2.0000	0	0	wh_dwf_crossbow_bolt		wh_crossbow_bolt_normal	-1.0000	false	wh3_dlc23_contact_armour_destruction	-1.0000	1	0.0000	4.0000			0.0000	false	true	true	45	low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
nanu_unit_ability_volley_piercing_greater	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	75.0000	10.0000	0.0000	12	40	false	false	0.1000	1.0000	180.0000	2.0000	0	0	wh_dwf_crossbow_bolt		wh_crossbow_bolt_normal	-1.0000	false	wh3_dlc23_contact_armour_destruction	-1.0000	1	0.0000	8.0000			0.0000	false	true	true	45	low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
nanu_unit_ability_volley_poison	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	60.0000	10.0000	0.0000	32	8	false	false	0.1000	1.0000	180.0000	2.0000	0	0	wh_brt_longbow_arrow_pox		wh_bow_arrow_normal	-1.0000	false	nanu_unit_contact_potent_poison	-1.0000	1	0.0000	4.0000			0.0000	false	true	true	45	low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
nanu_unit_ability_volley_poison_greater	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	60.0000	10.0000	0.0000	44	12	false	false	0.1000	1.0000	180.0000	2.0000	0	0	wh_brt_longbow_arrow_pox		wh_bow_arrow_normal	-1.0000	false	nanu_unit_contact_potent_poison	-1.0000	1	0.0000	8.0000			0.0000	false	true	true	45	low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
nanu_unit_ability_volley_barbed	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	75.0000	10.0000	0.0000	32	12	false	false	0.1000	1.0000	180.0000	2.0000	10	0	wh2_dlc13_emp_bow_arrow		wh_bow_arrow_normal	-1.0000	false	nanu_unit_contact_bleed	-1.0000	1	0.0000	4.0000			0.0000	false	true	true	45	low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
nanu_unit_ability_volley_barbed_greater	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	75.0000	10.0000	0.0000	44	16	false	false	0.1000	1.0000	180.0000	2.0000	20	0	wh2_dlc13_emp_bow_arrow		wh_bow_arrow_normal	-1.0000	false	nanu_unit_contact_bleed	-1.0000	1	0.0000	8.0000			0.0000	false	true	true	45	low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
nanu_unit_ability_volley_ice_shard	arrow	small_arm_default	nanu_unit_ability_volley_ice_shard	none	1	dual_low_fixed	180	0	88	60.0000	10.0000	0.0000	12	24	false	false	0.1000	1.0000	180.0000	2.0000	0	0	wh2_dlc10_abilities_sisterofavalorn		wh3_ksl_tower_frost	-1.0000	false	wh_dlc08_unit_contact_frostbite	-1.0000	1	0.0000	4.0000			0.0000	true	true	true	45	low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
nanu_unit_ability_volley_ice_shard_greater	arrow	small_arm_default	nanu_unit_ability_volley_ice_shard	none	1	dual_low_fixed	180	0	88	60.0000	10.0000	0.0000	16	36	false	false	0.1000	1.0000	180.0000	2.0000	0	0	wh2_dlc10_abilities_sisterofavalorn		wh3_ksl_tower_frost	-1.0000	false	wh_dlc08_unit_contact_frostbite	-1.0000	1	0.0000	8.0000			0.0000	true	true	true	45	low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
nanu_unit_ability_volley_fire_charge	arrow	small_arm_default	nanu_unit_ability_volley_fire_charge	none	1	dual_low_fixed	180	0	88	60.0000	10.0000	0.0000	12	2	false	false	0.1000	1.0000	180.0000	2.0000	0	0	wh_brt_longbow_arrow_fire		wh_bow_arrow_flaming	-1.0000	false	wh_main_unit_contact_morale	-1.0000	1	0.0000	4.0000			10.0000	false	true	true	45	low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
nanu_unit_ability_volley_fire_charge_greater	arrow	small_arm_default	nanu_unit_ability_volley_fire_charge_greater	none	1	dual_low_fixed	180	0	88	60.0000	10.0000	0.0000	16	4	false	false	0.1000	1.0000	180.0000	2.0000	0	0	wh_brt_longbow_arrow_fire		wh_bow_arrow_flaming	-1.0000	false	wh_main_unit_contact_morale	-1.0000	1	0.0000	8.0000			10.0000	false	true	true	45	low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
nanu_unit_ability_volley_flaming	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	60.0000	10.0000	0.0000	56	4	false	false	0.1000	1.0000	180.0000	2.0000	0	0	wh_brt_longbow_arrow_fire		wh_bow_arrow_flaming	-1.0000	false	wh_main_unit_contact_morale	-1.0000	1	0.0000	4.0000			10.0000	false	true	true	45	low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
nanu_unit_ability_volley_flaming_greater	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	60.0000	10.0000	0.0000	64	8	false	false	0.1000	1.0000	180.0000	2.0000	0	0	wh_brt_longbow_arrow_fire		wh_bow_arrow_flaming	-1.0000	false	wh_main_unit_contact_morale	-1.0000	1	0.0000	8.0000			10.0000	false	true	true	45	low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
nanu_unit_ability_volley_bonus_vs_large	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	75.0000	10.0000	0.0000	18	12	false	false	0.1000	1.0000	180.0000	2.0000	0	30	wh_dwf_crossbow_bolt		wh_crossbow_bolt_normal	-1.0000	false	wh3_dlc23_contact_armour_destruction	-1.0000	1	0.0000	4.0000			0.0000	false	true	true	45	low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
nanu_unit_ability_volley_bonus_vs_large_greater	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	75.0000	10.0000	0.0000	24	16	false	false	0.1000	1.0000	180.0000	2.0000	0	40	wh_dwf_crossbow_bolt		wh_crossbow_bolt_normal	-1.0000	false	wh3_dlc23_contact_armour_destruction	-1.0000	1	0.0000	8.0000			0.0000	false	true	true	45	low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
nanu_unit_passive_unstable_winds	misc	artillery_explosive	nanu_unit_passive_unstable_winds	none	1	low	50	0	5	-1.0000	5.0000	1.0000	1	1	false	false	0.5000	27.0000	1.0000	1.0000	0	0	wh2_main_no_visual		wh_copter_bomb	0.5000	true		-1.0000	1	0.0000	10.0000			1.0000	false	false	true	45	very_low_magic	-1	false	false	false	false	1	false	false	true	true	1.0000		false	1.2000	0.4000		placeholder
nanu_unit_passive_thunderous_aura	misc	artillery_explosive	nanu_unit_passive_thunderous_aura	shell_spin	1	low	200	25	50	120.0000	30.0000	0.0000	0	173	false	false	2.0000	1.0000	75.0000	0.1000	0	0	wh_main_spell_heavens_urannons_thunderbolt		wh2_dlc12_thunderous_one_projectile	2.0000	true		0.8500	1	0.0000	100.0000			0.0000	true	true	false	45	high_magic	-1	false	false	false	true	1	false	false	true	true	3.0000		true	0.3500	0.4000		placeholder
nanu_unit_passive_thunderous_aura_greater	misc	artillery_explosive	nanu_unit_passive_thunderous_aura_greater	shell_spin	1	low	200	25	50	120.0000	30.0000	0.0000	0	472	false	false	2.0000	1.0000	75.0000	0.1000	0	0	wh_main_spell_heavens_urannons_thunderbolt		wh2_dlc12_thunderous_one_projectile	2.0000	true		0.8500	1	0.0000	100.0000			0.0000	true	true	false	45	high_magic	-1	false	false	false	true	1	false	false	true	true	3.0000		true	0.3500	0.4000		placeholder
