key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/nanu_dynamic_rors_cth																																																									
nanu_cth_dragon_crossbow_bolt_bonus_vs_large	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	45.0000	30.0000	1.6500	5	14	false	false	0.1000	13.0000	140.0000	5.1000	0	0	wh2_dlc10_abilities_sisterofavalorn		wh2_dlc10_bow_arrow_hef_SOA_magical	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	true	true	true	45	very_low_magic	300	false	false	false	false	2	false	false	false	true	0.2500		false	0.9000	0.4000		placeholder
nanu_cth_dragon_crossbow_bolt_flaming	arrow	small_arm_default		none	1	dual_low_fixed	160	0	88	45.0000	10.0000	1.6500	5	12	false	false	0.1000	13.0000	120.0000	5.1000	0	0	nanu_cth_dragon_crossbow_bolt_flaming		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			5.0000	false	true	true	45	very_low	300	false	false	false	false	2	false	false	false	true	0.5000		false	0.9000	0.4000		placeholder
nanu_cth_dragon_crossbow_bolt_poison	arrow	small_arm_default		none	1	dual_low_fixed	160	0	88	45.0000	10.0000	1.6500	5	12	false	false	0.1000	13.0000	120.0000	5.1000	0	0	nanu_cth_dragon_crossbow_bolt_flaming		wh_crossbow_bolt_normal	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	2	false	false	false	true	0.2500		false	0.9000	0.4000		placeholder
nanu_cth_dragon_crossbow_bolt_magic	arrow	small_arm_default		none	1	dual_low_fixed	160	0	88	45.0000	10.0000	1.6500	5	12	false	false	0.1000	13.0000	120.0000	5.1000	0	0	nanu_cth_dragon_crossbow_bolt_magic		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	true	true	true	45	very_low	300	false	false	false	false	2	false	false	false	true	0.2500		false	0.9000	0.4000		placeholder
nanu_cth_dragon_crossbow_bolt_explosive	arrow	small_arm_default	nanu_all_arrow_explosion	none	1	dual_low_fixed	160	0	88	45.0000	10.0000	1.6500	5	12	false	false	0.1000	13.0000	120.0000	5.1000	0	0	nanu_cth_dragon_crossbow_bolt_flaming		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	25.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	2	false	false	false	true	1.0000		false	0.9000	0.4000		placeholder
nanu_cth_dragon_crossbow_bolt_explosive_flaming	arrow	small_arm_default	nanu_all_arrow_explosion_flaming	none	1	dual_low_fixed	160	0	88	45.0000	10.0000	1.6500	5	12	false	false	0.1000	13.0000	120.0000	5.1000	0	0	nanu_cth_dragon_crossbow_bolt_flaming		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	25.0000			5.0000	false	true	true	45	very_low	300	false	false	false	false	2	false	false	false	true	1.0000		false	0.9000	0.4000		placeholder
nanu_cth_dragon_crossbow_bolt_explosive_magic	arrow	small_arm_default	nanu_all_arrow_explosion_magic	none	1	dual_low_fixed	160	0	88	45.0000	10.0000	1.6500	5	12	false	false	0.1000	13.0000	120.0000	5.1000	0	0	nanu_cth_dragon_crossbow_bolt_magic		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	25.0000			0.0000	true	true	true	45	very_low	300	false	false	false	false	2	false	false	false	true	1.0000		false	0.9000	0.4000		placeholder
nanu_cth_dragon_crossbow_bolt_explosive_arcane_fire	arrow	small_arm_default	nanu_all_arrow_explosion_arcane_fire	none	1	dual_low_fixed	160	0	88	45.0000	10.0000	1.6500	5	12	false	false	0.1000	13.0000	120.0000	5.1000	0	0	nanu_cth_dragon_crossbow_bolt_explosive_magic		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	25.0000			5.0000	true	true	true	45	very_low	300	false	false	false	false	2	false	false	false	true	1.0000		false	0.9000	0.4000		placeholder
nanu_cth_jade_crossbow_bolt_flaming	arrow	small_arm_default		none	1	dual_low_fixed	160	0	88	45.0000	10.0000	0.0000	18	6	false	false	0.1000	13.0000	120.0000	5.1000	0	0	nanu_cth_dragon_crossbow_bolt_flaming		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			5.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.5000		false	0.9000	0.4000		placeholder
nanu_cth_jade_crossbow_bolt_poison	arrow	small_arm_default		none	1	dual_low_fixed	160	0	88	45.0000	10.0000	0.0000	18	6	false	false	0.1000	13.0000	120.0000	5.1000	0	0	nanu_cth_dragon_crossbow_bolt_flaming		wh_crossbow_bolt_normal	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.9000	0.4000		placeholder
nanu_cth_jade_crossbow_bolt_magic	arrow	small_arm_default		none	1	dual_low_fixed	160	0	88	45.0000	10.0000	0.0000	18	6	false	false	0.1000	13.0000	120.0000	5.1000	0	0	nanu_cth_dragon_crossbow_bolt_magic		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	true	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.9000	0.4000		placeholder
nanu_cth_jade_crossbow_bolt_explosive	arrow	small_arm_default	nanu_all_arrow_explosion	none	1	dual_low_fixed	160	0	88	45.0000	10.0000	0.0000	18	6	false	false	0.1000	13.0000	120.0000	5.1000	0	0	wh3_main_cth_celestial_guard_crossbow_bolt		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.9000	0.4000		placeholder
nanu_cth_jade_crossbow_bolt_explosive_flaming	arrow	small_arm_default	nanu_all_arrow_explosion_flaming	none	1	dual_low_fixed	160	0	88	45.0000	10.0000	0.0000	18	6	false	false	0.1000	13.0000	120.0000	5.1000	0	0	nanu_cth_dragon_crossbow_bolt_flaming		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			5.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.9000	0.4000		placeholder
nanu_cth_jade_crossbow_bolt_explosive_magic	arrow	small_arm_default	nanu_all_arrow_explosion_magic	none	1	dual_low_fixed	160	0	88	45.0000	10.0000	0.0000	18	6	false	false	0.1000	13.0000	120.0000	5.1000	0	0	nanu_cth_dragon_crossbow_bolt_magic		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	true	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.9000	0.4000		placeholder
nanu_cth_jade_crossbow_bolt_explosive_arcane_fire	arrow	small_arm_default	nanu_all_arrow_explosion_arcane_fire	none	1	dual_low_fixed	160	0	88	45.0000	10.0000	0.0000	18	6	false	false	0.1000	13.0000	120.0000	5.1000	0	0	nanu_cth_dragon_crossbow_bolt_magic		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			5.0000	true	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.9000	0.4000		placeholder
nanu_cth_peasant_bow_arrow_flaming	arrow	small_arm_default		none	1	dual_low_fixed	140	0	88	45.0000	10.0000	0.0000	14	1	false	false	0.1000	11.0000	100.0000	5.9000	0	0	wh_brt_longbow_arrow_fire		wh_bow_arrow_normal	-1.0000	false		-1.0000	1	0.0000	3.0000			5.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.5000		false	0.9000	0.4000		placeholder
nanu_cth_peasant_bow_arrow_poison	arrow	small_arm_default		none	1	dual_low_fixed	140	0	88	45.0000	10.0000	0.0000	14	1	false	false	0.1000	11.0000	100.0000	5.9000	0	0	wh_brt_longbow_arrow_fire		wh_bow_arrow_normal	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	3.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.9000	0.4000		placeholder
