key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/nanu_dynamic_rors_lzd																																																									
nanu_lzd_blowpipe_arcane_fire	arrow	small_arm_default	wh2_dlc17_lzd_fireblood_explosion	none	1	low	70	0	75	54.0000	10.0000	0.0000	6	2	false	false	0.1000	6.0000	45.0000	3.6000	0	0	wh2_lzd_blowpipe_fireblood		wh2_dart_normal	-1.0000	false	wh2_dlc12_unit_contact_sundered_armour	-1.0000	1	0.0000	1.0000			10.0000	true	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.7800	0.4000		placeholder
nanu_lzd_blowpipe_flaming	arrow	small_arm_default	wh2_dlc17_lzd_fireblood_explosion	none	1	low	70	0	75	54.0000	10.0000	0.0000	6	2	false	false	0.1000	6.0000	45.0000	3.6000	0	0	wh2_lzd_blowpipe_fireblood		wh2_dart_normal	-1.0000	false	wh2_dlc12_unit_contact_sundered_armour	-1.0000	1	0.0000	1.0000			10.0000	false	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.7800	0.4000		placeholder
nanu_lzd_blowpipe_lightning	arrow	small_arm_default		none	1	low	70	0	75	54.0000	10.0000	0.0000	6	2	false	false	0.1000	6.0000	45.0000	3.6000	0	0	nanu_lzd_blowpipe_blowpipe_lightning		wh2_dart_normal	-1.0000	false	nanu_unit_contact_shocking	-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.7800	0.4000		placeholder
nanu_lzd_blowpipe_magic	arrow	small_arm_default		none	1	low	70	0	75	54.0000	10.0000	0.0000	6	2	false	false	0.1000	6.0000	45.0000	3.6000	0	0	nanu_lzd_blowpipe_blowpipe_magic		wh2_dart_normal	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	1.0000			0.0000	true	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.7800	0.4000		placeholder
nanu_lzd_blowpipe_bonus_vs_infantry	arrow	small_arm_default		none	1	low	70	0	75	54.0000	10.0000	0.0000	6	2	false	false	0.1000	6.0000	45.0000	3.6000	10	0	wh2_lzd_blowpipe_dart		wh2_dart_normal	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.7800	0.4000		placeholder
nanu_lzd_blowpipe_bonus_vs_infantry_arcane_fire	arrow	small_arm_default	wh2_dlc17_lzd_fireblood_explosion	none	1	low	70	0	75	54.0000	10.0000	0.0000	6	2	false	false	0.1000	6.0000	45.0000	3.6000	10	0	wh2_lzd_blowpipe_fireblood		wh2_dart_normal	-1.0000	false	wh2_dlc12_unit_contact_sundered_armour	-1.0000	1	0.0000	1.0000			10.0000	true	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.7800	0.4000		placeholder
nanu_lzd_blowpipe_bonus_vs_infantry_flaming	arrow	small_arm_default	wh2_dlc17_lzd_fireblood_explosion	none	1	low	70	0	75	54.0000	10.0000	0.0000	6	2	false	false	0.1000	6.0000	45.0000	3.6000	10	0	wh2_lzd_blowpipe_fireblood		wh2_dart_normal	-1.0000	false	wh2_dlc12_unit_contact_sundered_armour	-1.0000	1	0.0000	1.0000			10.0000	false	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.7800	0.4000		placeholder
nanu_lzd_blowpipe_bonus_vs_infantry_lightning	arrow	small_arm_default		none	1	low	70	0	75	54.0000	10.0000	0.0000	6	2	false	false	0.1000	6.0000	45.0000	3.6000	10	0	nanu_lzd_blowpipe_blowpipe_lightning		wh2_dart_normal	-1.0000	false	nanu_unit_contact_shocking	-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.7800	0.4000		placeholder
nanu_lzd_blowpipe_bonus_vs_infantry_magic	arrow	small_arm_default		none	1	low	70	0	75	54.0000	10.0000	0.0000	6	2	false	false	0.1000	6.0000	45.0000	3.6000	10	0	nanu_lzd_blowpipe_blowpipe_magic		wh2_dart_normal	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	1.0000			0.0000	true	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.7800	0.4000		placeholder
