key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/nanu_dynamic_rors_ogr																																																									
nanu_ogr_harpoon_launcher_bolt_arcane_fire	artillery	artillery_default		none	1	low	250	8	45	95.0000	30.0000	0.0000	110	340	false	false	0.2000	12.0000	190.0000	2.9000	0	0	nanu_ogr_harpoon_launcher_bolt_flaming		wh3_ogre_harpoon	0.3000	true		-1.0000	1	0.0000	50.0000			50.0000	true	true	true	45	very_high	700	false	false	false	false	1	false	false	false	true	1.5000		false	0.5000	0.4000		placeholder
nanu_ogr_harpoon_launcher_bolt_flaming	artillery	artillery_default		none	1	low	250	8	45	95.0000	30.0000	0.0000	110	340	false	false	0.2000	12.0000	190.0000	2.9000	0	0	nanu_ogr_harpoon_launcher_bolt_flaming		wh3_ogre_harpoon	0.3000	true		-1.0000	1	0.0000	50.0000			50.0000	false	true	true	45	very_high	700	false	false	false	false	1	false	false	false	true	1.5000		false	0.5000	0.4000		placeholder
nanu_ogr_harpoon_launcher_bolt_frozen	artillery	artillery_default		none	1	low	250	8	45	95.0000	30.0000	0.0000	110	340	false	false	0.2000	12.0000	190.0000	2.9000	0	0	nanu_ogr_harpoon_launcher_bolt_frozen		wh3_ksl_tower_frost	0.3000	true	wh_dlc08_unit_contact_frostbite	-1.0000	1	0.0000	50.0000			0.0000	false	true	true	45	very_high	700	false	false	false	false	1	false	false	false	true	1.5000		false	0.5000	0.4000		placeholder
nanu_ogr_harpoon_launcher_bolt_lightning	artillery	artillery_default		none	1	low	250	8	45	95.0000	30.0000	0.0000	110	340	false	false	0.2000	12.0000	190.0000	2.9000	0	0	nanu_ogr_harpoon_launcher_bolt_lightning		wh3_ksl_tower_lightning	0.3000	true	nanu_unit_contact_shocking	-1.0000	1	0.0000	50.0000			0.0000	false	true	true	45	very_high	700	false	false	false	false	1	false	false	false	true	1.5000		false	0.5000	0.4000		placeholder
nanu_ogr_harpoon_launcher_bolt_magic	artillery	artillery_default		none	1	low	250	8	45	95.0000	30.0000	0.0000	110	340	false	false	0.2000	12.0000	190.0000	2.9000	0	0	nanu_ogr_harpoon_launcher_bolt_magic		wh3_ogre_harpoon	0.3000	true		-1.0000	1	0.0000	50.0000			0.0000	true	true	true	45	very_high	700	false	false	false	false	1	false	false	false	true	1.5000		false	0.5000	0.4000		placeholder
nanu_ogr_harpoon_launcher_bolt_poison	artillery	artillery_default		none	1	low	250	8	45	95.0000	30.0000	0.0000	110	340	false	false	0.2000	12.0000	190.0000	2.9000	0	0	nanu_ogr_harpoon_launcher_bolt_poison		wh3_ogre_harpoon	0.3000	true	wh_main_unit_contact_poison	-1.0000	1	0.0000	50.0000			0.0000	false	true	true	45	very_high	700	false	false	false	false	1	false	false	false	true	1.5000		false	0.5000	0.4000		placeholder
nanu_ogr_harpoon_launcher_bolt_anti_large	artillery	artillery_default		none	1	low	250	8	45	95.0000	30.0000	0.0000	110	340	false	false	0.2000	12.0000	190.0000	2.9000	0	150	wh3_main_ogr_harpoon_launcher_bolt		wh3_ogre_harpoon	0.3000	true		-1.0000	1	0.0000	50.0000			0.0000	false	true	true	45	very_high	700	false	false	false	false	1	false	false	false	true	1.5000		false	0.5000	0.4000		placeholder
nanu_ogr_harpoon_launcher_bolt_anti_large_arcane_fire	artillery	artillery_default		none	1	low	250	8	45	95.0000	30.0000	0.0000	110	340	false	false	0.2000	12.0000	190.0000	2.9000	0	150	nanu_ogr_harpoon_launcher_bolt_flaming		wh3_ogre_harpoon	0.3000	true		-1.0000	1	0.0000	50.0000			50.0000	true	true	true	45	very_high	700	false	false	false	false	1	false	false	false	true	1.5000		false	0.5000	0.4000		placeholder
nanu_ogr_harpoon_launcher_bolt_anti_large_flaming	artillery	artillery_default		none	1	low	250	8	45	95.0000	30.0000	0.0000	110	340	false	false	0.2000	12.0000	190.0000	2.9000	0	150	nanu_ogr_harpoon_launcher_bolt_flaming		wh3_ogre_harpoon	0.3000	true		-1.0000	1	0.0000	50.0000			50.0000	false	true	true	45	very_high	700	false	false	false	false	1	false	false	false	true	1.5000		false	0.5000	0.4000		placeholder
