key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/nanu_dynamic_rors_skv																																																									
nanu_skv_death_globe_arcane_fire	artillery	artillery_default	nanu_skv_death_globe_arcane_fire	grenade_spin	1	dual_low_fixed	85	4	88	30.0000	10.0000	0.0000	6	16	false	false	0.1000	10.0000	60.0000	8.0000	0	0	nanu_skv_poison_wind_globe_arcane_fire		wh2_main_skv_death_globe	-1.0000	false	nanu_unit_contact_searing	6.5000	1	0.0000	10.0000			5.0000	true	true	true	30	very_low	120	false	true	false	false	1	false	false	false	true	1.5000		false	1.4000	0.4000		placeholder
nanu_skv_death_globe_lightning	artillery	artillery_default	nanu_skv_death_globe_lightning	grenade_spin	1	dual_low_fixed	85	4	88	30.0000	10.0000	0.0000	6	16	false	false	0.1000	10.0000	60.0000	8.0000	0	0	nanu_skv_poison_wind_globe_lightning		wh2_main_skv_death_globe	-1.0000	false	nanu_unit_contact_warp_shock	6.5000	1	0.0000	10.0000			0.0000	true	true	true	30	very_low	120	false	true	false	false	1	false	false	false	true	1.5000		false	1.4000	0.4000		placeholder
nanu_skv_gutter_runner_sling_arcane_fire	sling	small_arm_default		grenade_spin	1	dual_low_fixed	140	0	88	50.0000	15.0000	0.0000	12	2	false	false	0.1000	8.0000	85.0000	3.8000	0	0	nanu_skv_sling_bullet_arcane_fire		wh2_slingshot_rock_small	-1.0000	false		-1.0000	1	0.0000	1.0000			1.0000	true	true	true	50	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.8400	0.4000		placeholder
nanu_skv_gutter_runner_sling_flaming	sling	small_arm_default		grenade_spin	1	dual_low_fixed	140	0	88	50.0000	15.0000	0.0000	12	2	false	false	0.1000	8.0000	85.0000	3.8000	0	0	nanu_skv_sling_bullet_flaming		wh2_slingshot_rock_small	-1.0000	false		-1.0000	1	0.0000	1.0000			1.0000	false	true	true	50	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.8400	0.4000		placeholder
nanu_skv_gutter_runner_sling_lightning	sling	small_arm_default		grenade_spin	1	dual_low_fixed	140	0	88	50.0000	15.0000	0.0000	12	2	false	false	0.1000	8.0000	85.0000	3.8000	0	0	nanu_skv_sling_bullet_lightning		wh2_slingshot_rock_small	-1.0000	false	nanu_unit_contact_warp_shock	-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.8400	0.4000		placeholder
nanu_skv_gutter_runner_sling_magic	sling	small_arm_default		grenade_spin	1	dual_low_fixed	140	0	88	50.0000	15.0000	0.0000	12	2	false	false	0.1000	8.0000	85.0000	3.8000	0	0	nanu_skv_sling_bullet_magic		wh2_slingshot_rock_small	-1.0000	false		-1.0000	1	0.0000	1.0000			0.0000	true	true	true	50	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.8400	0.4000		placeholder
nanu_skv_gutter_runner_sling_poison	sling	small_arm_default		grenade_spin	1	dual_low_fixed	140	0	88	50.0000	15.0000	0.0000	12	2	false	false	0.1000	8.0000	85.0000	3.8000	0	0	wh2_main_skv_sling_bullet_poison		wh2_slingshot_rock_small	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.8400	0.4000		placeholder
nanu_skv_gutter_runner_sling_anti_infantry	sling	small_arm_default		grenade_spin	1	dual_low_fixed	140	0	88	50.0000	15.0000	0.0000	12	2	false	false	0.1000	8.0000	85.0000	3.8000	10	0	wh2_main_skv_sling_bullet		wh2_slingshot_rock_small	-1.0000	false		-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.8400	0.4000		placeholder
nanu_skv_gutter_runner_sling_anti_infantry_arcane_fire	sling	small_arm_default		grenade_spin	1	dual_low_fixed	140	0	88	50.0000	15.0000	0.0000	12	2	false	false	0.1000	8.0000	85.0000	3.8000	10	0	nanu_skv_sling_bullet_arcane_fire		wh2_slingshot_rock_small	-1.0000	false		-1.0000	1	0.0000	1.0000			1.0000	true	true	true	50	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.8400	0.4000		placeholder
