key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/nanu_dynamic_rors_tze																																																									
nanu_tze_javelin_anti_infanty	javelin	small_arm_default		none	1	dual_low_fixed	80	0	75	46.0000	10.0000	0.0000	15	7	false	false	0.1000	9.0000	50.0000	2.3000	10	0	wh3_dlc20_marauder_javelin_tzeentch		wh_javelin	-1.0000	false	wh3_main_unit_contact_warpflame	-1.0000	1	0.0000	1.0000			1.0000	true	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.9100	0.4000		placeholder
nanu_tze_javelin_anti_large	javelin	small_arm_default		none	1	dual_low_fixed	80	0	75	46.0000	10.0000	0.0000	15	7	false	false	0.1000	9.0000	50.0000	2.3000	0	15	wh3_dlc20_marauder_javelin_tzeentch		wh_javelin	-1.0000	false	wh3_main_unit_contact_warpflame	-1.0000	1	0.0000	1.0000			1.0000	true	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.9100	0.4000		placeholder
nanu_tze_javelin_explosive	javelin	small_arm_default	nanu_tze_javelin_explosive	none	1	dual_low_fixed	80	0	75	46.0000	10.0000	0.0000	15	7	false	false	0.1000	9.0000	50.0000	2.3000	0	0	wh3_dlc20_marauder_javelin_tzeentch		wh_javelin	-1.0000	false	wh3_main_unit_contact_warpflame	-1.0000	1	0.0000	1.0000			1.0000	true	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.9100	0.4000		placeholder
nanu_tze_javelin_explosive_lightning	javelin	small_arm_default	nanu_tze_javelin_explosive_lightning	none	1	dual_low_fixed	80	0	75	46.0000	10.0000	0.0000	15	7	false	false	0.1000	9.0000	50.0000	2.3000	0	0	nanu_chs_javelin_lightning		wh_javelin	-1.0000	false	nanu_unit_contact_shocking	-1.0000	1	0.0000	1.0000			1.0000	true	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.9100	0.4000		placeholder
nanu_tze_javelin_multi	javelin	small_arm_default		none	2	dual_low_fixed	80	0	75	46.0000	10.0000	2.0000	9	4	false	false	0.1000	9.0000	50.0000	2.3000	0	0	wh3_dlc20_marauder_javelin_tzeentch		wh_javelin	-1.0000	false	wh3_main_unit_contact_warpflame	-1.0000	1	0.0000	1.0000			1.0000	true	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.9100	0.4000		placeholder
nanu_tze_javelin_seeking	javelin	small_arm_default		none	1	dual_low_fixed	80	0	75	46.0000	10.0000	0.0000	15	7	false	false	0.1000	9.0000	50.0000	2.3000	0	0	wh3_dlc20_marauder_javelin_tzeentch		wh_javelin	-1.0000	false	wh3_main_unit_contact_warpflame	-1.0000	1	0.0000	1.0000	homing_strong_magical_fast		1.0000	true	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.9100	0.4000		placeholder
nanu_tze_blue_horror_fire_bolt_lightning	axe	small_arm_flaming		none	1	dual_low_fixed	90	0	88	35.0000	10.0000	0.0000	13	2	false	false	0.1000	8.0000	60.0000	2.0000	0	0	nanu_tze_horror_blue_fire_bolt_lightning		wh3_main_tze_projectile_blue_horror_fire_bolt	-1.0000	false	nanu_unit_contact_shocking	7.0000	1	0.0000	1.0000			1.0000	true	true	true	45	very_low	300	false	true	false	true	1	false	false	false	true	0.5000		false	0.7000	0.4000		placeholder
nanu_tze_blue_horror_fire_bolt_anti_infantry	axe	small_arm_flaming		none	1	dual_low_fixed	90	0	88	35.0000	10.0000	0.0000	13	2	false	false	0.1000	8.0000	60.0000	2.0000	10	0	wh3_main_tze_horror_blue_fire_bolt		wh3_main_tze_projectile_blue_horror_fire_bolt	-1.0000	false		7.0000	1	0.0000	1.0000			1.0000	true	true	true	45	very_low	300	false	true	false	true	1	false	false	false	true	0.5000		false	0.7000	0.4000		placeholder
nanu_tze_blue_horror_fire_bolt_anti_infantry_lightning	axe	small_arm_flaming		none	1	dual_low_fixed	90	0	88	35.0000	10.0000	0.0000	13	2	false	false	0.1000	8.0000	60.0000	2.0000	10	0	nanu_tze_horror_blue_fire_bolt_lightning		wh3_main_tze_projectile_blue_horror_fire_bolt	-1.0000	false	nanu_unit_contact_shocking	7.0000	1	0.0000	1.0000			1.0000	true	true	true	45	very_low	300	false	true	false	true	1	false	false	false	true	0.5000		false	0.7000	0.4000		placeholder
