key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/nanu_dynamic_rors_wef																																																									
nanu_wef_javelin_arcane_fire	javelin	small_arm_default		none	1	dual_low_fixed	90	0	75	44.0000	10.0000	0.0000	20	10	false	false	0.1000	8.0000	55.0000	2.3000	0	0	nanu_chs_javelin_flaming		wh_javelin	-1.0000	false	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	1	0.0000	1.0000			1.0000	true	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.9500	0.4000		placeholder
nanu_wef_javelin_flaming	javelin	small_arm_default		none	1	dual_low_fixed	90	0	75	44.0000	10.0000	0.0000	20	10	false	false	0.1000	8.0000	55.0000	2.3000	0	0	nanu_chs_javelin_flaming		wh_javelin	-1.0000	false	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	1	0.0000	1.0000			1.0000	false	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.9500	0.4000		placeholder
nanu_wef_javelin_magic	javelin	small_arm_default		none	1	dual_low_fixed	90	0	75	44.0000	10.0000	0.0000	20	10	false	false	0.1000	8.0000	55.0000	2.3000	0	0	nanu_lzd_javelin_magic		wh_javelin	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	1.0000			0.0000	true	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.9500	0.4000		placeholder
nanu_wef_javelin_poison	javelin	small_arm_default		none	1	dual_low_fixed	90	0	75	44.0000	10.0000	0.0000	20	10	false	false	0.1000	8.0000	55.0000	2.3000	0	0	nanu_chs_javelin_poison		wh_javelin	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.9500	0.4000		placeholder
nanu_wef_javelin_anti_infantry	javelin	small_arm_default		none	1	dual_low_fixed	90	0	75	44.0000	10.0000	0.0000	20	10	false	false	0.1000	8.0000	55.0000	2.3000	10	0	wh_chs_javelin		wh_javelin	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.9500	0.4000		placeholder
nanu_wef_javelin_anti_infantry_arcane_fire	javelin	small_arm_default		none	1	dual_low_fixed	90	0	75	44.0000	10.0000	0.0000	20	10	false	false	0.1000	8.0000	55.0000	2.3000	10	0	nanu_chs_javelin_flaming		wh_javelin	-1.0000	false	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	1	0.0000	1.0000			1.0000	true	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.9500	0.4000		placeholder
nanu_wef_javelin_anti_infantry_flaming	javelin	small_arm_default		none	1	dual_low_fixed	90	0	75	44.0000	10.0000	0.0000	20	10	false	false	0.1000	8.0000	55.0000	2.3000	10	0	nanu_chs_javelin_flaming		wh_javelin	-1.0000	false	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	1	0.0000	1.0000			1.0000	false	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.9500	0.4000		placeholder
nanu_wef_javelin_anti_infantry_magic	javelin	small_arm_default		none	1	dual_low_fixed	90	0	75	44.0000	10.0000	0.0000	20	10	false	false	0.1000	8.0000	55.0000	2.3000	10	0	nanu_lzd_javelin_magic		wh_javelin	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	1.0000			0.0000	true	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.9500	0.4000		placeholder
nanu_wef_javelin_anti_infantry_poison	javelin	small_arm_default		none	1	dual_low_fixed	90	0	75	44.0000	10.0000	0.0000	20	10	false	false	0.1000	8.0000	55.0000	2.3000	10	0	nanu_chs_javelin_poison		wh_javelin	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	low	140	false	false	false	false	1	false	false	false	true	0.2500		false	0.9500	0.4000		placeholder
