id	duration	effect_type	requested_stance	cant_move	freeze_fatigue	fatigue_change_ratio	inspiration_aura_range_mod	ability_recharge_change	hp_change_frequency	damage_amount	max_damaged_entities	resurrect	mana_regen_mod	mana_max_depletion_mod	imbue_magical	imbue_ignition	imbue_contact	phase_display	phase_audio	is_hidden_in_ui	affects_allies	affects_enemies	replenish_ammo	composite_scene_group	spreading	freeze_recharge	heal_amount	barrier_heal_amount	remove_magical	execute_ratio
#special_ability_phases_tables;44;db/special_ability_phases_tables/nanu_dynamic_rors																														
nanu_unit_ability_blood_frenzy	30.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_ability_blood_frenzy_enemy	30.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_ability_construct_killer	24.0000	negative		true	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_bound_entity_energy_large	wh_ability_negative	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_ability_daemon_slayer	35.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	true	0	wh2_pro08_unit_contact_dampen	wh_main_generic_buff_attack	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_ability_firing_line	22.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_ability_firing_line_aoe	22.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_ability_force_feed_bugmans_brew	30.0000	positive		false	false	-0.0080	0.0000	0.0000	1.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack		false	true	true	0.0000			false	0.0080	0.0000	false	0.0000
nanu_unit_ability_force_feed_kvas	30.0000	positive		false	false	-0.0080	0.0000	0.0000	1.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack		false	true	true	0.0000			false	0.0080	0.0000	false	0.0000
nanu_unit_ability_frozen_tomb_i	4.0000	negative		false	false	0.0100	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_ice_death_frost	wh3_main_spell_ice_death_frost	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_ability_frozen_tomb_ii	4.0000	negative		false	false	0.0100	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_ice_death_frost	wh3_main_spell_ice_death_frost	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_ability_frozen_tomb_iii	4.0000	negative		false	false	0.0100	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_ice_death_frost	wh3_main_spell_ice_death_frost	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_ability_frozen_tomb_iv	12.0000	positive		true	false	0.0100	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_ice_crystal_sanctuary	wh3_main_spell_ice_crystal_sanctuary	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_ability_knightslayer	35.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0	wh3_main_unit_contact_disorientated	wh_main_generic_buff_attack	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_ability_rapid_fire	22.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_ability_rapid_fire_aoe	22.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_ability_smoke_bomb_enemy	22.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_ability_smoke_bomb_self	22.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_ability_soul_rend_enemy	20.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	4	4	false	0.0000	0.0000	false	0		wh_main_spell_heavens_curse_of_the_midnight_wind	wh3_main_spell_tzeentch_glean_magic	false	false	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_ability_soul_rend_self	20.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.4000	0.2500	false	0		wh_main_spell_heavens_harmonic_convergence	wh3_main_spell_tzeentch_glean_magic	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_ability_swiftness_of_itzl	15.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0			wh_ability_positive_one_shot	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_contact_bleed	15.0000	negative		false	false	0.0050	0.0000	0.0000	1.0000	2	16	false	0.0000	0.0000	false	0		wh2_main_unit_contact_weeping_blade		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_contact_blinded	10.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0				false	false	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_contact_bone_breaker	10.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_dlc14_spell_stealth_brittle_bone		false	false	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_contact_corrupting	10.0000	negative		false	false	0.0050	0.0000	0.0000	1.0000	16	1	false	0.0000	0.0000	false	0		wh3_dlc23_darkened_mist		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nanu_unit_contact_crushing	10.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_main_unit_contact_weeping_blade		false	false	true	0.0000			false	0.0000	0.0000	false	0.0000
