key	text	tooltip
#Loc;1;text/db/!!_nanu_dynamic_rors.loc		
    "nanu_dynamic_ror_basic_all_arcane_fire_attacks_ammo_type_arcane_fire",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_all_barrier",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_all_barrier_greater",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_all_flaming_attacks_ammo_type_flaming",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_all_magic_attacks_ammo_type_magic",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_artillery_1",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_artillery_2",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_artillery_3",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_cavalry_1",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_cavalry_2",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_cavalry_3",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_elite_1",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_elite_2",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_elite_3",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_melee_1",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_melee_2",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_melee_3",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_melee_bonus_vs_large_1",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_melee_bonus_vs_large_2",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_melee_bonus_vs_large_3",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_monster_1",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_monster_2",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_monster_3",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_ranged_1",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_ranged_2",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_ranged_3",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_single_entity_1",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_single_entity_2",	PLACEHOLDER	false
    "nanu_dynamic_ror_basic_single_entity_3",	PLACEHOLDER	false
    "nanu_dynamic_ror_ability_all_arcane_blast",	PLACEHOLDER	false
    "nanu_dynamic_ror_ability_all_arcane_blast_magic_attacks_ammo_type_magic",	PLACEHOLDER	false
