key	text	tooltip
#Loc;1;text/db/nanu_dynamic_rors_effect_bundles__.loc		
effect_bundles_localised_title_nanu_dynamic_ror_basic_all_arcane_fire_attacks_ammo_type_arcane_fire	Arcane Fire	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_all_barrier	Barrier	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_all_barrier_greater	Greater Barrier	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_all_flaming_attacks_ammo_type_flaming	Flaming Attacks	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_all_magic_attacks_ammo_type_magic	Magic Attacks	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_artillery_1	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_artillery_2	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_artillery_3	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_cavalry_1	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_cavalry_2	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_cavalry_3	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_elite_1	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_elite_2	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_elite_3	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_melee_1	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_melee_2	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_melee_3	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_melee_bonus_vs_large_1	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_melee_bonus_vs_large_2	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_melee_bonus_vs_large_3	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_monster_1	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_monster_2	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_monster_3	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_ranged_1	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_ranged_2	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_ranged_3	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_single_entity_1	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_single_entity_2	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_basic_single_entity_3	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_slaanesh_basic_keeper_of_secrets_lore_of_shadows	Exhalted Keeper of Secrets (Shadows)	false
effect_bundles_localised_title_nanu_dynamic_ror_slaanesh_basic_keeper_of_secrets_lore_of_slaanesh	Exhalted Keeper of Secrets (Slaanesh)	false
effect_bundles_localised_title_nanu_dynamic_ror_empire_basic_archer_1	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_empire_basic_archer_2	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_empire_basic_archer_3	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_empire_basic_knight_1	Regiment of Renown	false
effect_bundles_localised_title_nanu_dynamic_ror_empire_basic_knight_2	Regiment of Renown	false
