key	text	tooltip
#Loc;1;text/db/nanu_dynamic_rors_effects__.loc		
effects_description_nanu_ammo_type_arcane_fire	Magic Flaming Ammunition	false
effects_description_nanu_ammo_type_flaming	Flaming Ammunition	false
effects_description_nanu_ammo_type_frozen	Frozen Ammunition	false
effects_description_nanu_ammo_type_lightning	Lightning Ammunition	false
effects_description_nanu_ammo_type_magic	Magic Ammunition	false
effects_description_nanu_ammo_type_poison	Poison Ammunition	false
effects_description_nanu_ammo_type_anti_infantry	Anti Infantry Ammunition	false
effects_description_nanu_ammo_type_anti_infantry_arcane_fire	Magic Flaming Anti Infantry Ammunition	false
effects_description_nanu_ammo_type_anti_infantry_flaming	Flaming Anti Infantry Ammunition	false
effects_description_nanu_ammo_type_anti_infantry_frozen	Frozen Anti Infantry Ammunition	false
effects_description_nanu_ammo_type_anti_infantry_lightning	Lightning Anti Infantry Ammunition	false
effects_description_nanu_ammo_type_anti_infantry_magic	Magic Anti Infantry Ammunition	false
effects_description_nanu_ammo_type_anti_infantry_poison	Poison Anti Infantry Ammunition	false
effects_description_nanu_ammo_type_anti_large	Anti Large Ammunition	false
effects_description_nanu_ammo_type_anti_large_arcane_fire	Magic Flaming Anti Large Ammunition	false
effects_description_nanu_ammo_type_anti_large_flaming	Flaming Anti Large Ammunition	false
effects_description_nanu_ammo_type_anti_large_frozen	Frozen Anti Large Ammunition	false
effects_description_nanu_ammo_type_anti_large_lightning	Lightning Anti Large Ammunition	false
effects_description_nanu_ammo_type_anti_large_magic	Magic Anti Large Ammunition	false
effects_description_nanu_ammo_type_anti_large_poison	Poison Anti Large Ammunition	false
effects_description_nanu_ammo_type_explosive	Explosive Ammunition	false
effects_description_nanu_ammo_type_explosive_arcane_fire	Magic Flaming Explosive Ammunition	false
effects_description_nanu_ammo_type_explosive_flaming	Flaming Explosive Ammunition	false
effects_description_nanu_ammo_type_explosive_frozen	Frozen Explosive Ammunition	false
effects_description_nanu_ammo_type_explosive_lightning	Lightning Explosive Ammunition	false
effects_description_nanu_ammo_type_explosive_magic	Magic Explosive Ammunition	false
effects_description_nanu_ammo_type_explosive_poison	Poison Explosive Ammunition	false
effects_description_nanu_ammo_type_multi	Multi Shot Ammo	false
effects_description_nanu_ammo_type_multi_arcane_fire	Multi Shot Magic Flaming Ammo	false
effects_description_nanu_ammo_type_multi_flaming	Multi Shot Flaming Ammo	false
effects_description_nanu_ammo_type_multi_frozen	Multi Shot Frozen Ammo	false
effects_description_nanu_ammo_type_multi_lightning	Multi Shot Lightning Ammo	false
effects_description_nanu_ammo_type_multi_magic	Multi Shot Magic Ammo	false
effects_description_nanu_ammo_type_multi_poison	Multi Shot Poison Ammo	false
effects_description_nanu_attribute_cause_fear_vs_bretonnia	Attribute: Causes Fear when fighting against Bretonnia	false
effects_description_nanu_attribute_cause_fear_vs_elves	Attribute: Causes Fear when fighting against Elves	false
effects_description_nanu_attribute_cause_fear_vs_forces_of_order	Attribute: Causes Fear when fighting against High Elves, Lizardmen, Dwarfs and men	false
