key	text	tooltip
#Loc;1;text/db/nanu_dynamic_rors_unit_abilities__.loc		
unit_abilities_onscreen_name_nanu_unit_passive_purge_the_foul	Purge the Foul	true
unit_abilities_tooltip_text_nanu_unit_passive_purge_the_foul	The magical aura surrounding this unit damages the binding of undead.	true
unit_abilities_onscreen_name_nanu_unit_passive_aura_of_shielding	Aura of Shielding	false
unit_abilities_tooltip_text_nanu_unit_passive_aura_of_shielding	The magical aura surrounding this unit protects allies from harm.	false
unit_abilities_onscreen_name_nanu_unit_passive_murderous_mastery	Murderous Mastery	false
unit_abilities_tooltip_text_nanu_unit_passive_murderous_mastery	Slaughter! There is no greater glorification of Khaine, the God of Murder, and no more popular form of worship amongst the Dark Elves. It is through killing that Dark Elves rise above other beings. Once engulfed in enough bloodshed, they will often feel their murderous prowess increase, as if Khaine himself was guiding the blades of his disciples.	false
unit_abilities_onscreen_name_nanu_unit_passive_from_the_mist	From the Mist	false
unit_abilities_tooltip_text_nanu_unit_passive_from_the_mist	Dark figures move and twist within the mists surrounding this unit, providing additional protection against the foe.	false
unit_abilities_onscreen_name_nanu_unit_passive_charge_breaker	Charge Breaker	true
unit_abilities_tooltip_text_nanu_unit_passive_charge_breaker	A fell horn is sounded, frightening the charging enemy and leaving them vulnerable to a counter charge.	true
unit_abilities_onscreen_name_nanu_unit_passive_thornmail	Thornmail	true
unit_abilities_tooltip_text_nanu_unit_passive_thornmail	This spiky armor both protects the wearer and makes it difficult to strike them without also getting poked by its poisoned barbs.	true
unit_abilities_onscreen_name_nanu_unit_passive_disharmony	Disharmony	true
unit_abilities_tooltip_text_nanu_unit_passive_disharmony	This units exudes a befuddling aura. Orders are misheard, vision is blurred, minds are muddied, and any hope of organization is extinguished.	true
unit_abilities_onscreen_name_nanu_unit_passive_amphibious	Amphibious	true
unit_abilities_tooltip_text_nanu_unit_passive_amphibious	This units excels in aquatic environment, fighting with ease in waters most would struggle to even walk through.	true
unit_abilities_onscreen_name_nanu_unit_passive_heroic_charge	Heroic Charge	true
