id	missile_weapon	unit	battle_entity_stats_override
#unit_missile_weapon_junctions_tables;1;db/unit_missile_weapon_junctions_tables/nanu_dynamic_rors_brt			
800600000	nanu_brt_trebuchet_cow	wh_main_brt_art_field_trebuchet	
800600001	nanu_brt_trebuchet_stone_arcane_fire	wh_main_brt_art_field_trebuchet	
800600002	nanu_brt_trebuchet_stone_explosive	wh_main_brt_art_field_trebuchet	
800600003	nanu_brt_trebuchet_stone_flaming	wh_main_brt_art_field_trebuchet	
800600004	nanu_brt_trebuchet_stone_frozen	wh_main_brt_art_field_trebuchet	
800600005	nanu_brt_trebuchet_stone_lightning	wh_main_brt_art_field_trebuchet	
800600006	wh_dlc07_brt_blessed_trebuchet	wh_main_brt_art_field_trebuchet	
800600007	nanu_brt_arrow_horse_arcane_fire	wh_main_brt_cav_mounted_yeomen_1	
800600008	nanu_brt_arrow_horse_flaming	wh_main_brt_cav_mounted_yeomen_1	
800600009	nanu_brt_arrow_horse_frozen	wh_main_brt_cav_mounted_yeomen_1	
800600010	nanu_brt_arrow_horse_lightning	wh_main_brt_cav_mounted_yeomen_1	
800600011	nanu_brt_arrow_horse_magic	wh_main_brt_cav_mounted_yeomen_1	
800600012	nanu_brt_arrow_horse_poison	wh_main_brt_cav_mounted_yeomen_1	
800600013	nanu_brt_arrow_horse_anti_infantry	wh_main_brt_cav_mounted_yeomen_1	
800600014	nanu_brt_arrow_horse_anti_infantry_arcane_fire	wh_main_brt_cav_mounted_yeomen_1	
800600015	nanu_brt_arrow_horse_anti_infantry_flaming	wh_main_brt_cav_mounted_yeomen_1	
800600016	nanu_brt_arrow_horse_anti_infantry_magic	wh_main_brt_cav_mounted_yeomen_1	
800600017	nanu_brt_arrow_horse_anti_infantry_frozen	wh_main_brt_cav_mounted_yeomen_1	
800600018	nanu_brt_arrow_horse_anti_infantry_lightning	wh_main_brt_cav_mounted_yeomen_1	
800600019	nanu_brt_arrow_horse_anti_infantry_poison	wh_main_brt_cav_mounted_yeomen_1	
800600020	nanu_brt_arrow_horse_anti_large	wh_main_brt_cav_mounted_yeomen_1	
800600021	nanu_brt_arrow_horse_anti_large_arcane_fire	wh_main_brt_cav_mounted_yeomen_1	
800600022	nanu_brt_arrow_horse_anti_large_flaming	wh_main_brt_cav_mounted_yeomen_1	
800600023	nanu_brt_arrow_horse_anti_large_frozen	wh_main_brt_cav_mounted_yeomen_1	
800600024	nanu_brt_arrow_horse_anti_large_lightning	wh_main_brt_cav_mounted_yeomen_1	
800600025	nanu_brt_arrow_horse_anti_large_magic	wh_main_brt_cav_mounted_yeomen_1	
800600026	nanu_brt_arrow_horse_anti_large_poison	wh_main_brt_cav_mounted_yeomen_1	
800600027	nanu_brt_arrow_horse_multi	wh_main_brt_cav_mounted_yeomen_1	
800600028	nanu_brt_arrow_horse_multi_arcane_fire	wh_main_brt_cav_mounted_yeomen_1	
800600029	nanu_brt_arrow_horse_multi_flaming	wh_main_brt_cav_mounted_yeomen_1	
800600030	nanu_brt_arrow_horse_multi_frozen	wh_main_brt_cav_mounted_yeomen_1	
800600031	nanu_brt_arrow_horse_multi_lightning	wh_main_brt_cav_mounted_yeomen_1	
800600032	nanu_brt_arrow_horse_multi_magic	wh_main_brt_cav_mounted_yeomen_1	
800600033	nanu_brt_arrow_horse_multi_poison	wh_main_brt_cav_mounted_yeomen_1	
800600034	nanu_brt_arrow_horse_seeking	wh_main_brt_cav_mounted_yeomen_1	
800600035	nanu_brt_arrow_horse_seeking_arcane_fire	wh_main_brt_cav_mounted_yeomen_1	
800600036	nanu_brt_arrow_horse_seeking_flaming	wh_main_brt_cav_mounted_yeomen_1	
800600037	nanu_brt_arrow_horse_seeking_frozen	wh_main_brt_cav_mounted_yeomen_1	
800600038	nanu_brt_arrow_horse_seeking_lightning	wh_main_brt_cav_mounted_yeomen_1	
800600039	nanu_brt_arrow_horse_seeking_magic	wh_main_brt_cav_mounted_yeomen_1	
800600040	nanu_brt_arrow_horse_seeking_poison	wh_main_brt_cav_mounted_yeomen_1	
800600041	nanu_brt_peasant_bowmen_arrow_arcane_fire	wh_main_brt_inf_peasant_bowmen	
800600042	nanu_brt_peasant_bowmen_arrow_flaming	wh_main_brt_inf_peasant_bowmen	
800600043	nanu_brt_peasant_bowmen_arrow_frozen	wh_main_brt_inf_peasant_bowmen	
800600044	nanu_brt_peasant_bowmen_arrow_lightning	wh_main_brt_inf_peasant_bowmen	
800600045	nanu_brt_peasant_bowmen_arrow_magic	wh_main_brt_inf_peasant_bowmen	
800600046	nanu_brt_peasant_bowmen_arrow_poison	wh_main_brt_inf_peasant_bowmen	
800600047	nanu_brt_peasant_bowmen_arrow_anti_infantry	wh_main_brt_inf_peasant_bowmen	
800600048	nanu_brt_peasant_bowmen_arrow_anti_infantry_arcane_fire	wh_main_brt_inf_peasant_bowmen	
800600049	nanu_brt_peasant_bowmen_arrow_anti_infantry_flaming	wh_main_brt_inf_peasant_bowmen	
800600050	nanu_brt_peasant_bowmen_arrow_anti_infantry_frozen	wh_main_brt_inf_peasant_bowmen	
800600051	nanu_brt_peasant_bowmen_arrow_anti_infantry_lightning	wh_main_brt_inf_peasant_bowmen	
800600052	nanu_brt_peasant_bowmen_arrow_anti_infantry_magic	wh_main_brt_inf_peasant_bowmen	
800600053	nanu_brt_peasant_bowmen_arrow_anti_infantry_poison	wh_main_brt_inf_peasant_bowmen	
800600054	nanu_brt_peasant_bowmen_arrow_anti_large	wh_main_brt_inf_peasant_bowmen	
800600055	nanu_brt_peasant_bowmen_arrow_anti_large_arcane_fire	wh_main_brt_inf_peasant_bowmen	
800600056	nanu_brt_peasant_bowmen_arrow_anti_large_flaming	wh_main_brt_inf_peasant_bowmen	
800600057	nanu_brt_peasant_bowmen_arrow_anti_large_frozen	wh_main_brt_inf_peasant_bowmen	
800600058	nanu_brt_peasant_bowmen_arrow_anti_large_lightning	wh_main_brt_inf_peasant_bowmen	
800600059	nanu_brt_peasant_bowmen_arrow_anti_large_magic	wh_main_brt_inf_peasant_bowmen	
800600060	nanu_brt_peasant_bowmen_arrow_anti_large_poison	wh_main_brt_inf_peasant_bowmen	
800600061	nanu_brt_peasant_bowmen_arrow_multi	wh_main_brt_inf_peasant_bowmen	
800600062	nanu_brt_peasant_bowmen_arrow_multi_arcane_fire	wh_main_brt_inf_peasant_bowmen	
800600063	nanu_brt_peasant_bowmen_arrow_multi_flaming	wh_main_brt_inf_peasant_bowmen	
800600064	nanu_brt_peasant_bowmen_arrow_multi_frozen	wh_main_brt_inf_peasant_bowmen	
800600065	nanu_brt_peasant_bowmen_arrow_multi_lightning	wh_main_brt_inf_peasant_bowmen	
800600066	nanu_brt_peasant_bowmen_arrow_multi_magic	wh_main_brt_inf_peasant_bowmen	
800600067	nanu_brt_peasant_bowmen_arrow_multi_poison	wh_main_brt_inf_peasant_bowmen	
800600068	nanu_brt_peasant_bowmen_arrow_seeking	wh_main_brt_inf_peasant_bowmen	
800600069	nanu_brt_peasant_bowmen_arrow_seeking_arcane_fire	wh_main_brt_inf_peasant_bowmen	
800600070	nanu_brt_peasant_bowmen_arrow_seeking_flaming	wh_main_brt_inf_peasant_bowmen	
800600071	nanu_brt_peasant_bowmen_arrow_seeking_frozen	wh_main_brt_inf_peasant_bowmen	
800600072	nanu_brt_peasant_bowmen_arrow_seeking_lightning	wh_main_brt_inf_peasant_bowmen	
800600073	nanu_brt_peasant_bowmen_arrow_seeking_magic	wh_main_brt_inf_peasant_bowmen	
800600074	nanu_brt_peasant_bowmen_arrow_seeking_poison	wh_main_brt_inf_peasant_bowmen	
800600075	nanu_brt_peasant_bowmen_arrow_arcane_fire	wh_dlc07_brt_inf_peasant_bowmen_1	
800600076	nanu_brt_peasant_bowmen_arrow_anti_infantry_arcane_fire	wh_dlc07_brt_inf_peasant_bowmen_1	
800600077	nanu_brt_peasant_bowmen_arrow_anti_large_arcane_fire	wh_dlc07_brt_inf_peasant_bowmen_1	
800600078	nanu_brt_peasant_bowmen_arrow_multi_arcane_fire	wh_dlc07_brt_inf_peasant_bowmen_1	
800600079	nanu_brt_peasant_bowmen_arrow_multi_flaming	wh_dlc07_brt_inf_peasant_bowmen_1	
800600080	nanu_brt_peasant_bowmen_arrow_seeking_arcane_fire	wh_dlc07_brt_inf_peasant_bowmen_1	
800600081	nanu_brt_peasant_bowmen_arrow_seeking_flaming	wh_dlc07_brt_inf_peasant_bowmen_1	
800600082	nanu_brt_peasant_bowmen_arrow_anti_infantry_poison	wh_dlc07_brt_inf_peasant_bowmen_2	
800600083	nanu_brt_peasant_bowmen_arrow_anti_large_poison	wh_dlc07_brt_inf_peasant_bowmen_2	
800600084	nanu_brt_peasant_bowmen_arrow_multi_poison	wh_dlc07_brt_inf_peasant_bowmen_2	
800600085	nanu_brt_peasant_bowmen_arrow_seeking_poison	wh_dlc07_brt_inf_peasant_bowmen_2	
