id	missile_weapon	unit	battle_entity_stats_override
#unit_missile_weapon_junctions_tables;1;db/unit_missile_weapon_junctions_tables/nanu_dynamic_rors_chs			
800640000	nanu_chs_heavy_javelin_arcane_fire	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640001	nanu_chs_heavy_javelin_flaming	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640002	nanu_chs_heavy_javelin_frozen	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640003	nanu_chs_heavy_javelin_lightning	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640004	nanu_chs_heavy_javelin_magic	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640005	nanu_chs_heavy_javelin_poison	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640006	nanu_chs_heavy_javelin_anti_infantry	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640007	nanu_chs_heavy_javelin_anti_infantry_arcane_fire	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640008	nanu_chs_heavy_javelin_anti_infantry_flaming	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640009	nanu_chs_heavy_javelin_anti_infantry_frozen	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640010	nanu_chs_heavy_javelin_anti_infantry_lightning	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640011	nanu_chs_heavy_javelin_anti_infantry_magic	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640012	nanu_chs_heavy_javelin_anti_infantry_poison	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640013	nanu_chs_heavy_javelin_anti_large	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640014	nanu_chs_heavy_javelin_anti_large_arcane_fire	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640015	nanu_chs_heavy_javelin_anti_large_flaming	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640016	nanu_chs_heavy_javelin_anti_large_frozen	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640017	nanu_chs_heavy_javelin_anti_large_lightning	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640018	nanu_chs_heavy_javelin_anti_large_magic	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640019	nanu_chs_heavy_javelin_anti_large_poison	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640020	nanu_chs_heavy_javelin_multi	wh_dlc06_chs_cav_marauder_horsemasters_0	
800640021	nanu_chs_heavy_javelin_multi_arcane_fire	wh_dlc06_chs_cav_marauder_horsemasters_0	
