id	missile_weapon	unit	battle_entity_stats_override
#unit_missile_weapon_junctions_tables;1;db/unit_missile_weapon_junctions_tables/nanu_dynamic_rors_def			
800670000	nanu_def_harpoon_scourgerunner_chariot_arcane_fire 	wh2_dlc14_def_cav_scourgerunner_chariot_0	
800670001	nanu_def_harpoon_scourgerunner_chariot_flaming	wh2_dlc14_def_cav_scourgerunner_chariot_0	
800670002	nanu_def_harpoon_scourgerunner_chariot_magic	wh2_dlc14_def_cav_scourgerunner_chariot_0	
800670003	nanu_def_harpoon_scourgerunner_chariot_poison	wh2_dlc14_def_cav_scourgerunner_chariot_0	
800670004	nanu_def_harpoon_scourgerunner_chariot_arcane_fire 	wh2_dlc14_def_cav_scourgerunner_chariot_0	wh2_dlc14_def_scourgerunner_chariot_rider
800670005	nanu_def_harpoon_scourgerunner_chariot_flaming	wh2_dlc14_def_cav_scourgerunner_chariot_0	wh2_dlc14_def_scourgerunner_chariot_rider
800670006	nanu_def_harpoon_scourgerunner_chariot_magic	wh2_dlc14_def_cav_scourgerunner_chariot_0	wh2_dlc14_def_scourgerunner_chariot_rider
800670007	nanu_def_harpoon_scourgerunner_chariot_poison	wh2_dlc14_def_cav_scourgerunner_chariot_0	wh2_dlc14_def_scourgerunner_chariot_rider
800670008	nanu_def_chariot_crossbow_bolt_arcane_fire	wh2_main_def_cav_cold_one_chariot	
800670009	nanu_def_chariot_crossbow_bolt_flaming	wh2_main_def_cav_cold_one_chariot	
800670010	nanu_def_chariot_crossbow_bolt_magic	wh2_main_def_cav_cold_one_chariot	
800670011	nanu_def_chariot_crossbow_bolt_poison	wh2_main_def_cav_cold_one_chariot	
800670012	nanu_def_chariot_crossbow_bolt_anti_infantry	wh2_main_def_cav_cold_one_chariot	
800670013	nanu_def_chariot_crossbow_bolt_anti_infantry_arcane_fire	wh2_main_def_cav_cold_one_chariot	
800670014	nanu_def_chariot_crossbow_bolt_anti_infantry_flaming	wh2_main_def_cav_cold_one_chariot	
