id	missile_weapon	unit	battle_entity_stats_override
#unit_missile_weapon_junctions_tables;1;db/unit_missile_weapon_junctions_tables/nanu_dynamic_rors_dwf			
800680000	nanu_dwf_crossbow_bolt_arcane_fire	wh_main_dwf_inf_quarrellers_0	
800680001	nanu_dwf_crossbow_bolt_flaming	wh_main_dwf_inf_quarrellers_0	
800680002	nanu_dwf_crossbow_bolt_frozen	wh_main_dwf_inf_quarrellers_0	
800680003	nanu_dwf_crossbow_bolt_lightning	wh_main_dwf_inf_quarrellers_0	
800680004	nanu_dwf_crossbow_bolt_magic	wh_main_dwf_inf_quarrellers_0	
800680005	nanu_dwf_crossbow_bolt_poison	wh_main_dwf_inf_quarrellers_0	
800680006	nanu_dwf_crossbow_bolt_anti_infantry	wh_main_dwf_inf_quarrellers_0	
800680007	nanu_dwf_crossbow_bolt_anti_infantry_arcane_fire	wh_main_dwf_inf_quarrellers_0	
800680008	nanu_dwf_crossbow_bolt_anti_infantry_flaming	wh_main_dwf_inf_quarrellers_0	
800680009	nanu_dwf_crossbow_bolt_anti_infantry_frozen	wh_main_dwf_inf_quarrellers_0	
800680010	nanu_dwf_crossbow_bolt_anti_infantry_lightning	wh_main_dwf_inf_quarrellers_0	
800680011	nanu_dwf_crossbow_bolt_anti_infantry_magic	wh_main_dwf_inf_quarrellers_0	
800680012	nanu_dwf_crossbow_bolt_anti_infantry_poison	wh_main_dwf_inf_quarrellers_0	
800680013	nanu_dwf_crossbow_bolt_anti_large	wh_main_dwf_inf_quarrellers_0	
800680014	nanu_dwf_crossbow_bolt_anti_large_arcane_fire	wh_main_dwf_inf_quarrellers_0	
800680015	nanu_dwf_crossbow_bolt_anti_large_flaming	wh_main_dwf_inf_quarrellers_0	
800680016	nanu_dwf_crossbow_bolt_anti_large_frozen	wh_main_dwf_inf_quarrellers_0	
800680017	nanu_dwf_crossbow_bolt_anti_large_lightning	wh_main_dwf_inf_quarrellers_0	
800680018	nanu_dwf_crossbow_bolt_anti_large_magic	wh_main_dwf_inf_quarrellers_0	
800680019	nanu_dwf_crossbow_bolt_anti_large_poison	wh_main_dwf_inf_quarrellers_0	
