id	missile_weapon	unit	battle_entity_stats_override
#unit_missile_weapon_junctions_tables;1;db/unit_missile_weapon_junctions_tables/nanu_dynamic_rors_emp			
800690000	nanu_emp_archer_arrow_arcane_fire	wh2_dlc13_emp_inf_archers_0	
800690001	nanu_emp_archer_arrow_flaming	wh2_dlc13_emp_inf_archers_0	
800690002	nanu_emp_archer_arrow_frozen	wh2_dlc13_emp_inf_archers_0	
800690003	nanu_emp_archer_arrow_lightning	wh2_dlc13_emp_inf_archers_0	
800690004	nanu_emp_archer_arrow_magic	wh2_dlc13_emp_inf_archers_0	
800690005	nanu_emp_archer_arrow_poison	wh2_dlc13_emp_inf_archers_0	
800690006	nanu_emp_archer_arrow_anti_infantry	wh2_dlc13_emp_inf_archers_0	
800690007	nanu_emp_archer_arrow_anti_infantry_arcane_fire	wh2_dlc13_emp_inf_archers_0	
800690008	nanu_emp_archer_arrow_anti_infantry_flaming	wh2_dlc13_emp_inf_archers_0	
800690009	nanu_emp_archer_arrow_anti_infantry_frozen	wh2_dlc13_emp_inf_archers_0	
800690010	nanu_emp_archer_arrow_anti_infantry_lightning	wh2_dlc13_emp_inf_archers_0	
800690011	nanu_emp_archer_arrow_anti_infantry_magic	wh2_dlc13_emp_inf_archers_0	
800690012	nanu_emp_archer_arrow_anti_infantry_poison	wh2_dlc13_emp_inf_archers_0	
800690013	nanu_emp_archer_arrow_anti_large	wh2_dlc13_emp_inf_archers_0	
800690014	nanu_emp_archer_arrow_anti_large_arcane_fire	wh2_dlc13_emp_inf_archers_0	
800690015	nanu_emp_archer_arrow_anti_large_flaming	wh2_dlc13_emp_inf_archers_0	
800690016	nanu_emp_archer_arrow_anti_large_frozen	wh2_dlc13_emp_inf_archers_0	
800690017	nanu_emp_archer_arrow_anti_large_lightning	wh2_dlc13_emp_inf_archers_0	
800690018	nanu_emp_archer_arrow_anti_large_magic	wh2_dlc13_emp_inf_archers_0	
800690019	nanu_emp_archer_arrow_anti_large_poison	wh2_dlc13_emp_inf_archers_0	
800690020	nanu_emp_archer_arrow_seeking	wh2_dlc13_emp_inf_archers_0	
800690021	nanu_emp_archer_arrow_seeking_arcane_fire	wh2_dlc13_emp_inf_archers_0	
800690022	nanu_emp_archer_arrow_seeking_flaming	wh2_dlc13_emp_inf_archers_0	
800690023	nanu_emp_archer_arrow_seeking_frozen	wh2_dlc13_emp_inf_archers_0	
800690024	nanu_emp_archer_arrow_seeking_lightning	wh2_dlc13_emp_inf_archers_0	
800690025	nanu_emp_archer_arrow_seeking_magic	wh2_dlc13_emp_inf_archers_0	
800690026	nanu_emp_archer_arrow_seeking_poison	wh2_dlc13_emp_inf_archers_0	
800690027	nanu_emp_archer_arrow_multi	wh2_dlc13_emp_inf_archers_0	
800690028	nanu_emp_archer_arrow_multi_arcane_fire	wh2_dlc13_emp_inf_archers_0	
800690029	nanu_emp_archer_arrow_multi_flaming	wh2_dlc13_emp_inf_archers_0	
800690030	nanu_emp_archer_arrow_multi_frozen	wh2_dlc13_emp_inf_archers_0	
800690031	nanu_emp_archer_arrow_multi_lightning	wh2_dlc13_emp_inf_archers_0	
800690032	nanu_emp_archer_arrow_multi_magic	wh2_dlc13_emp_inf_archers_0	
800690033	nanu_emp_archer_arrow_multi_poison	wh2_dlc13_emp_inf_archers_0	
800690034	nanu_emp_huntsman_arrow_arcane_fire	wh2_dlc13_emp_inf_huntsmen_0	
800690035	nanu_emp_huntsman_arrow_flaming	wh2_dlc13_emp_inf_huntsmen_0	
800690036	nanu_emp_huntsman_arrow_frozen	wh2_dlc13_emp_inf_huntsmen_0	
800690037	nanu_emp_huntsman_arrow_lightning	wh2_dlc13_emp_inf_huntsmen_0	
800690038	nanu_emp_huntsman_arrow_magic	wh2_dlc13_emp_inf_huntsmen_0	
800690039	nanu_emp_huntsman_arrow_poison	wh2_dlc13_emp_inf_huntsmen_0	
800690040	nanu_emp_huntsman_arrow_anti_infantry	wh2_dlc13_emp_inf_huntsmen_0	
800690041	nanu_emp_huntsman_arrow_anti_infantry_arcane_fire	wh2_dlc13_emp_inf_huntsmen_0	
800690042	nanu_emp_huntsman_arrow_anti_infantry_flaming	wh2_dlc13_emp_inf_huntsmen_0	
800690043	nanu_emp_huntsman_arrow_anti_infantry_frozen	wh2_dlc13_emp_inf_huntsmen_0	
800690044	nanu_emp_huntsman_arrow_anti_infantry_lightning	wh2_dlc13_emp_inf_huntsmen_0	
800690045	nanu_emp_huntsman_arrow_anti_infantry_magic	wh2_dlc13_emp_inf_huntsmen_0	
800690046	nanu_emp_huntsman_arrow_anti_infantry_poison	wh2_dlc13_emp_inf_huntsmen_0	
800690047	nanu_emp_huntsman_arrow_anti_large	wh2_dlc13_emp_inf_huntsmen_0	
800690048	nanu_emp_huntsman_arrow_anti_large_arcane_fire	wh2_dlc13_emp_inf_huntsmen_0	
800690049	nanu_emp_huntsman_arrow_anti_large_flaming	wh2_dlc13_emp_inf_huntsmen_0	
800690050	nanu_emp_huntsman_arrow_anti_large_frozen	wh2_dlc13_emp_inf_huntsmen_0	
