id	missile_weapon	unit	battle_entity_stats_override
#unit_missile_weapon_junctions_tables;1;db/unit_missile_weapon_junctions_tables/nanu_dynamic_rors_grn			
800700000	nanu_grn_goblin_arrow_arcane_fire	wh_main_grn_inf_goblin_archers	
800700001	nanu_grn_goblin_arrow_flaming	wh_main_grn_inf_goblin_archers	
800700002	nanu_grn_goblin_arrow_frozen	wh_main_grn_inf_goblin_archers	
800700003	nanu_grn_goblin_arrow_lightning	wh_main_grn_inf_goblin_archers	
800700004	nanu_grn_goblin_arrow_magic	wh_main_grn_inf_goblin_archers	
800700005	nanu_grn_goblin_arrow_poison	wh_main_grn_inf_goblin_archers	
800700006	nanu_grn_goblin_arrow_anti_infantry	wh_main_grn_inf_goblin_archers	
800700007	nanu_grn_goblin_arrow_anti_infantry_arcane_fire	wh_main_grn_inf_goblin_archers	
800700008	nanu_grn_goblin_arrow_anti_infantry_flaming	wh_main_grn_inf_goblin_archers	
800700009	nanu_grn_goblin_arrow_anti_infantry_frozen	wh_main_grn_inf_goblin_archers	
800700010	nanu_grn_goblin_arrow_anti_infantry_lightning	wh_main_grn_inf_goblin_archers	
800700011	nanu_grn_goblin_arrow_anti_infantry_magic	wh_main_grn_inf_goblin_archers	
800700012	nanu_grn_goblin_arrow_anti_infantry_poison	wh_main_grn_inf_goblin_archers	
800700013	nanu_grn_goblin_arrow_anti_large	wh_main_grn_inf_goblin_archers	
800700014	nanu_grn_goblin_arrow_anti_large_arcane_fire	wh_main_grn_inf_goblin_archers	
800700015	nanu_grn_goblin_arrow_anti_large_flaming	wh_main_grn_inf_goblin_archers	
800700016	nanu_grn_goblin_arrow_anti_large_frozen	wh_main_grn_inf_goblin_archers	
800700017	nanu_grn_goblin_arrow_anti_large_lightning	wh_main_grn_inf_goblin_archers	
800700018	nanu_grn_goblin_arrow_anti_large_magic	wh_main_grn_inf_goblin_archers	
800700019	nanu_grn_goblin_arrow_anti_large_poison	wh_main_grn_inf_goblin_archers	
800700020	nanu_grn_goblin_arrow_multi	wh_main_grn_inf_goblin_archers	
800700021	nanu_grn_goblin_arrow_multi_arcane_fire	wh_main_grn_inf_goblin_archers	
800700022	nanu_grn_goblin_arrow_multi_flaming	wh_main_grn_inf_goblin_archers	
800700023	nanu_grn_goblin_arrow_multi_frozen	wh_main_grn_inf_goblin_archers	
800700024	nanu_grn_goblin_arrow_multi_lightning	wh_main_grn_inf_goblin_archers	
800700025	nanu_grn_goblin_arrow_multi_magic	wh_main_grn_inf_goblin_archers	
800700026	nanu_grn_goblin_arrow_multi_poison	wh_main_grn_inf_goblin_archers	
800700027	nanu_grn_goblin_arrow_seeking	wh_main_grn_inf_goblin_archers	
800700028	nanu_grn_goblin_arrow_seeking_arcane_fire	wh_main_grn_inf_goblin_archers	
800700029	nanu_grn_goblin_arrow_seeking_flaming	wh_main_grn_inf_goblin_archers	
800700030	nanu_grn_goblin_arrow_seeking_frozen	wh_main_grn_inf_goblin_archers	
800700031	nanu_grn_goblin_arrow_seeking_lightning	wh_main_grn_inf_goblin_archers	
800700032	nanu_grn_goblin_arrow_seeking_magic	wh_main_grn_inf_goblin_archers	
800700033	nanu_grn_goblin_arrow_seeking_poison	wh_main_grn_inf_goblin_archers	
800700034	nanu_grn_goblin_arrow_arcane_fire	wh_main_grn_inf_night_goblin_archers	
800700035	nanu_grn_goblin_arrow_flaming	wh_main_grn_inf_night_goblin_archers	
800700036	nanu_grn_goblin_arrow_frozen	wh_main_grn_inf_night_goblin_archers	
800700037	nanu_grn_goblin_arrow_lightning	wh_main_grn_inf_night_goblin_archers	
800700038	nanu_grn_goblin_arrow_magic	wh_main_grn_inf_night_goblin_archers	
800700039	nanu_grn_goblin_arrow_poison	wh_main_grn_inf_night_goblin_archers	
800700040	nanu_grn_goblin_arrow_anti_infantry	wh_main_grn_inf_night_goblin_archers	
800700041	nanu_grn_goblin_arrow_anti_infantry_arcane_fire	wh_main_grn_inf_night_goblin_archers	
800700042	nanu_grn_goblin_arrow_anti_infantry_flaming	wh_main_grn_inf_night_goblin_archers	
800700043	nanu_grn_goblin_arrow_anti_infantry_frozen	wh_main_grn_inf_night_goblin_archers	
800700044	nanu_grn_goblin_arrow_anti_infantry_lightning	wh_main_grn_inf_night_goblin_archers	
800700045	nanu_grn_goblin_arrow_anti_infantry_magic	wh_main_grn_inf_night_goblin_archers	
800700046	nanu_grn_goblin_arrow_anti_infantry_poison	wh_main_grn_inf_night_goblin_archers	
800700047	nanu_grn_goblin_arrow_anti_large	wh_main_grn_inf_night_goblin_archers	
800700048	nanu_grn_goblin_arrow_anti_large_arcane_fire	wh_main_grn_inf_night_goblin_archers	
800700049	nanu_grn_goblin_arrow_anti_large_flaming	wh_main_grn_inf_night_goblin_archers	
800700050	nanu_grn_goblin_arrow_anti_large_frozen	wh_main_grn_inf_night_goblin_archers	
800700051	nanu_grn_goblin_arrow_anti_large_lightning	wh_main_grn_inf_night_goblin_archers	
800700052	nanu_grn_goblin_arrow_anti_large_magic	wh_main_grn_inf_night_goblin_archers	
800700053	nanu_grn_goblin_arrow_anti_large_poison	wh_main_grn_inf_night_goblin_archers	
800700054	nanu_grn_goblin_arrow_multi	wh_main_grn_inf_night_goblin_archers	
800700055	nanu_grn_goblin_arrow_multi_arcane_fire	wh_main_grn_inf_night_goblin_archers	
800700056	nanu_grn_goblin_arrow_multi_flaming	wh_main_grn_inf_night_goblin_archers	
800700057	nanu_grn_goblin_arrow_multi_frozen	wh_main_grn_inf_night_goblin_archers	
800700058	nanu_grn_goblin_arrow_multi_lightning	wh_main_grn_inf_night_goblin_archers	
800700059	nanu_grn_goblin_arrow_multi_magic	wh_main_grn_inf_night_goblin_archers	
800700060	nanu_grn_goblin_arrow_multi_poison	wh_main_grn_inf_night_goblin_archers	
800700061	nanu_grn_goblin_arrow_seeking	wh_main_grn_inf_night_goblin_archers	
800700062	nanu_grn_goblin_arrow_seeking_arcane_fire	wh_main_grn_inf_night_goblin_archers	
800700063	nanu_grn_goblin_arrow_seeking_flaming	wh_main_grn_inf_night_goblin_archers	
800700064	nanu_grn_goblin_arrow_seeking_frozen	wh_main_grn_inf_night_goblin_archers	
800700065	nanu_grn_goblin_arrow_seeking_lightning	wh_main_grn_inf_night_goblin_archers	
800700066	nanu_grn_goblin_arrow_seeking_magic	wh_main_grn_inf_night_goblin_archers	
800700067	nanu_grn_goblin_arrow_seeking_poison	wh_main_grn_inf_night_goblin_archers	
800700068	nanu_grn_goblin_arrow_spider_mounted_arcane_fire	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700069	nanu_grn_goblin_arrow_spider_mounted_flaming	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700070	nanu_grn_goblin_arrow_spider_mounted_frozen	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700071	nanu_grn_goblin_arrow_spider_mounted_lightning	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700072	nanu_grn_goblin_arrow_spider_mounted_magic	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700073	nanu_grn_goblin_arrow_spider_mounted_poison	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700074	nanu_grn_goblin_arrow_spider_mounted_anti_infantry	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700075	nanu_grn_goblin_arrow_spider_mounted_anti_infantry_arcane_fire	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700076	nanu_grn_goblin_arrow_spider_mounted_anti_infantry_flaming	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700077	nanu_grn_goblin_arrow_spider_mounted_anti_infantry_frozen	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700078	nanu_grn_goblin_arrow_spider_mounted_anti_infantry_lightning	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700079	nanu_grn_goblin_arrow_spider_mounted_anti_infantry_magic	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700080	nanu_grn_goblin_arrow_spider_mounted_anti_infantry_poison	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700081	nanu_grn_goblin_arrow_spider_mounted_anti_large	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700082	nanu_grn_goblin_arrow_spider_mounted_anti_large_arcane_fire	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700083	nanu_grn_goblin_arrow_spider_mounted_anti_large_flaming	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700084	nanu_grn_goblin_arrow_spider_mounted_anti_large_frozen	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700085	nanu_grn_goblin_arrow_spider_mounted_anti_large_lightning	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700086	nanu_grn_goblin_arrow_spider_mounted_anti_large_magic	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700087	nanu_grn_goblin_arrow_spider_mounted_anti_large_poison	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700088	nanu_grn_goblin_arrow_spider_mounted_multi	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700089	nanu_grn_goblin_arrow_spider_mounted_multi_arcane_fire	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700090	nanu_grn_goblin_arrow_spider_mounted_multi_flaming	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700091	nanu_grn_goblin_arrow_spider_mounted_multi_frozen	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700092	nanu_grn_goblin_arrow_spider_mounted_multi_lightning	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700093	nanu_grn_goblin_arrow_spider_mounted_multi_magic	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700094	nanu_grn_goblin_arrow_spider_mounted_multi_poison	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700095	nanu_grn_goblin_arrow_spider_mounted_seeking	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700096	nanu_grn_goblin_arrow_spider_mounted_seeking_arcane_fire	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700097	nanu_grn_goblin_arrow_spider_mounted_seeking_flaming	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700098	nanu_grn_goblin_arrow_spider_mounted_seeking_frozen	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700099	nanu_grn_goblin_arrow_spider_mounted_seeking_lightning	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700100	nanu_grn_goblin_arrow_spider_mounted_seeking_magic	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700101	nanu_grn_goblin_arrow_spider_mounted_seeking_poison	wh_main_grn_cav_forest_goblin_spider_riders_1	
800700102	nanu_grn_goblin_arrow_wolf_mounted_arcane_fire	wh_main_grn_cav_goblin_wolf_riders_1	
800700103	nanu_grn_goblin_arrow_wolf_mounted_flaming	wh_main_grn_cav_goblin_wolf_riders_1	
800700104	nanu_grn_goblin_arrow_wolf_mounted_frozen	wh_main_grn_cav_goblin_wolf_riders_1	
800700105	nanu_grn_goblin_arrow_wolf_mounted_lightning	wh_main_grn_cav_goblin_wolf_riders_1	
800700106	nanu_grn_goblin_arrow_wolf_mounted_magic	wh_main_grn_cav_goblin_wolf_riders_1	
800700107	nanu_grn_goblin_arrow_wolf_mounted_poison	wh_main_grn_cav_goblin_wolf_riders_1	
800700108	nanu_grn_goblin_arrow_wolf_mounted_anti_infantry	wh_main_grn_cav_goblin_wolf_riders_1	
800700109	nanu_grn_goblin_arrow_wolf_mounted_anti_infantry_arcane_fire	wh_main_grn_cav_goblin_wolf_riders_1	
800700110	nanu_grn_goblin_arrow_wolf_mounted_anti_infantry_flaming	wh_main_grn_cav_goblin_wolf_riders_1	
800700111	nanu_grn_goblin_arrow_wolf_mounted_anti_infantry_frozen	wh_main_grn_cav_goblin_wolf_riders_1	
800700112	nanu_grn_goblin_arrow_wolf_mounted_anti_infantry_lightning	wh_main_grn_cav_goblin_wolf_riders_1	
800700113	nanu_grn_goblin_arrow_wolf_mounted_anti_infantry_magic	wh_main_grn_cav_goblin_wolf_riders_1	
800700114	nanu_grn_goblin_arrow_wolf_mounted_anti_infantry_poison	wh_main_grn_cav_goblin_wolf_riders_1	
800700115	nanu_grn_goblin_arrow_wolf_mounted_anti_large	wh_main_grn_cav_goblin_wolf_riders_1	
800700116	nanu_grn_goblin_arrow_wolf_mounted_anti_large_arcane_fire	wh_main_grn_cav_goblin_wolf_riders_1	
800700117	nanu_grn_goblin_arrow_wolf_mounted_anti_large_flaming	wh_main_grn_cav_goblin_wolf_riders_1	
800700118	nanu_grn_goblin_arrow_wolf_mounted_anti_large_frozen	wh_main_grn_cav_goblin_wolf_riders_1	
800700119	nanu_grn_goblin_arrow_wolf_mounted_anti_large_lightning	wh_main_grn_cav_goblin_wolf_riders_1	
800700120	nanu_grn_goblin_arrow_wolf_mounted_anti_large_magic	wh_main_grn_cav_goblin_wolf_riders_1	
