id	missile_weapon	unit	battle_entity_stats_override
#unit_missile_weapon_junctions_tables;1;db/unit_missile_weapon_junctions_tables/nanu_dynamic_rors_hef			
800710000	nanu_hef_ellyrian_reaver_arrow_arcane_fire	wh2_main_hef_cav_ellyrian_reavers_1	
800710001	nanu_hef_ellyrian_reaver_arrow_flaming	wh2_main_hef_cav_ellyrian_reavers_1	
800710002	nanu_hef_ellyrian_reaver_arrow_frozen	wh2_main_hef_cav_ellyrian_reavers_1	
800710003	nanu_hef_ellyrian_reaver_arrow_lightning	wh2_main_hef_cav_ellyrian_reavers_1	
800710004	nanu_hef_ellyrian_reaver_arrow_magic	wh2_main_hef_cav_ellyrian_reavers_1	
800710005	nanu_hef_ellyrian_reaver_arrow_poison	wh2_main_hef_cav_ellyrian_reavers_1	
800710006	nanu_hef_ellyrian_reaver_arrow_anti_infantry	wh2_main_hef_cav_ellyrian_reavers_1	
800710007	nanu_hef_ellyrian_reaver_arrow_anti_infantry_arcane_fire	wh2_main_hef_cav_ellyrian_reavers_1	
800710008	nanu_hef_ellyrian_reaver_arrow_anti_infantry_flaming	wh2_main_hef_cav_ellyrian_reavers_1	
800710009	nanu_hef_ellyrian_reaver_arrow_anti_infantry_frozen	wh2_main_hef_cav_ellyrian_reavers_1	
800710010	nanu_hef_ellyrian_reaver_arrow_anti_infantry_lightning	wh2_main_hef_cav_ellyrian_reavers_1	
800710011	nanu_hef_ellyrian_reaver_arrow_anti_infantry_magic	wh2_main_hef_cav_ellyrian_reavers_1	
800710012	nanu_hef_ellyrian_reaver_arrow_anti_infantry_poison	wh2_main_hef_cav_ellyrian_reavers_1	
800710013	nanu_hef_ellyrian_reaver_arrow_anti_large	wh2_main_hef_cav_ellyrian_reavers_1	
800710014	nanu_hef_ellyrian_reaver_arrow_anti_large_arcane_fire	wh2_main_hef_cav_ellyrian_reavers_1	
800710015	nanu_hef_ellyrian_reaver_arrow_anti_large_flaming	wh2_main_hef_cav_ellyrian_reavers_1	
800710016	nanu_hef_ellyrian_reaver_arrow_anti_large_frozen	wh2_main_hef_cav_ellyrian_reavers_1	
800710017	nanu_hef_ellyrian_reaver_arrow_anti_large_lightning	wh2_main_hef_cav_ellyrian_reavers_1	
800710018	nanu_hef_ellyrian_reaver_arrow_anti_large_magic	wh2_main_hef_cav_ellyrian_reavers_1	
800710019	nanu_hef_ellyrian_reaver_arrow_anti_large_poison	wh2_main_hef_cav_ellyrian_reavers_1	
800710020	nanu_hef_ellyrian_reaver_arrow_multi	wh2_main_hef_cav_ellyrian_reavers_1	
800710021	nanu_hef_ellyrian_reaver_arrow_multi_arcane_fire	wh2_main_hef_cav_ellyrian_reavers_1	
800710022	nanu_hef_ellyrian_reaver_arrow_multi_flaming	wh2_main_hef_cav_ellyrian_reavers_1	
800710023	nanu_hef_ellyrian_reaver_arrow_multi_frozen	wh2_main_hef_cav_ellyrian_reavers_1	
800710024	nanu_hef_ellyrian_reaver_arrow_multi_lightning	wh2_main_hef_cav_ellyrian_reavers_1	
800710025	nanu_hef_ellyrian_reaver_arrow_multi_magic	wh2_main_hef_cav_ellyrian_reavers_1	
800710026	nanu_hef_ellyrian_reaver_arrow_multi_poison	wh2_main_hef_cav_ellyrian_reavers_1	
800710027	nanu_hef_ellyrian_reaver_arrow_seeking	wh2_main_hef_cav_ellyrian_reavers_1	
800710028	nanu_hef_ellyrian_reaver_arrow_seeking_arcane_fire	wh2_main_hef_cav_ellyrian_reavers_1	
800710029	nanu_hef_ellyrian_reaver_arrow_seeking_flaming	wh2_main_hef_cav_ellyrian_reavers_1	
800710030	nanu_hef_ellyrian_reaver_arrow_seeking_frozen	wh2_main_hef_cav_ellyrian_reavers_1	
800710031	nanu_hef_ellyrian_reaver_arrow_seeking_lightning	wh2_main_hef_cav_ellyrian_reavers_1	
800710032	nanu_hef_ellyrian_reaver_arrow_seeking_magic	wh2_main_hef_cav_ellyrian_reavers_1	
800710033	nanu_hef_ellyrian_reaver_arrow_seeking_poison	wh2_main_hef_cav_ellyrian_reavers_1	
800710034	nanu_hef_longbow_arrow_arcane_fire	wh2_main_hef_inf_archers_0	
800710035	nanu_hef_longbow_arrow_flaming	wh2_main_hef_inf_archers_0	
800710036	nanu_hef_longbow_arrow_frozen	wh2_main_hef_inf_archers_0	
800710037	nanu_hef_longbow_arrow_lightning	wh2_main_hef_inf_archers_0	
800710038	nanu_hef_longbow_arrow_magic	wh2_main_hef_inf_archers_0	
800710039	nanu_hef_longbow_arrow_poison	wh2_main_hef_inf_archers_0	
800710040	nanu_hef_longbow_arrow_anti_infantry	wh2_main_hef_inf_archers_0	
800710041	nanu_hef_longbow_arrow_anti_infantry_arcane_fire	wh2_main_hef_inf_archers_0	
800710042	nanu_hef_longbow_arrow_anti_infantry_flaming	wh2_main_hef_inf_archers_0	
800710043	nanu_hef_longbow_arrow_anti_infantry_frozen	wh2_main_hef_inf_archers_0	
800710044	nanu_hef_longbow_arrow_anti_infantry_lightning	wh2_main_hef_inf_archers_0	
800710045	nanu_hef_longbow_arrow_anti_infantry_magic	wh2_main_hef_inf_archers_0	
800710046	nanu_hef_longbow_arrow_anti_infantry_poison	wh2_main_hef_inf_archers_0	
800710047	nanu_hef_longbow_arrow_anti_large	wh2_main_hef_inf_archers_0	
800710048	nanu_hef_longbow_arrow_anti_large_arcane_fire	wh2_main_hef_inf_archers_0	
800710049	nanu_hef_longbow_arrow_anti_large_flaming	wh2_main_hef_inf_archers_0	
800710050	nanu_hef_longbow_arrow_anti_large_frozen	wh2_main_hef_inf_archers_0	
800710051	nanu_hef_longbow_arrow_anti_large_lightning	wh2_main_hef_inf_archers_0	
800710052	nanu_hef_longbow_arrow_anti_large_magic	wh2_main_hef_inf_archers_0	
800710053	nanu_hef_longbow_arrow_anti_large_poison	wh2_main_hef_inf_archers_0	
800710054	nanu_hef_longbow_arrow_multi	wh2_main_hef_inf_archers_0	
800710055	nanu_hef_longbow_arrow_multi_arcane_fire	wh2_main_hef_inf_archers_0	
