id	missile_weapon	unit	battle_entity_stats_override
#unit_missile_weapon_junctions_tables;1;db/unit_missile_weapon_junctions_tables/nanu_dynamic_rors_ksl			
800720000	nanu_ksl_akshina_ambushers_bolt_arcane_fire	wh3_dlc24_ksl_inf_akshina_ambushers	
800720001	nanu_ksl_akshina_ambushers_bolt_flaming	wh3_dlc24_ksl_inf_akshina_ambushers	
800720002	nanu_ksl_akshina_ambushers_bolt_frozen	wh3_dlc24_ksl_inf_akshina_ambushers	
800720003	nanu_ksl_akshina_ambushers_bolt_lightning	wh3_dlc24_ksl_inf_akshina_ambushers	
800720004	nanu_ksl_akshina_ambushers_bolt_magic	wh3_dlc24_ksl_inf_akshina_ambushers	
800720005	nanu_ksl_akshina_ambushers_bolt_poison	wh3_dlc24_ksl_inf_akshina_ambushers	
800720006	nanu_ksl_akshina_ambushers_bolt_anti_infantry	wh3_dlc24_ksl_inf_akshina_ambushers	
800720007	nanu_ksl_akshina_ambushers_bolt_anti_infantry_arcane_fire	wh3_dlc24_ksl_inf_akshina_ambushers	
800720008	nanu_ksl_akshina_ambushers_bolt_anti_infantry_flaming	wh3_dlc24_ksl_inf_akshina_ambushers	
800720009	nanu_ksl_akshina_ambushers_bolt_anti_infantry_frozen	wh3_dlc24_ksl_inf_akshina_ambushers	
800720010	nanu_ksl_akshina_ambushers_bolt_anti_infantry_lightning	wh3_dlc24_ksl_inf_akshina_ambushers	
800720011	nanu_ksl_akshina_ambushers_bolt_anti_infantry_magic	wh3_dlc24_ksl_inf_akshina_ambushers	
800720012	nanu_ksl_akshina_ambushers_bolt_anti_infantry_poison	wh3_dlc24_ksl_inf_akshina_ambushers	
800720013	nanu_ksl_akshina_ambushers_bolt_anti_large	wh3_dlc24_ksl_inf_akshina_ambushers	
800720014	nanu_ksl_akshina_ambushers_bolt_anti_large_arcane_fire	wh3_dlc24_ksl_inf_akshina_ambushers	
800720015	nanu_ksl_akshina_ambushers_bolt_anti_large_flaming	wh3_dlc24_ksl_inf_akshina_ambushers	
800720016	nanu_ksl_akshina_ambushers_bolt_anti_large_frozen	wh3_dlc24_ksl_inf_akshina_ambushers	
800720017	nanu_ksl_akshina_ambushers_bolt_anti_large_lightning	wh3_dlc24_ksl_inf_akshina_ambushers	
800720018	nanu_ksl_akshina_ambushers_bolt_anti_large_magic	wh3_dlc24_ksl_inf_akshina_ambushers	
800720019	nanu_ksl_akshina_ambushers_bolt_anti_large_poison	wh3_dlc24_ksl_inf_akshina_ambushers	
800720020	nanu_ksl_akshina_ambushers_bolt_multi	wh3_dlc24_ksl_inf_akshina_ambushers	
