id	missile_weapon	unit	battle_entity_stats_override
#unit_missile_weapon_junctions_tables;1;db/unit_missile_weapon_junctions_tables/nanu_dynamic_rors_lzd			
800730000	nanu_lzd_javelin_secondary_arcane_fire	wh2_dlc12_lzd_mon_ancient_stegadon_1	wh2_main_lzd_mon_skink_rider_primary_ammo
800730001	nanu_lzd_javelin_secondary_flaming	wh2_dlc12_lzd_mon_ancient_stegadon_1	wh2_main_lzd_mon_skink_rider_primary_ammo
800730002	nanu_lzd_javelin_secondary_lightning	wh2_dlc12_lzd_mon_ancient_stegadon_1	wh2_main_lzd_mon_skink_rider_primary_ammo
800730003	nanu_lzd_javelin_secondary_magic	wh2_dlc12_lzd_mon_ancient_stegadon_1	wh2_main_lzd_mon_skink_rider_primary_ammo
800730004	nanu_lzd_javelin_secondary_anti_infantry	wh2_dlc12_lzd_mon_ancient_stegadon_1	wh2_main_lzd_mon_skink_rider_primary_ammo
800730005	nanu_lzd_javelin_secondary_anti_infantry_arcane_fire	wh2_dlc12_lzd_mon_ancient_stegadon_1	wh2_main_lzd_mon_skink_rider_primary_ammo
800730006	nanu_lzd_javelin_secondary_anti_infantry_flaming	wh2_dlc12_lzd_mon_ancient_stegadon_1	wh2_main_lzd_mon_skink_rider_primary_ammo
800730007	nanu_lzd_javelin_secondary_anti_infantry_lightning	wh2_dlc12_lzd_mon_ancient_stegadon_1	wh2_main_lzd_mon_skink_rider_primary_ammo
800730008	nanu_lzd_javelin_secondary_anti_infantry_magic	wh2_dlc12_lzd_mon_ancient_stegadon_1	wh2_main_lzd_mon_skink_rider_primary_ammo
800730009	nanu_lzd_javelin_secondary_anti_large	wh2_dlc12_lzd_mon_ancient_stegadon_1	wh2_main_lzd_mon_skink_rider_primary_ammo
800730010	nanu_lzd_javelin_secondary_anti_large_arcane_fire	wh2_dlc12_lzd_mon_ancient_stegadon_1	wh2_main_lzd_mon_skink_rider_primary_ammo
800730011	nanu_lzd_javelin_secondary_anti_large_flaming	wh2_dlc12_lzd_mon_ancient_stegadon_1	wh2_main_lzd_mon_skink_rider_primary_ammo
800730012	nanu_lzd_javelin_secondary_anti_large_lightning	wh2_dlc12_lzd_mon_ancient_stegadon_1	wh2_main_lzd_mon_skink_rider_primary_ammo
800730013	nanu_lzd_javelin_secondary_anti_large_magic	wh2_dlc12_lzd_mon_ancient_stegadon_1	wh2_main_lzd_mon_skink_rider_primary_ammo
800730014	nanu_lzd_javelin_secondary_arcane_fire	wh2_dlc12_lzd_mon_bastiladon_3	wh2_main_lzd_mon_skink_rider_primary_ammo
800730015	nanu_lzd_javelin_secondary_flaming	wh2_dlc12_lzd_mon_bastiladon_3	wh2_main_lzd_mon_skink_rider_primary_ammo
800730016	nanu_lzd_javelin_secondary_lightning	wh2_dlc12_lzd_mon_bastiladon_3	wh2_main_lzd_mon_skink_rider_primary_ammo
800730017	nanu_lzd_javelin_secondary_magic	wh2_dlc12_lzd_mon_bastiladon_3	wh2_main_lzd_mon_skink_rider_primary_ammo
800730018	nanu_lzd_javelin_secondary_anti_infantry	wh2_dlc12_lzd_mon_bastiladon_3	wh2_main_lzd_mon_skink_rider_primary_ammo
800730019	nanu_lzd_javelin_secondary_anti_infantry_arcane_fire	wh2_dlc12_lzd_mon_bastiladon_3	wh2_main_lzd_mon_skink_rider_primary_ammo
800730020	nanu_lzd_javelin_secondary_anti_infantry_flaming	wh2_dlc12_lzd_mon_bastiladon_3	wh2_main_lzd_mon_skink_rider_primary_ammo
800730021	nanu_lzd_javelin_secondary_anti_infantry_lightning	wh2_dlc12_lzd_mon_bastiladon_3	wh2_main_lzd_mon_skink_rider_primary_ammo
800730022	nanu_lzd_javelin_secondary_anti_infantry_magic	wh2_dlc12_lzd_mon_bastiladon_3	wh2_main_lzd_mon_skink_rider_primary_ammo
800730023	nanu_lzd_javelin_secondary_anti_large	wh2_dlc12_lzd_mon_bastiladon_3	wh2_main_lzd_mon_skink_rider_primary_ammo
800730024	nanu_lzd_javelin_secondary_anti_large_arcane_fire	wh2_dlc12_lzd_mon_bastiladon_3	wh2_main_lzd_mon_skink_rider_primary_ammo
800730025	nanu_lzd_javelin_secondary_anti_large_flaming	wh2_dlc12_lzd_mon_bastiladon_3	wh2_main_lzd_mon_skink_rider_primary_ammo
800730026	nanu_lzd_javelin_secondary_anti_large_lightning	wh2_dlc12_lzd_mon_bastiladon_3	wh2_main_lzd_mon_skink_rider_primary_ammo
800730027	nanu_lzd_javelin_secondary_anti_large_magic	wh2_dlc12_lzd_mon_bastiladon_3	wh2_main_lzd_mon_skink_rider_primary_ammo
800730028	nanu_lzd_javelin_secondary_arcane_fire	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_skink_rider_secondary_ammo
800730029	nanu_lzd_javelin_secondary_flaming	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_skink_rider_secondary_ammo
800730030	nanu_lzd_javelin_secondary_lightning	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_skink_rider_secondary_ammo
800730031	nanu_lzd_javelin_secondary_magic	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_skink_rider_secondary_ammo
800730032	nanu_lzd_javelin_secondary_anti_infantry	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_skink_rider_secondary_ammo
800730033	nanu_lzd_javelin_secondary_anti_infantry_arcane_fire	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_skink_rider_secondary_ammo
800730034	nanu_lzd_javelin_secondary_anti_infantry_flaming	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_skink_rider_secondary_ammo
800730035	nanu_lzd_javelin_secondary_anti_infantry_lightning	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_skink_rider_secondary_ammo
800730036	nanu_lzd_javelin_secondary_anti_infantry_magic	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_skink_rider_secondary_ammo
800730037	nanu_lzd_javelin_secondary_anti_large	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_skink_rider_secondary_ammo
800730038	nanu_lzd_javelin_secondary_anti_large_arcane_fire	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_skink_rider_secondary_ammo
800730039	nanu_lzd_javelin_secondary_anti_large_flaming	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_skink_rider_secondary_ammo
800730040	nanu_lzd_javelin_secondary_anti_large_lightning	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_skink_rider_secondary_ammo
800730041	nanu_lzd_javelin_secondary_anti_large_magic	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_skink_rider_secondary_ammo
800730042	nanu_lzd_blowpipe_arcane_fire	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_ancient_stegadon_rider
800730043	nanu_lzd_blowpipe_flaming	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_ancient_stegadon_rider
800730044	nanu_lzd_blowpipe_lightning	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_ancient_stegadon_rider
800730045	nanu_lzd_blowpipe_magic	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_ancient_stegadon_rider
800730046	nanu_lzd_blowpipe_bonus_vs_infantry	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_ancient_stegadon_rider
800730047	nanu_lzd_blowpipe_bonus_vs_infantry_arcane_fire	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_ancient_stegadon_rider
800730048	nanu_lzd_blowpipe_bonus_vs_infantry_flaming	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_ancient_stegadon_rider
800730049	nanu_lzd_blowpipe_bonus_vs_infantry_lightning	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_ancient_stegadon_rider
800730050	nanu_lzd_blowpipe_bonus_vs_infantry_magic	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_ancient_stegadon_rider
800730051	nanu_lzd_blowpipe_bonus_vs_large	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_ancient_stegadon_rider
800730052	nanu_lzd_blowpipe_bonus_vs_large_arcane_fire	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_ancient_stegadon_rider
800730053	nanu_lzd_blowpipe_bonus_vs_large_flaming	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_ancient_stegadon_rider
800730054	nanu_lzd_blowpipe_bonus_vs_large_lightning	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_ancient_stegadon_rider
800730055	nanu_lzd_blowpipe_bonus_vs_large_magic	wh2_dlc13_lzd_mon_dread_saurian_1	wh2_main_lzd_mon_ancient_stegadon_rider
800730056	nanu_lzd_razordon_spike_arcane_fire	wh2_dlc13_lzd_mon_razordon_pack_0	
800730057	nanu_lzd_razordon_spike_flaming	wh2_dlc13_lzd_mon_razordon_pack_0	
