id	missile_weapon	unit	battle_entity_stats_override
#unit_missile_weapon_junctions_tables;1;db/unit_missile_weapon_junctions_tables/nanu_dynamic_rors_ogr			
800750000	nanu_ogr_harpoon_launcher_bolt_arcane_fire	wh3_main_ogr_mon_stonehorn_1	
800750001	nanu_ogr_harpoon_launcher_bolt_flaming	wh3_main_ogr_mon_stonehorn_1	
800750002	nanu_ogr_harpoon_launcher_bolt_frozen	wh3_main_ogr_mon_stonehorn_1	
800750003	nanu_ogr_harpoon_launcher_bolt_lightning	wh3_main_ogr_mon_stonehorn_1	
800750004	nanu_ogr_harpoon_launcher_bolt_magic	wh3_main_ogr_mon_stonehorn_1	
800750005	nanu_ogr_harpoon_launcher_bolt_poison	wh3_main_ogr_mon_stonehorn_1	
800750006	nanu_ogr_harpoon_launcher_bolt_anti_large	wh3_main_ogr_mon_stonehorn_1	
800750007	nanu_ogr_harpoon_launcher_bolt_anti_large_arcane_fire	wh3_main_ogr_mon_stonehorn_1	
800750008	nanu_ogr_harpoon_launcher_bolt_anti_large_flaming	wh3_main_ogr_mon_stonehorn_1	
800750009	nanu_ogr_harpoon_launcher_bolt_anti_large_frozen	wh3_main_ogr_mon_stonehorn_1	
800750010	nanu_ogr_harpoon_launcher_bolt_anti_large_lightning	wh3_main_ogr_mon_stonehorn_1	
800750011	nanu_ogr_harpoon_launcher_bolt_anti_large_magic	wh3_main_ogr_mon_stonehorn_1	
800750012	nanu_ogr_harpoon_launcher_bolt_anti_large_poison	wh3_main_ogr_mon_stonehorn_1	
800750013	nanu_ogr_harpoon_launcher_bolt_multi	wh3_main_ogr_mon_stonehorn_1	
800750014	nanu_ogr_harpoon_launcher_bolt_multi_arcane_fire	wh3_main_ogr_mon_stonehorn_1	
800750015	nanu_ogr_harpoon_launcher_bolt_multi_flaming	wh3_main_ogr_mon_stonehorn_1	
800750016	nanu_ogr_harpoon_launcher_bolt_multi_frozen	wh3_main_ogr_mon_stonehorn_1	
800750017	nanu_ogr_harpoon_launcher_bolt_multi_lightning	wh3_main_ogr_mon_stonehorn_1	
800750018	nanu_ogr_harpoon_launcher_bolt_multi_magic	wh3_main_ogr_mon_stonehorn_1	
800750019	nanu_ogr_harpoon_launcher_bolt_multi_poison	wh3_main_ogr_mon_stonehorn_1	
800750020	nanu_ogr_veh_gnoblar_scraplauncher_arcane_fire	wh3_main_ogr_veh_gnoblar_scraplauncher_0	
800750021	nanu_ogr_veh_gnoblar_scraplauncher_flaming	wh3_main_ogr_veh_gnoblar_scraplauncher_0	
800750022	nanu_ogr_veh_gnoblar_scraplauncher_frozen	wh3_main_ogr_veh_gnoblar_scraplauncher_0	
800750023	nanu_ogr_veh_gnoblar_scraplauncher_lightning	wh3_main_ogr_veh_gnoblar_scraplauncher_0	
800750024	nanu_ogr_veh_gnoblar_scraplauncher_magic	wh3_main_ogr_veh_gnoblar_scraplauncher_0	
800750025	nanu_ogr_veh_gnoblar_scraplauncher_poison	wh3_main_ogr_veh_gnoblar_scraplauncher_0	
800750026	nanu_ogr_veh_ironblaster_shot_arcane_fire	wh3_main_ogr_veh_ironblaster_0	
800750027	nanu_ogr_veh_ironblaster_shot_flaming	wh3_main_ogr_veh_ironblaster_0	
800750028	nanu_ogr_veh_ironblaster_shot_frozen	wh3_main_ogr_veh_ironblaster_0	
800750029	nanu_ogr_veh_ironblaster_shot_lightning	wh3_main_ogr_veh_ironblaster_0	
800750030	nanu_ogr_veh_ironblaster_shot_magic	wh3_main_ogr_veh_ironblaster_0	
800750031	nanu_ogr_veh_ironblaster_shot_poison	wh3_main_ogr_veh_ironblaster_0	
800750032	nanu_ogr_leadbelcher_shot_arcane_fire	wh3_main_ogr_inf_leadbelchers_0	
800750033	nanu_ogr_leadbelcher_shot_flaming	wh3_main_ogr_inf_leadbelchers_0	
800750034	nanu_ogr_leadbelcher_shot_frozen	wh3_main_ogr_inf_leadbelchers_0	
800750035	nanu_ogr_leadbelcher_shot_lightning	wh3_main_ogr_inf_leadbelchers_0	
800750036	nanu_ogr_leadbelcher_shot_magic	wh3_main_ogr_inf_leadbelchers_0	
800750037	nanu_ogr_leadbelcher_shot_poison	wh3_main_ogr_inf_leadbelchers_0	
800750038	nanu_ogr_pistol_bullet_arcane_fire	wh3_main_ogr_inf_maneaters_3	
800750039	nanu_ogr_pistol_bullet_flaming	wh3_main_ogr_inf_maneaters_3	
800750040	nanu_ogr_pistol_bullet_frozen	wh3_main_ogr_inf_maneaters_3	
800750041	nanu_ogr_pistol_bullet_lightning	wh3_main_ogr_inf_maneaters_3	
800750042	nanu_ogr_pistol_bullet_magic	wh3_main_ogr_inf_maneaters_3	
800750043	nanu_ogr_pistol_bullet_poison	wh3_main_ogr_inf_maneaters_3	
800750044	nanu_ogr_pistol_bullet_anti_large	wh3_main_ogr_inf_maneaters_3	
800750045	nanu_ogr_pistol_bullet_anti_large_arcane_fire	wh3_main_ogr_inf_maneaters_3	
800750046	nanu_ogr_pistol_bullet_anti_large_flaming	wh3_main_ogr_inf_maneaters_3	
800750047	nanu_ogr_pistol_bullet_anti_large_frozen	wh3_main_ogr_inf_maneaters_3	
800750048	nanu_ogr_pistol_bullet_anti_large_lightning	wh3_main_ogr_inf_maneaters_3	
800750049	nanu_ogr_pistol_bullet_anti_large_magic	wh3_main_ogr_inf_maneaters_3	
800750050	nanu_ogr_pistol_bullet_anti_large_poison	wh3_main_ogr_inf_maneaters_3	
800750051	nanu_ogr_pistol_bullet_multi	wh3_main_ogr_inf_maneaters_3	
800750052	nanu_ogr_pistol_bullet_multi_arcane_fire	wh3_main_ogr_inf_maneaters_3	
800750053	nanu_ogr_pistol_bullet_multi_flaming	wh3_main_ogr_inf_maneaters_3	
800750054	nanu_ogr_pistol_bullet_multi_frozen	wh3_main_ogr_inf_maneaters_3	
800750055	nanu_ogr_pistol_bullet_multi_lightning	wh3_main_ogr_inf_maneaters_3	
800750056	nanu_ogr_pistol_bullet_multi_magic	wh3_main_ogr_inf_maneaters_3	
