id	missile_weapon	unit	battle_entity_stats_override
#unit_missile_weapon_junctions_tables;1;db/unit_missile_weapon_junctions_tables/nanu_dynamic_rors_skv			
800760000	nanu_skv_ratling_gun_bullet_arcane_fire	wh2_dlc12_skv_inf_ratling_gun_0	
800760001	nanu_skv_ratling_gun_bullet_flaming	wh2_dlc12_skv_inf_ratling_gun_0	
800760002	nanu_skv_warp_jezzails_bullet_arcane_fire	wh2_dlc12_skv_inf_warplock_jezzails_0	
800760003	nanu_skv_warp_jezzails_bullet_flaming	wh2_dlc12_skv_inf_warplock_jezzails_0	
800760004	nanu_skv_warp_jezzails_bullet_anti_infantry	wh2_dlc12_skv_inf_warplock_jezzails_0	
800760005	nanu_skv_warp_jezzails_bullet_anti_infantry_arcane_fire	wh2_dlc12_skv_inf_warplock_jezzails_0	
800760006	nanu_skv_warp_jezzails_bullet_anti_infantry_flaming	wh2_dlc12_skv_inf_warplock_jezzails_0	
800760007	nanu_skv_warp_jezzails_bullet_anti_large	wh2_dlc12_skv_inf_warplock_jezzails_0	
800760008	nanu_skv_warp_jezzails_bullet_anti_large_arcane_fire	wh2_dlc12_skv_inf_warplock_jezzails_0	
800760009	nanu_skv_warp_jezzails_bullet_anti_large_flaming	wh2_dlc12_skv_inf_warplock_jezzails_0	
800760010	nanu_skv_warp_jezzails_bullet_seeking	wh2_dlc12_skv_inf_warplock_jezzails_0	
800760011	nanu_skv_warp_jezzails_bullet_seeking_arcane_fire	wh2_dlc12_skv_inf_warplock_jezzails_0	
800760012	nanu_skv_warp_jezzails_bullet_seeking_flaming	wh2_dlc12_skv_inf_warplock_jezzails_0	
800760013	nanu_skv_poison_wind_mortar_arcane_fire	wh2_dlc14_skv_inf_poison_wind_mortar_0	
800760014	nanu_skv_poison_wind_mortar_lightning	wh2_dlc14_skv_inf_poison_wind_mortar_0	
800760015	nanu_skv_poison_wind_mortar_multi	wh2_dlc14_skv_inf_poison_wind_mortar_0	
800760016	nanu_skv_poison_wind_mortar_multi_arcane_fire	wh2_dlc14_skv_inf_poison_wind_mortar_0	
800760017	nanu_skv_poison_wind_mortar_multi_lightning	wh2_dlc14_skv_inf_poison_wind_mortar_0	
800760018	nanu_skv_plagueclaw_arcane_fire	wh2_main_skv_art_plagueclaw_catapult	
800760019	nanu_skv_plagueclaw_lightning	wh2_main_skv_art_plagueclaw_catapult	
800760020	nanu_skv_plagueclaw_multi	wh2_main_skv_art_plagueclaw_catapult	
800760021	nanu_skv_plagueclaw_multi_arcane_fire	wh2_main_skv_art_plagueclaw_catapult	
800760022	nanu_skv_plagueclaw_multi_lightning	wh2_main_skv_art_plagueclaw_catapult	
800760023	nanu_skv_warp_lightning_multi	wh2_main_skv_art_warp_lightning_cannon	
800760024	nanu_skv_warp_lightning_seeking	wh2_main_skv_art_warp_lightning_cannon	
800760025	nanu_skv_death_globe_arcane_fire	wh2_main_skv_inf_death_globe_bombardiers	
800760026	nanu_skv_death_globe_lightning	wh2_main_skv_inf_death_globe_bombardiers	
800760027	nanu_skv_gutter_runner_sling_arcane_fire	wh2_main_skv_inf_gutter_runner_slingers_0	
800760028	nanu_skv_gutter_runner_sling_flaming	wh2_main_skv_inf_gutter_runner_slingers_0	
800760029	nanu_skv_gutter_runner_sling_lightning	wh2_main_skv_inf_gutter_runner_slingers_0	
800760030	nanu_skv_gutter_runner_sling_magic	wh2_main_skv_inf_gutter_runner_slingers_0	
800760031	nanu_skv_gutter_runner_sling_poison	wh2_main_skv_inf_gutter_runner_slingers_0	
800760032	nanu_skv_gutter_runner_sling_anti_infantry	wh2_main_skv_inf_gutter_runner_slingers_0	
800760033	nanu_skv_gutter_runner_sling_anti_infantry_arcane_fire	wh2_main_skv_inf_gutter_runner_slingers_0	
800760034	nanu_skv_gutter_runner_sling_anti_infantry_flaming	wh2_main_skv_inf_gutter_runner_slingers_0	
800760035	nanu_skv_gutter_runner_sling_anti_infantry_lightning	wh2_main_skv_inf_gutter_runner_slingers_0	
800760036	nanu_skv_gutter_runner_sling_anti_infantry_magic	wh2_main_skv_inf_gutter_runner_slingers_0	
800760037	nanu_skv_gutter_runner_sling_anti_infantry_poison	wh2_main_skv_inf_gutter_runner_slingers_0	
800760038	nanu_skv_gutter_runner_sling_anti_large	wh2_main_skv_inf_gutter_runner_slingers_0	
800760039	nanu_skv_gutter_runner_sling_anti_large_arcane_fire	wh2_main_skv_inf_gutter_runner_slingers_0	
800760040	nanu_skv_gutter_runner_sling_anti_large_flaming	wh2_main_skv_inf_gutter_runner_slingers_0	
800760041	nanu_skv_gutter_runner_sling_anti_large_lightning	wh2_main_skv_inf_gutter_runner_slingers_0	
800760042	nanu_skv_gutter_runner_sling_anti_large_magic	wh2_main_skv_inf_gutter_runner_slingers_0	
800760043	nanu_skv_gutter_runner_sling_anti_large_poison	wh2_main_skv_inf_gutter_runner_slingers_0	
800760044	nanu_skv_gutter_runner_sling_arcane_fire	wh2_main_skv_inf_gutter_runner_slingers_1	
