unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/nanu_dynamic_rors_dwf		
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_basic_all_barrier_greater	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_basic_elite_1	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_basic_elite_2	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_basic_elite_3	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_death_explosion_all_flaming_large_flaming_attacks_ammo_type_flaming	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_death_explosion_all_flaming_small_flaming_attacks_ammo_type_flaming	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_death_explosion_all_frozen_blast_contact_freezing_ammo_type_frozen	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_death_explosion_all_frozen_blast_contact_frostbite_ammo_type_frozen	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_all_freezing_aura_contact_freezing_attacks_ammo_type_frozen	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_all_freezing_aura_contact_frostbite_attacks_ammo_type_frozen	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_all_hunter_snare	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_all_hunter_trap	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_dwarf_ability_all_flashbomb	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_dwarf_ability_melee_forgefire_contact_flaming_attacks_burnt	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_dwarf_ability_melee_liquid_foritification_rowdy_perfect_vigour	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_melee_aura_of_blood	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_melee_aura_of_shielding	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_melee_aura_of_warding	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_melee_bathed_in_blood	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_melee_berserk_unstoppable_rampage	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_melee_colossal_strike_bonus_vs_large	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_melee_courage_in_death	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_melee_deadly_onslaught	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_melee_frenzied_charge	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_melee_heroic_charge	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_melee_heroic_killing_blow	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_melee_relentless_assault	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_melee_run_them_down	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_melee_terrifying_charge	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_melee_thunderous_aura	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_ability_melee_vengeful_war_cry	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_attribute_all_perfect_vigour	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_attribute_melee_causes_fear	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_chaotic	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_vengeful_war_cry	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_chaotic_wasteland_attribute_all_perfect_vigour_strider	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_chaotic_wasteland_attribute_all_wayfarer_strider_vanguard	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_desert	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_desert_ability_all_aura_of_ensorcelling_flaming_arcane_fire_attacks_ammo_type_arcane_fire	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_desert_ability_all_ensorcelled_weapons_flaming_arcane_fire_attacks_ammo_type_arcane_fire	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_desert_ability_all_flaming_sword_of_rhuin_contact_scorching_flaming_attacks_ammo_type_flaming	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_desert_ability_all_wake_of_fire_contact_scorching_flaming_attacks_ammo_type_flaming	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_desert_ability_melee_run_them_down	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_desert_attribute_melee_devastating_flanker	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_desert_attribute_melee_flanker_vanguard	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_desert_contact_all_scorching_flaming_attacks_ammo_type_flaming	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_frozen	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_frozen_ability_all_biting_wind_contact_freezing_ammo_type_frozen	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_frozen_death_explosion_all_frozen_blast_contact_freezing_attacks_ammo_type_frozen	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_frozen_ability_all_freezing_aura_contact_freezing_attacks_ammo_type_frozen	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_frozen_ability_melee_chilling_aura	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_frozen_ability_melee_relentless_assault	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_frozen_ability_melee_relentless_assault_frostbite_attacks_ammo_type_frozen	false
wh2_dlc10_dwf_inf_giant_slayers	nanu_dynamic_ror_climate_frozen_contact_all_freezing_attacks_ammo_type_frozen	false
