unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/nanu_dynamic_rors_emp		
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_basic_all_flaming_attacks_ammo_type_flaming	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_empire_basic_archer_1	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_empire_basic_archer_2	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_empire_basic_archer_3	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_ability_all_field_medic_encourage	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_ability_all_hunter_snare	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_ability_ranged_hawkish_precision	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_ability_ranged_rapid_fire	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_ability_ranged_slippery_attribute_stalk_vanguard	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_ability_ranged_slippery_attribute_stalk_vanguard_snipe	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_ability_ranged_volley_barbed	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_ability_ranged_volley_flaming	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_attribute_all_immPsy_vanguard	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_attribute_all_stalk_vanguard	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_attribute_ranged_stalk_snipe	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_attribute_ranged_unspottable_snipe_vanguard	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_chaotic	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_chaotic_wasteland_ability_all_field_medic_encourage	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_chaotic_wasteland_attribute_all_perfect_vigour_strider	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_chaotic_wasteland_attribute_all_wayfarer_strider_vanguard	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_chaotic_wasteland_contact_all_cursed_attacks	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_desert	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_desert_ability_all_ensorcelled_weapons_flaming_arcane_fire_attacks_ammo_type_arcane_fire	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_desert_ability_ranged_expert_skirmisher	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_desert_ability_ranged_hawkish_precision	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_desert_ability_ranged_slippery_attribute_stalk_vanguard_snipe	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_desert_ability_ranged_volley_piercing_slippery_attribute_stalk_vanguard	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_desert_ability_ranged_volley_poison_attribute_stalk_vanguard_contact_potent_poison_ammo_type_poison	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_desert_attribute_all_perfect_vigour	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_desert_contact_all_poison_attacks_ammo_type_poison	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_desert_contact_all_potent_poison_attacks_ammo_type_poison	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_desert_contact_all_rampaging_poison_flaming_attacks_ammo_type_flaming	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_desert_contact_all_scorching_flaming_attacks_ammo_type_flaming	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_frozen	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_frozen_ability_melee_rowdy	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_frozen_ability_ranged_volley_ice_shard	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_frozen_ability_ranged_volley_ice_shard_contact_frostbite_ammo_type_frozen	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_frozen_contact_all_frostbite_attacks_ammo_type_frozen	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_ability_all_field_medic_encourage_woodsman	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_ability_all_hunter_snare_woodsman	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_ability_all_hunter_snare_woodsman_contact_disorienting_attacks_ammo_type_poison	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_ability_all_hunter_snare_woodsman_contact_poison_attacks_ammo_type_poison	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_ability_ranged_expert_skirmisher_woodsman	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_ability_ranged_expert_skirmisher_woodsman_contact_blinding_poison_attacks_ammo_type_poison	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_ability_ranged_expert_skirmisher_woodsman_contact_disorienting_attacks_ammo_type_poison	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_ability_ranged_expert_skirmisher_woodsman_contact_potent_poison_attacks_ammo_type_poison	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_ability_ranged_expert_skirmisher_woodsman_contact_rampaging_poison_attacks_ammo_type_poison	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_ability_ranged_hawkish_precision_woodsman	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_ability_ranged_hawkish_precision_woodsman_contact_blinding_attacks_ammo_type_poison	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_ability_ranged_hawkish_precision_woodsman_contact_potent_poison_attacks_ammo_type_poison	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_ability_ranged_slippery_attribute_stalk_vanguard_woodsman	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_attribute_all_amphibious_woodsman	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_attribute_all_perfect_vigour_woodsman	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_contact_all_blinding_attacks_woodsman_ammo_type_poison	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_contact_all_poison_attacks_woodsman_ammo_type_poison	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_contact_all_potent_poison_attacks_woodsman_ammo_type_poison	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_contact_all_rampaging_poison_woodsman_ammo_type_poison	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_jungle_contact_all_weakened_attacks_woodsman_ammo_type_poison	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_magical_forest_ability_all_barrier_boost	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_magical_forest_ability_all_expert_skirmisher_woodsman	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_magical_forest_ability_ranged_hawkish_precision_woodsman	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_magicforest	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_mountain	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_mountain_ability_all_aura_of_shielding	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_mountain_attribute_all_perfect_vigour_wayfarer_strider_vanguard	false
wh2_dlc13_emp_inf_archers_0	nanu_dynamic_ror_climate_ocean	false
