unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/nanu_dynamic_rors_lzd		
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_basic_monster_1	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_basic_monster_2	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_basic_monster_3	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_death_explosion_all_arcane_medium_magic_attacks_ammo_type_magic	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_ability_all_hunter_snare	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_ability_all_hunter_trap	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_ability_melee_aura_of_blood	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_ability_melee_aura_of_protection	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_ability_melee_bathed_in_blood	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_ability_melee_bathed_in_blood_bonus_vs_infantry	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_ability_melee_berserk_bloodthirsty_rampage	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_ability_melee_berserk_unstoppable_rampage	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_ability_melee_blood_frenzy	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_ability_melee_bloodgreed	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_ability_melee_bloodthirst	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_ability_melee_colossal_strike_bonus_vs_large	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_ability_melee_crowfeast	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_ability_melee_crush_the_weak	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_ability_melee_dread_aversion	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_ability_melee_frenzied_charge	false
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	nanu_dynamic_ror_ability_melee_gorefeast	false
