unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/nanu_dynamic_rors_nor		
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_basic_melee_bonus_vs_large_1	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_basic_melee_bonus_vs_large_2	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_basic_melee_bonus_vs_large_3	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_ability_melee_aura_of_shielding	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_ability_melee_bathed_in_blood	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_special_greenskin_enemy_melee_ability_bathed_in_blood	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_ability_melee_bloodthirst	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_attribute_melee_brace	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_ability_melee_charge_breaker	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_ability_melee_chilling_aura	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_ability_melee_colossal_strike_bonus_vs_large	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_ability_melee_courage_in_death	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_ability_melee_crowfeast	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_ability_melee_frenzy_immPsy	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_ability_melee_guardian	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_ability_melee_hold_the_line	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_ability_melee_relentless_assault	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_ability_melee_rowdy	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_ability_melee_stand_or_die	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_ability_melee_undaunted_immPsy	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_ability_melee_violent_war_cry	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_attribute_all_immPsy_vanguard	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_attribute_all_perfect_vigour	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_attribute_melee_encourage	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_attribute_melee_causes_fear	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_attribute_melee_immPsy	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_climate_desert	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_climate_jungle	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_climate_magicforest	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_climate_mountain	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_climate_ocean	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_climate_snowy_mountain	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_climate_wasteland	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_contact_all_bleed	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_contact_all_entangling_attacks	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_contact_all_frostfire_attacks_ammo_type_frozen	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_contact_all_freezing_attacks_ammo_type_frozen	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_contact_all_frostbite_attacks_ammo_type_frozen	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_special_armoured_enemy_melee_ability_aura_of_rust	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_special_armoured_enemy_melee_ability_berserk_contact_armour_sundering	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_special_armoured_enemy_melee_ability_frenzied_charge	false
wh_dlc08_nor_inf_marauder_spearman_0	nanu_dynamic_ror_special_armoured_enemy_melee_ability_relentless_assault	false
