unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/nanu_dynamic_rors_sla		
wh3_dlc20_chs_cav_chaos_chariot_msla	nanu_dynamic_ror_basic_all_flaming_attacks_ammo_type_flaming	false
wh3_dlc20_chs_cav_chaos_chariot_msla	nanu_dynamic_ror_basic_all_magic_attacks_ammo_type_magic	false
wh3_dlc20_chs_cav_chaos_chariot_msla	nanu_dynamic_ror_basic_cavalry_1	false
wh3_dlc20_chs_cav_chaos_chariot_msla	nanu_dynamic_ror_basic_cavalry_2	false
wh3_dlc20_chs_cav_chaos_chariot_msla	nanu_dynamic_ror_basic_cavalry_3	false
wh3_dlc20_chs_cav_chaos_chariot_msla	nanu_dynamic_ror_chaos_ability_melee_aether_sword	false
wh3_dlc20_chs_cav_chaos_chariot_msla	nanu_dynamic_ror_chaos_ability_melee_hellblade_contact_flaming_attacks	false
wh3_dlc20_chs_cav_chaos_chariot_msla	nanu_dynamic_ror_chaos_ability_melee_paragon_of_ruin_immPsy	false
wh3_dlc20_chs_cav_chaos_chariot_msla	nanu_dynamic_ror_chaos_ability_melee_soulscent	false
wh3_dlc20_chs_cav_chaos_chariot_msla	nanu_dynamic_ror_chaos_ability_melee_whispers_in_the_dark_attribute_causes_terror	false
wh3_dlc20_chs_cav_chaos_chariot_msla	nanu_dynamic_ror_ability_melee_bloodgreed	false
wh3_dlc20_chs_cav_chaos_chariot_msla	nanu_dynamic_ror_ability_melee_bloodthirst	false
wh3_dlc20_chs_cav_chaos_chariot_msla	nanu_dynamic_ror_ability_melee_crush_the_weak	false
wh3_dlc20_chs_cav_chaos_chariot_msla	nanu_dynamic_ror_ability_melee_dread_aversion	false
wh3_dlc20_chs_cav_chaos_chariot_msla	nanu_dynamic_ror_ability_melee_flame_incarnate_contact_burning_flaming_attacks_ammo_type_flaming	false
wh3_dlc20_chs_cav_chaos_chariot_msla	nanu_dynamic_ror_ability_melee_flame_incarnate_flaming_attacks_ammo_type_flaming	false
wh3_dlc20_chs_cav_chaos_chariot_msla	nanu_dynamic_ror_ability_melee_frenzied_charge	false
wh3_dlc20_chs_cav_chaos_chariot_msla	nanu_dynamic_ror_ability_melee_frenzy_immPsy	false
