key	cost	effect_bundle	category	pre_requisite_set
#unit_purchasable_effects_tables;2;db/unit_purchasable_effects_tables/nanu_dynamic_rors				
nanu_dynamic_ror_basic_all_arcane_fire_attacks_ammo_type_arcane_fire	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_all_arcane_fire_attacks_ammo_type_arcane_fire	weapon	
nanu_dynamic_ror_basic_all_barrier	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_all_barrier	armour	
nanu_dynamic_ror_basic_all_barrier_greater	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_all_barrier_greater	armour	
nanu_dynamic_ror_basic_all_flaming_attacks_ammo_type_flaming	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_all_flaming_attacks_ammo_type_flaming	weapon	
nanu_dynamic_ror_basic_all_magic_attacks_ammo_type_magic	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_all_magic_attacks_ammo_type_magic	weapon	
nanu_dynamic_ror_basic_artillery_1	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_artillery_1	arrow	
nanu_dynamic_ror_basic_artillery_2	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_artillery_2	arrow	
nanu_dynamic_ror_basic_artillery_3	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_artillery_3	arrow	
nanu_dynamic_ror_basic_cavalry_1	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_cavalry_1	mount	
nanu_dynamic_ror_basic_cavalry_2	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_cavalry_2	mount	
nanu_dynamic_ror_basic_cavalry_3	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_cavalry_3	mount	
nanu_dynamic_ror_basic_elite_1	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_elite_1	weapon	
nanu_dynamic_ror_basic_elite_2	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_elite_2	weapon	
nanu_dynamic_ror_basic_elite_3	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_elite_3	weapon	
nanu_dynamic_ror_basic_melee_1	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_melee_1	weapon	
nanu_dynamic_ror_basic_melee_2	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_melee_2	weapon	
nanu_dynamic_ror_basic_melee_3	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_melee_3	weapon	
nanu_dynamic_ror_basic_melee_bonus_vs_large_1	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_melee_bonus_vs_large_1	weapon	
nanu_dynamic_ror_basic_melee_bonus_vs_large_2	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_melee_bonus_vs_large_2	weapon	
nanu_dynamic_ror_basic_melee_bonus_vs_large_3	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_melee_bonus_vs_large_3	weapon	
nanu_dynamic_ror_basic_monster_1	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_monster_1	weapon	
nanu_dynamic_ror_basic_monster_2	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_monster_2	weapon	
nanu_dynamic_ror_basic_monster_3	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_monster_3	weapon	
nanu_dynamic_ror_basic_ranged_1	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_ranged_1	arrow	
nanu_dynamic_ror_basic_ranged_2	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_ranged_2	arrow	
nanu_dynamic_ror_basic_ranged_3	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_ranged_3	arrow	
nanu_dynamic_ror_basic_single_entity_1	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_single_entity_1	weapon	
nanu_dynamic_ror_basic_single_entity_2	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_single_entity_2	weapon	
nanu_dynamic_ror_basic_single_entity_3	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_basic_single_entity_3	weapon	
nanu_dynamic_ror_ability_all_arcane_blast	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_ability_all_arcane_blast	weapon	
nanu_dynamic_ror_ability_all_arcane_blast_magic_attacks_ammo_type_magic	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_ability_all_arcane_blast_magic_attacks_ammo_type_magic	weapon	
nanu_dynamic_ror_ability_all_aura_of_ensorcelling_flaming_arcane_fire_attacks_ammo_type_arcane_fire	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_flaming_arcane_fire_attacks_ammo_type_arcane_fire	weapon	
nanu_dynamic_ror_ability_all_aura_of_ensorcelling_magic_attacks_ammo_type_magic	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_magic_attacks_ammo_type_magic	weapon	
