key	cost	effect_bundle	category	pre_requisite_set
#unit_purchasable_effects_tables;2;db/unit_purchasable_effects_tables/nanu_dynamic_rors_chs				
nanu_dynamic_ror_chaos_daemon_ability_daemonic_onslaught	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_chaos_daemon_ability_daemonic_onslaught	weapon	
nanu_dynamic_ror_chaos_daemon_ability_daemonic_strength	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_chaos_daemon_ability_daemonic_strength	weapon	
nanu_dynamic_ror_chaos_ability_melee_aether_sword	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_chaos_ability_melee_aether_sword	weapon	
nanu_dynamic_ror_chaos_ability_melee_hellblade_contact_flaming_attacks	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_chaos_ability_melee_hellblade_contact_flaming_attacks	weapon	
nanu_dynamic_ror_chaos_ability_melee_paragon_of_ruin_immPsy	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_chaos_ability_melee_paragon_of_ruin_immPsy	weapon	
nanu_dynamic_ror_chaos_ability_melee_soulscent	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_chaos_ability_melee_soulscent	weapon	
nanu_dynamic_ror_chaos_ability_melee_whispers_in_the_dark_attribute_causes_terror	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_chaos_ability_melee_whispers_in_the_dark_attribute_causes_terror	weapon	
nanu_dynamic_ror_chaos_contact_maruader_horsemen_special_knightly_enemy_shieldbreaker_ammo_type_anti_large	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_chaos_contact_maruader_horsemen_special_knightly_enemy_shieldbreaker_ammo_type_anti_large	arrow	
nanu_dynamic_ror_chaos_contact_maruader_horsemen_throwing_axes_special_knightly_enemy_armour_destruction	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_chaos_contact_maruader_horsemen_throwing_axes_special_knightly_enemy_armour_destruction	arrow	
