key	cost	effect_bundle	category	pre_requisite_set
#unit_purchasable_effects_tables;2;db/unit_purchasable_effects_tables/nanu_dynamic_rors_emp				
nanu_dynamic_ror_empire_basic_archer_1	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_basic_archer_1	arrow	
nanu_dynamic_ror_empire_basic_archer_2	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_basic_archer_2	arrow	
nanu_dynamic_ror_empire_basic_archer_3	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_basic_archer_3	arrow	
nanu_dynamic_ror_empire_basic_knight_1	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_basic_knight_1	armour	
nanu_dynamic_ror_empire_basic_knight_2	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_basic_knight_2	armour	
nanu_dynamic_ror_empire_basic_knight_3	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_basic_knight_3	armour	
nanu_dynamic_ror_ability_empire_all_blessing_of_morr_undying_will_attribute_immPsy	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_ability_empire_all_blessing_of_morr_undying_will_attribute_immPsy	weapon	
nanu_dynamic_ror_ability_empire_all_blessing_of_ranald_luck_of_ranald	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_ability_empire_all_blessing_of_ranald_luck_of_ranald	armour	
nanu_dynamic_ror_ability_empire_melee_blessing_of_ulric_frenzy_immPsy	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_ability_empire_melee_blessing_of_ulric_frenzy_immPsy	weapon	
nanu_dynamic_ror_ability_empire_melee_special_blessing_of_sigmar_hammer_of_sigmar_attribute_immPsy	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_ability_empire_melee_special_blessing_of_sigmar_hammer_of_sigmar_attribute_immPsy	armour	
nanu_dynamic_ror_empire_ability_all_blessing_of_myrmidia_soothing_warmth_attribute_immPsy_flaming_attacks_ammo_type_flaming	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_ability_all_blessing_of_myrmidia_soothing_warmth_attribute_immPsy_flaming_attacks_ammo_type_flaming	armour	
nanu_dynamic_ror_empire_ability_melee_blessing_of_shallya_soothing_warmth_encourage	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_ability_melee_blessing_of_shallya_soothing_warmth_encourage	armour	
nanu_dynamic_ror_empire_ability_swordsmen_courage_in_death_bonus_vs_infantry	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_ability_swordsmen_courage_in_death_bonus_vs_infantry	weapon	
nanu_dynamic_ror_empire_ability_swordsmen_valiant_war_cry_bonus_vs_infantry	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_ability_swordsmen_valiant_war_cry_bonus_vs_infantry	weapon	
nanu_dynamic_ror_empire_attribute_all_blessing_of_manann_amphibious_vanguard	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_attribute_all_blessing_of_manann_amphibious_vanguard	weapon	
nanu_dynamic_ror_empire_attribute_all_blessing_of_myrmidia_unrelenting_assault_flaming_attacks_ammo_type_flaming	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_attribute_all_blessing_of_myrmidia_unrelenting_assault_flaming_attacks_ammo_type_flaming	weapon	
nanu_dynamic_ror_empire_attribute_all_blessing_of_rhya_perfect_vigour	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_attribute_all_blessing_of_rhya_perfect_vigour	armour	
nanu_dynamic_ror_empire_attribute_all_blessing_of_shallya_aura_of_healing	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_attribute_all_blessing_of_shallya_aura_of_healing	armour	
nanu_dynamic_ror_empire_attribute_all_blessing_of_shallya_immune_to_contact	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_attribute_all_blessing_of_shallya_immune_to_contact	armour	
nanu_dynamic_ror_empire_attribute_all_blessing_of_taal_woodsman_vanguard	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_attribute_all_blessing_of_taal_woodsman_vanguard	weapon	
nanu_dynamic_ror_empire_attribute_all_blessing_of_verena_immPsy_magic_attacks	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_attribute_all_blessing_of_verena_immPsy_magic_attacks	weapon	
nanu_dynamic_ror_empire_attribute_ranged_blessing_of_taal_woodsman_vanguard_ammo_type_seeking	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_attribute_ranged_blessing_of_taal_woodsman_vanguard_ammo_type_seeking	arrow	
nanu_dynamic_ror_empire_special_greatsword_bretonnia_enemy_ability_knightslayer_bonus_vs_large_expert_charge_defence	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_special_greatsword_bretonnia_enemy_ability_knightslayer_bonus_vs_large_expert_charge_defence	weapon	
nanu_dynamic_ror_empire_special_greatsword_ogre_enemy_ability_colossal_strike_bonus_vs_large_expert_charge_defence	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_special_greatsword_ogre_enemy_ability_colossal_strike_bonus_vs_large_expert_charge_defence	weapon	
nanu_dynamic_ror_empire_special_melee_lord_balthasar_gelt_ability_guardian_barrier_boost_mastery_of_the_winds	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_special_melee_lord_balthasar_gelt_ability_guardian_barrier_boost_mastery_of_the_winds	armour	
nanu_dynamic_ror_empire_special_pyrrhic_victory_ability_melee_strengh_of_the_penitant_attribute_unbreakable	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_special_pyrrhic_victory_ability_melee_strengh_of_the_penitant_attribute_unbreakable	weapon	
nanu_dynamic_ror_empire_special_pyrrhic_victory_ability_melee_strength_of_the_penitent	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_empire_special_pyrrhic_victory_ability_melee_strength_of_the_penitent	weapon	
nanu_dynamic_ror_special_forces_of_destruction_enemy_melee_ability_benediction	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_special_forces_of_destruction_enemy_melee_ability_benediction	armour	
