key	cost	effect_bundle	category	pre_requisite_set
#unit_purchasable_effects_tables;2;db/unit_purchasable_effects_tables/nanu_dynamic_rors_kho				
nanu_dynamic_ror_khorne_ability_all_special_ensorcelled_weapons_flaming_aoe_flaming_attacks	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_ability_all_special_ensorcelled_weapons_flaming_aoe_flaming_attacks	weapon	
nanu_dynamic_ror_khorne_ability_all_special_ensorcelled_weapons_flaming_contact_scorching_flaming_attacks	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_ability_all_special_ensorcelled_weapons_flaming_contact_scorching_flaming_attacks	weapon	
nanu_dynamic_ror_khorne_ability_bloodthirster_burning_rage_bellow_of_endless_fury	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_ability_bloodthirster_burning_rage_bellow_of_endless_fury	weapon	
nanu_dynamic_ror_khorne_ability_melee_aura_of_blood_attribute_encourage	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_ability_melee_aura_of_blood_attribute_encourage	armour	
nanu_dynamic_ror_khorne_ability_melee_berserk_bonus_vs_infantry	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_ability_melee_berserk_bonus_vs_infantry	weapon	
nanu_dynamic_ror_khorne_ability_melee_blade_of_khorne	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_ability_melee_blade_of_khorne	weapon	
nanu_dynamic_ror_khorne_ability_melee_blood_gods_rage	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_ability_melee_blood_gods_rage	weapon	
nanu_dynamic_ror_khorne_ability_melee_bloodgreed_bonus_vs_infantry	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_ability_melee_bloodgreed_bonus_vs_infantry	weapon	
nanu_dynamic_ror_khorne_ability_melee_bloodthirst_bonus_vs_infantry	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_ability_melee_bloodthirst_bonus_vs_infantry	weapon	
nanu_dynamic_ror_khorne_ability_melee_crush_the_weak_bonus_vs_infantry	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_ability_melee_crush_the_weak_bonus_vs_infantry	weapon	
nanu_dynamic_ror_khorne_ability_melee_gorefeast	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_ability_melee_gorefeast	weapon	
nanu_dynamic_ror_khorne_ability_melee_hellblade_magic_attacks	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_ability_melee_hellblade_magic_attacks	weapon	
nanu_dynamic_ror_khorne_ability_melee_paragon_of_carnage	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_ability_melee_paragon_of_carnage	weapon	
nanu_dynamic_ror_khorne_ability_melee_paragon_of_carnage_bonus_vs_infantry	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_ability_melee_paragon_of_carnage_bonus_vs_infantry	weapon	
nanu_dynamic_ror_khorne_ability_melee_relentless_assault_bonus_vs_infantry	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_ability_melee_relentless_assault_bonus_vs_infantry	weapon	
nanu_dynamic_ror_khorne_ability_melee_totem_of_endless_bloodletting	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_ability_melee_totem_of_endless_bloodletting	weapon	
nanu_dynamic_ror_khorne_ability_melee_vicious_assault_attribute_encourage	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_ability_melee_vicious_assault_attribute_encourage	weapon	
nanu_dynamic_ror_khorne_ability_melee_violent_war_cry_bonus_vs_infantry	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_ability_melee_violent_war_cry_bonus_vs_infantry	weapon	
nanu_dynamic_ror_khorne_ability_monster_deathbringer	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_ability_monster_deathbringer	weapon	
nanu_dynamic_ror_khorne_attribute_melee_fear_bonus_vs_infantry	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_attribute_melee_fear_bonus_vs_infantry	weapon	
nanu_dynamic_ror_khorne_attribute_melee_immPsy_bonus_vs_infantry	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_attribute_melee_immPsy_bonus_vs_infantry	weapon	
nanu_dynamic_ror_khorne_attribute_melee_special_daemonic_fear_magic_attacks	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_khorne_attribute_melee_special_daemonic_fear_magic_attacks	weapon	
