key	cost	effect_bundle	category	pre_requisite_set
#unit_purchasable_effects_tables;2;db/unit_purchasable_effects_tables/nanu_dynamic_rors_lzd				
nanu_dynamic_ror_lizard_ability_all_blessing_of_tepok_contact_electrifying_attacks_strider_ammo_type_lightning	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_all_blessing_of_tepok_contact_electrifying_attacks_strider_ammo_type_lightning	weapon	
nanu_dynamic_ror_lizard_ability_all_blessing_of_tepok_contact_electrifying_magic_attacks_strider_ammo_type_lightning	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_all_blessing_of_tepok_contact_electrifying_magic_attacks_strider_ammo_type_lightning	weapon	
nanu_dynamic_ror_lizard_ability_all_blessing_of_tepok_thunderous_aura_greater_strider	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_all_blessing_of_tepok_thunderous_aura_greater_strider	weapon	
nanu_dynamic_ror_lizard_ability_all_blessing_of_tepok_thunderous_aura_greater_strider_contact_electrifying_attacks_ammo_type_lightning	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_all_blessing_of_tepok_thunderous_aura_greater_strider_contact_electrifying_attacks_ammo_type_lightning	weapon	
nanu_dynamic_ror_lizard_ability_all_blessing_of_tepok_thunderous_aura_strider	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_all_blessing_of_tepok_thunderous_aura_strider	weapon	
nanu_dynamic_ror_lizard_ability_all_blessing_of_tepok_thunderous_aura_strider_contact_electrifying_attacks_ammo_type_lightning	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_all_blessing_of_tepok_thunderous_aura_strider_contact_electrifying_attacks_ammo_type_lightning	weapon	
nanu_dynamic_ror_lizard_ability_all_blessing_of_tepok_urannons_thunderbolt_strider	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_all_blessing_of_tepok_urannons_thunderbolt_strider	weapon	
nanu_dynamic_ror_lizard_ability_all_shield_of_the_old_ones	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_all_shield_of_the_old_ones	armour	
nanu_dynamic_ror_lizard_ability_all_special_blessing_of_chotec_aura_of_ensorcelling_flaming_attacks_ammo_type_flaming	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_all_special_blessing_of_chotec_aura_of_ensorcelling_flaming_attacks_ammo_type_flaming	weapon	
nanu_dynamic_ror_lizard_ability_all_special_blessing_of_chotec_encorcolled_weapons_flaming_attacks_ammo_type_flaming	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_all_special_blessing_of_chotec_encorcolled_weapons_flaming_attacks_ammo_type_flaming	weapon	
nanu_dynamic_ror_lizard_ability_all_special_blessing_of_chotec_soothing_warmth_burning_alignment_flaming_attacks_ammo_type_flaming	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_all_special_blessing_of_chotec_soothing_warmth_burning_alignment_flaming_attacks_ammo_type_flaming	armour	
nanu_dynamic_ror_lizard_ability_all_special_blessing_of_chotec_soothing_warmth_flaming_attacks_ammo_type_flaming	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_all_special_blessing_of_chotec_soothing_warmth_flaming_attacks_ammo_type_flaming	armour	
nanu_dynamic_ror_lizard_ability_all_special_blessing_of_huanchi_from_the_mist_snipe	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_all_special_blessing_of_huanchi_from_the_mist_snipe	armour	
nanu_dynamic_ror_lizard_ability_all_special_blessing_of_quetzl_aura_of_protection	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_all_special_blessing_of_quetzl_aura_of_protection	armour	
nanu_dynamic_ror_lizard_ability_all_special_blessing_of_quetzl_aura_of_quetzl	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_all_special_blessing_of_quetzl_aura_of_quetzl	armour	
nanu_dynamic_ror_lizard_ability_all_special_blessing_of_quetzl_aura_of_shielding	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_all_special_blessing_of_quetzl_aura_of_shielding	armour	
nanu_dynamic_ror_lizard_ability_all_special_blessing_of_tepok_spellshield_aura	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_all_special_blessing_of_tepok_spellshield_aura	armour	
nanu_dynamic_ror_lizard_ability_all_special_mark_of_the_terradon_flanker_vanguard	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_all_special_mark_of_the_terradon_flanker_vanguard	weapon	
nanu_dynamic_ror_lizard_ability_melee_horn_of_kygor	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_melee_horn_of_kygor	weapon	
nanu_dynamic_ror_lizard_ability_melee_special_blessing_of_chotec_blinding_radiance_flaming_attacks	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_melee_special_blessing_of_chotec_blinding_radiance_flaming_attacks	weapon	
nanu_dynamic_ror_lizard_ability_melee_special_mark_of_the_carnosaur_frenzy_bonus_vs_large_attribute_causes_fear_glorious_charge	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_melee_special_mark_of_the_carnosaur_frenzy_bonus_vs_large_attribute_causes_fear_glorious_charge	weapon	
nanu_dynamic_ror_lizard_ability_melee_special_mark_of_the_horned_one_ability_run_them_down_attribute_cause_fear	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_melee_special_mark_of_the_horned_one_ability_run_them_down_attribute_cause_fear	weapon	
nanu_dynamic_ror_lizard_ability_melee_special_mark_of_the_ripperdactyl_frenzy_bonus_vs_infantry_attribute_immPsy_devastating_flanker_vanguard	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_melee_special_mark_of_the_ripperdactyl_frenzy_bonus_vs_infantry_attribute_immPsy_devastating_flanker_vanguard	weapon	
nanu_dynamic_ror_lizard_ability_melee_swiftness_of_itzl	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_ability_melee_swiftness_of_itzl	mount	
nanu_dynamic_ror_lizard_attribute_melee_special_attribute_mark_of_the_cold_one_devastaing_flanker_strider_vanguard	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_attribute_melee_special_attribute_mark_of_the_cold_one_devastaing_flanker_strider_vanguard	mount	
nanu_dynamic_ror_lizard_attribute_melee_special_mark_of_the_bastiladon_flanking_immune	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_attribute_melee_special_mark_of_the_bastiladon_flanking_immune	armour	
nanu_dynamic_ror_lizard_attribute_melee_special_mark_of_the_dread_saurian_causes_terror	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_attribute_melee_special_mark_of_the_dread_saurian_causes_terror	weapon	
nanu_dynamic_ror_lizard_attribute_melee_special_mark_of_the_stegadon_ogre_charge	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_attribute_melee_special_mark_of_the_stegadon_ogre_charge	weapon	
nanu_dynamic_ror_lizard_contact_all_blessing_of_sotek_potent_poison	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_contact_all_blessing_of_sotek_potent_poison	weapon	
nanu_dynamic_ror_lizard_contact_all_blessing_of_sotek_virulent_poison	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_contact_all_blessing_of_sotek_virulent_poison	weapon	
nanu_dynamic_ror_lizard_contact_all_blessing_of_sotek_virulent_poison_ammo_type_poison	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_contact_all_blessing_of_sotek_virulent_poison_ammo_type_poison	weapon	
nanu_dynamic_ror_lizard_contact_all_slow_death	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_contact_all_slow_death	weapon	
nanu_dynamic_ror_lizard_contact_all_special_mark_of_the_troglodon_virulent_poison_woodsman_vanguard	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_lizard_contact_all_special_mark_of_the_troglodon_virulent_poison_woodsman_vanguard	weapon	
