key	cost	effect_bundle	category	pre_requisite_set
#unit_purchasable_effects_tables;2;db/unit_purchasable_effects_tables/nanu_dynamic_rors_nur				
nanu_dynamic_ror_nurgle_basic_great_unclean_one_lore_of_death	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_basic_great_unclean_one_lore_of_death	weapon	
nanu_dynamic_ror_nurgle_ability_all_special_ensorcelled_weapons_contact_magic_poison	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_all_special_ensorcelled_weapons_contact_magic_poison	weapon	
nanu_dynamic_ror_nurgle_ability_all_special_ensorcelled_weapons_contact_magic_poison_aoe	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_all_special_ensorcelled_weapons_contact_magic_poison_aoe	weapon	
nanu_dynamic_ror_nurgle_ability_melee_aura_of_pestilence	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_melee_aura_of_pestilence	armour	
nanu_dynamic_ror_nurgle_ability_melee_blightboil	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_melee_blightboil	weapon	
nanu_dynamic_ror_nurgle_ability_melee_cloud_of_flies	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_melee_cloud_of_flies	armour	
nanu_dynamic_ror_nurgle_ability_melee_crowfeast	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_melee_crowfeast	weapon	
nanu_dynamic_ror_nurgle_ability_melee_fecundity	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_melee_fecundity	armour	
nanu_dynamic_ror_nurgle_ability_melee_foetid_stench	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_melee_foetid_stench	armour	
nanu_dynamic_ror_nurgle_ability_melee_gloom_of_flies	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_melee_gloom_of_flies	armour	
nanu_dynamic_ror_nurgle_ability_melee_horrible_regeneration	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_melee_horrible_regeneration	armour	
nanu_dynamic_ror_nurgle_ability_melee_living_armour	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_melee_living_armour	armour	
nanu_dynamic_ror_nurgle_ability_melee_nurgling_tide	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_melee_nurgling_tide	weapon	
nanu_dynamic_ror_nurgle_ability_melee_paragon_of_decay	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_melee_paragon_of_decay	armour	
nanu_dynamic_ror_nurgle_ability_melee_pestilent_decay	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_melee_pestilent_decay	weapon	
nanu_dynamic_ror_nurgle_ability_melee_regeneration	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_melee_regeneration	armour	
nanu_dynamic_ror_nurgle_ability_melee_stream_of_corruption	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_melee_stream_of_corruption	weapon	
nanu_dynamic_ror_nurgle_ability_melee_virulent_contagion	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_melee_virulent_contagion	weapon	
nanu_dynamic_ror_nurgle_ability_single_entity_slime_trail	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_single_entity_slime_trail	armour	
nanu_dynamic_ror_nurgle_ability_single_entity_spurting_acid_blood	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_single_entity_spurting_acid_blood	armour	
nanu_dynamic_ror_nurgle_ability_single_entity_spurting_bile_blood	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_ability_single_entity_spurting_bile_blood	armour	
nanu_dynamic_ror_nurgle_special_death_explosion_all_gaseous_large_foetid_stench	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_special_death_explosion_all_gaseous_large_foetid_stench	weapon	
nanu_dynamic_ror_nurgle_special_death_explosion_all_gaseous_medium_foetid_stench	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_special_death_explosion_all_gaseous_medium_foetid_stench	weapon	
nanu_dynamic_ror_nurgle_special_death_explosion_all_rancid_blood_contact_toxic_sludge	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_special_death_explosion_all_rancid_blood_contact_toxic_sludge	weapon	
nanu_dynamic_ror_nurgle_special_death_explosion_all_rancid_blood_foetid_stench	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_nurgle_special_death_explosion_all_rancid_blood_foetid_stench	weapon	
nanu_dynamic_ror_special_nurgle_all_attribute_daemonic_fear_magic_attacks_ammo_type_magic	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_special_nurgle_all_attribute_daemonic_fear_magic_attacks_ammo_type_magic	weapon	
