key	cost	effect_bundle	category	pre_requisite_set
#unit_purchasable_effects_tables;2;db/unit_purchasable_effects_tables/nanu_dynamic_rors_skv				
nanu_dynamic_ror_skaven_ability_all_ability_warp_lightning	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_skaven_ability_all_ability_warp_lightning	armour	
nanu_dynamic_ror_skaven_ability_melee_rival_hide_talisman	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_skaven_ability_melee_rival_hide_talisman	weapon	
nanu_dynamic_ror_skaven_ability_melee_skavenbrew	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_skaven_ability_melee_skavenbrew	weapon	
nanu_dynamic_ror_skaven_ability_melee_swarm_of_rats	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_skaven_ability_melee_swarm_of_rats	weapon	
nanu_dynamic_ror_skaven_ability_melee_trophy_heads	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_skaven_ability_melee_trophy_heads	weapon	
nanu_dynamic_ror_skaven_ability_melee_warpstone_armor	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_skaven_ability_melee_warpstone_armor	armour	
nanu_dynamic_ror_skaven_ability_melee_worlds_edge_armour	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_skaven_ability_melee_worlds_edge_armour	armour	
nanu_dynamic_ror_skaven_contact_all_magic_attacks_warpstone_weapons	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_skaven_contact_all_magic_attacks_warpstone_weapons	weapon	
nanu_dynamic_ror_skaven_ability_all_warp_lightning_contact_warp_zap_magic_attacks_ammo_type_lightning	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_skaven_ability_all_warp_lightning_contact_warp_zap_magic_attacks_ammo_type_lightning	weapon	
nanu_dynamic_ror_skaven_ability_all_warp_storm_aura_contact_warp_zap_magic_attacks_ammo_type_lightning	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_skaven_ability_all_warp_storm_aura_contact_warp_zap_magic_attacks_ammo_type_lightning	weapon	
nanu_dynamic_ror_skaven_ability_all_warp_storm_contact_warp_zap_magic_attacks_attacks_ammo_type_lightning	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_skaven_ability_all_warp_storm_contact_warp_zap_magic_attacks_attacks_ammo_type_lightning	weapon	
nanu_dynamic_ror_skaven_contact_all_warp_shock_magic_attacks_ammo_type_lightning	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_skaven_contact_all_warp_shock_magic_attacks_ammo_type_lightning	weapon	
nanu_dynamic_ror_skaven_contact_all_warp_zap_magic_attacks_ammo_type_lightning	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_skaven_contact_all_warp_zap_magic_attacks_ammo_type_lightning	weapon	
nanu_dynamic_ror_skaven_death_explosion_all_warp_discharge_large	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_skaven_death_explosion_all_warp_discharge_large	weapon	
nanu_dynamic_ror_skaven_death_explosion_all_warp_discharge_large_contact_warp_zap_magic_attacks_ammo_type_lightning	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_skaven_death_explosion_all_warp_discharge_large_contact_warp_zap_magic_attacks_ammo_type_lightning	weapon	
nanu_dynamic_ror_skaven_death_explosion_all_warp_discharge_medium	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_skaven_death_explosion_all_warp_discharge_medium	weapon	
nanu_dynamic_ror_skaven_death_explosion_all_warp_discharge_medium_contact_warp_zap_magic_attacks_ammo_type_lightning	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_skaven_death_explosion_all_warp_discharge_medium_contact_warp_zap_magic_attacks_ammo_type_lightning	weapon	
nanu_dynamic_ror_skaven_death_explosion_all_warp_discharge_small	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_skaven_death_explosion_all_warp_discharge_small	weapon	
nanu_dynamic_ror_skaven_death_explosion_all_warp_discharge_small_contact_warp_zap_magic_attacks_ammo_type_lightning	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_skaven_death_explosion_all_warp_discharge_small_contact_warp_zap_magic_attacks_ammo_type_lightning	weapon	
