key	cost	effect_bundle	category	pre_requisite_set
#unit_purchasable_effects_tables;2;db/unit_purchasable_effects_tables/nanu_dynamic_rors_sla				
nanu_dynamic_ror_slaanesh_ability_melee_ballet_of_blows	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_slaanesh_ability_melee_ballet_of_blows	weapon	
nanu_dynamic_ror_slaanesh_ability_melee_locus_of_grace	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_slaanesh_ability_melee_locus_of_grace	weapon	
nanu_dynamic_ror_slaanesh_ability_melee_paragon_of_excess	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_slaanesh_ability_melee_paragon_of_excess	weapon	
nanu_dynamic_ror_slaanesh_ability_melee_pendant_of_slaanesh	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_slaanesh_ability_melee_pendant_of_slaanesh	weapon	
nanu_dynamic_ror_slaanesh_ability_melee_rapier_of_ecstacy	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_slaanesh_ability_melee_rapier_of_ecstacy	weapon	
nanu_dynamic_ror_slaanesh_ability_melee_rod_of_torment	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_slaanesh_ability_melee_rod_of_torment	weapon	
nanu_dynamic_ror_slaanesh_ability_melee_seductive_glory	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_slaanesh_ability_melee_seductive_glory	weapon	
nanu_dynamic_ror_slaanesh_ability_melee_torment_blade	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_slaanesh_ability_melee_torment_blade	weapon	
nanu_dynamic_ror_slaanesh_basic_keeper_of_secrets_lore_of_shadows	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_slaanesh_basic_keeper_of_secrets_lore_of_shadows	armour	
nanu_dynamic_ror_slaanesh_basic_keeper_of_secrets_lore_of_slaanesh	wh2_dlc16_throt_flesh_lab_zero_cost_augments	nanu_dynamic_ror_slaanesh_basic_keeper_of_secrets_lore_of_slaanesh	armour	
